Region;District;Pszenica;Żyto;Jęczmień;Owies;Gryka;Proso;Kukurydza;Mieszanki zbóż na ziarno (jęczmień i owies);Mieszanki zbóż na ziarno (inne);Groch;Fasola, Bób, Soczewica;Peluszka, wyka, bobik;Łubin;Seradela;Koniczyna;Pozostałe pastawne oraz mieszanki;Ziemniaki;Buraki Cukrowe;Len;Konopie;Rzepak i rzepik ozimy i jary;Chmiel;Cykoria
LUBELSKIE;BIŁGORAJSKI;4111.0;16614.0;4578.0;9735.0;5509.0;907.0;0.0;47.0;20.0;150.0;2.0;106.0;1845.0;508.0;1473.0;48.0;8632.0;19.0;733.0;806.0;25.0;0.0;0.0
LUBELSKIE;CHEŁMSKI;13926.0;29179.0;9453.0;9122.0;1869.0;692.0;8.0;595.0;224.0;636.0;93.0;1375.0;1099.0;266.0;2743.0;226.0;13989.0;671.0;260.0;170.0;273.0;56.0;0.0
LUBELSKIE;GARWOLIŃSKI;4361.0;34216.0;7750.0;11856.0;2767.0;785.0;11.0;298.0;239.0;268.0;15.0;317.0;3814.0;3901.0;5430.0;584.0;16125.0;259.0;438.0;55.0;256.0;11.0;0.0
LUBELSKIE;HRUBIESZOWSKI;16924.0;17621.0;9275.0;12753.0;2147.0;779.0;1.0;224.0;104.0;372.0;262.0;2556.0;353.0;21.0;3985.0;1837.0;9368.0;3061.0;307.0;260.0;705.0;15.0;0.0
LUBELSKIE;JANOWSKI;7587.0;24271.0;10323.0;14569.0;4547.0;1080.0;2.0;1634.0;170.0;245.0;29.0;675.0;4844.0;1342.0;3944.0;178.0;11063.0;1304.0;333.0;227.0;390.0;69.0;0.0
LUBELSKIE;KONSTANTYNOWSKI;4300.0;21369.0;2363.0;8685.0;359.0;181.0;0.0;133.0;557.0;969.0;14.0;1088.0;2132.0;2830.0;2533.0;2690.0;10051.0;89.0;364.0;19.0;171.0;0.0;0.0
LUBELSKIE;KRASNOSTAWSKI;18692.0;18084.0;8905.0;10694.0;2831.0;837.0;6.0;1042.0;302.0;237.0;75.0;1560.0;2742.0;86.0;6863.0;539.0;11253.0;1798.0;388.0;306.0;499.0;78.0;0.0
LUBELSKIE;LUBARTOWSKI;4285.0;29358.0;3089.0;8584.0;6054.0;553.0;0.0;107.0;22.0;37.0;9.0;181.0;1371.0;1848.0;2532.0;32.0;11193.0;671.0;270.0;43.0;212.0;67.0;0.0
LUBELSKIE;LUBELSKI;20457.0;28781.0;12724.0;17710.0;3229.0;410.0;4.0;1211.0;193.0;69.0;35.0;1042.0;4127.0;735.0;8888.0;378.0;15789.0;4585.0;203.0;110.0;563.0;81.0;0.0
LUBELSKIE;LUBLIN (MIASTO);;;;;;;;;;;;;;;;;;;;;;;
LUBELSKIE;PUŁAWSKI;5585.0;24121.0;10399.0;9459.0;3456.0;1083.0;1.0;584.0;212.0;171.0;17.0;899.0;2977.0;1520.0;4791.0;301.0;12683.0;2028.0;116.0;75.0;353.0;203.0;0.0
LUBELSKIE;RADZYŃSKI;6500.0;25237.0;2121.0;12045.0;1831.0;601.0;0.0;101.0;119.0;394.0;36.0;1080.0;2145.0;3333.0;3867.0;187.0;11184.0;229.0;450.0;89.0;232.0;4.0;0.0
LUBELSKIE;SIEDLECKI;3140.0;26628.0;1824.0;8399.0;222.0;136.0;0.0;435.0;652.0;412.0;9.0;1470.0;1313.0;7529.0;2665.0;492.0;12555.0;111.0;893.0;12.0;55.0;3.0;0.0
LUBELSKIE;SOKOŁOWSKI;4422.0;22439.0;2551.0;6480.0;194.0;96.0;2.0;589.0;407.0;554.0;16.0;2420.0;1564.0;4232.0;2755.0;287.0;12608.0;729.0;603.0;9.0;32.0;0.0;0.0
LUBELSKIE;TOMASZOWSKI;12521.0;16453.0;9248.0;9730.0;2070.0;912.0;4.0;508.0;494.0;349.0;234.0;900.0;876.0;142.0;3365.0;494.0;9914.0;2481.0;287.0;377.0;281.0;33.0;0.0
LUBELSKIE;WĘGROWSKI;2795.0;21680.0;2008.0;5974.0;506.0;305.0;1.0;356.0;119.0;253.0;16.0;1917.0;2198.0;3864.0;2369.0;133.0;12205.0;5.0;551.0;12.0;9.0;3.0;0.0
LUBELSKIE;WŁODAWSKI;4889.0;34454.0;3724.0;10284.0;5289.0;870.0;1.0;34.0;44.0;585.0;23.0;343.0;2800.0;997.0;1574.0;111.0;12342.0;38.0;601.0;206.0;347.0;23.0;0.0
LUBELSKIE;ZAMOJSKI;13175.0;16698.0;8851.0;10100.0;1997.0;694.0;1.0;419.0;96.0;290.0;59.0;1329.0;809.0;403.0;4251.0;293.0;10871.0;1934.0;269.0;218.0;171.0;31.0;0.0
LUBELSKIE;ŁUKOWSKI;2704.0;36057.0;2472.0;11815.0;3142.0;401.0;1.0;246.0;139.0;451.0;17.0;906.0;1827.0;6587.0;3867.0;284.0;14907.0;25.0;693.0;44.0;164.0;28.0;0.0
LWOWSKIE;BRZOZOWSKI;4987.0;9684.0;3485.0;5985.0;22.0;38.0;0.0;101.0;42.0;46.0;53.0;269.0;51.0;10.0;3608.0;75.0;6042.0;69.0;36.0;63.0;0.0;0.0;0.0
LWOWSKIE;BÓBRECKI;7798.0;5859.0;4060.0;7170.0;836.0;531.0;645.0;241.0;69.0;217.0;180.0;372.0;97.0;2.0;2213.0;339.0;6996.0;940.0;252.0;278.0;18.0;2.0;0.0
LWOWSKIE;DOBROMILSKI;4368.0;6563.0;1741.0;8754.0;5.0;24.0;5.0;36.0;46.0;28.0;70.0;96.0;201.0;0.0;2382.0;66.0;4852.0;32.0;89.0;60.0;2.0;0.0;0.0
LWOWSKIE;DROHOBYCKI;3832.0;9524.0;2772.0;9873.0;35.0;311.0;156.0;32.0;37.0;22.0;387.0;276.0;23.0;31.0;2698.0;47.0;7655.0;0.0;661.0;175.0;8.0;0.0;0.0
LWOWSKIE;GRÓDECKI;4920.0;8951.0;3180.0;6248.0;1258.0;427.0;4.0;87.0;66.0;124.0;337.0;147.0;740.0;48.0;2025.0;73.0;5758.0;139.0;418.0;206.0;0.0;0.0;15.0
