Region;District;Konie (sztuki);Byd≥o rogate (sztuki);Trzoda chlewna (sztuki);Owce i kozy (sztuki)
LWOWSKIE;MOåCISKI;14905.0;28828.0;13052.0;656.0
LWOWSKIE;NIØA—SKI;8721.0;24307.0;10282.0;466.0
LWOWSKIE;PRZEMYSKI;16170.0;39759.0;10899.0;831.0
LWOWSKIE;PRZEWORSKI;7545.0;21708.0;6212.0;461.0
LWOWSKIE;RAWSKI (RAWA RUSKA);19459.0;34726.0;21629.0;5195.0
LWOWSKIE;RUDECKI;14276.0;24180.0;10523.0;100.0
LWOWSKIE;RZESZOWSKI;13076.0;50600.0;16580.0;586.0
LWOWSKIE;SAMBORSKI;19186.0;35559.0;9726.0;598.0
LWOWSKIE;SANOCKI;14513.0;40396.0;8745.0;2134.0
LWOWSKIE;SOKALSKI;24835.0;29451.0;27001.0;17142.0
LWOWSKIE;STAROSAMBORSKI;6953.0;20450.0;3456.0;3830.0
LWOWSKIE;STRZYØOWSKI;6934.0;26606.0;6203.0;703.0
LWOWSKIE;TARNOBRZESKI;11849.0;28423.0;14153.0;355.0
LWOWSKIE;£A—CUCKI;12894.0;34657.0;9257.0;1026.0
LWOWSKIE;Ø”£KIEWSKI;18201.0;32582.0;19851.0;669.0
M. ST. WARSZAWA;PO£UDNIOWO-WARSZAWSKI;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;
M. ST. WARSZAWA;P”£NOCNO-WARSZAWSKI;;;;
NOWOGR”DZKIE;BARANOWICKI;25938.0;45746.0;26705.0;25131.0
NOWOGR”DZKIE;LIDZKI;34552.0;68584.0;40594.0;44988.0
NOWOGR”DZKIE;NIEåWIESKI;22467.0;35236.0;27786.0;38017.0
NOWOGR”DZKIE;NOWOGR”DZKI;26736.0;49379.0;29559.0;31379.0
NOWOGR”DZKIE;STO£PECKI;16250.0;30824.0;25307.0;20613.0
NOWOGR”DZKIE;SZCZUCZY—SKI (WOJ. NOWOGR”DZKIE);20366.0;35792.0;16692.0;25510.0
NOWOGR”DZKIE;S£ONIMSKI;23035.0;41034.0;25089.0;40122.0
NOWOGR”DZKIE;WO£OØY—SKI;22005.0;44861.0;37928.0;28428.0
