Region;District;Polish;% Polish;Ukrainian;% Ukrainian;Ruthenian;% Ruthenian;Belarusian;% Belarusian;Russian;% Russian;German;% German;Jewish;% Jewish;Hebrew;% Hebrew;Other and unknown: total;% Other: total;Minorities total (excluding Polish nationality);% Minorities total
LWOWSKIE;MOŚCISKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;NIŻAŃSKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;PRZEMYSKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;PRZEWORSKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;RAWSKI (RAWA RUSKA);;;;;;;;;;;;;;;;;;;;
LWOWSKIE;RUDECKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;RZESZOWSKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;SAMBORSKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;SANOCKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;SOKALSKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;TARNOBRZESKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;TURCZAŃSKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;ŁAŃCUCKI;;;;;;;;;;;;;;;;;;;;
LWOWSKIE;ŻÓŁKIEWSKI;;;;;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;826242;;1188;;94;;578;;3979;;1892;;313611;;19743;;;;;
NOWOGRÓDZKIE;BARANOWICKI;74916;0,46520697;145;0,000900409;43;0,000267018;68630;0,426172705;1997;0,0124008;30;0,000186291;14026;0,087097455;1008;0,006259392;243;0,001508961;86122;0,53479303
NOWOGRÓDZKIE;BRASŁAWSKI;93958;0,656310029;18;0,000125733;464;0,003241106;23138;0,16162223;14551;0,10164081;114;0,000796306;6846;0,047820286;335;0,002340023;3737;0,026103478;49203;0,343689971
NOWOGRÓDZKIE;LIDZKI;145609;0,793574407;37;0,000201651;58;0,000316102;19821;0,108025179;717;0,003907676;13;7,08505E-05;12544;0,068365261;2002;0,010910974;2684;0,014627899;37876;0,206425593
NOWOGRÓDZKIE;NIEŚWIESKI;27933;0,244033058;69;0,00060281;288;0,002516075;76286;0,666462818;808;0,007058988;116;0,001013419;7773;0,067907814;981;0,00857038;210;0,001834638;86531;0,755966942
NOWOGRÓDZKIE;NOWOGRÓDZKI;35084;0,234619088;67;0,000448053;48;0,000320993;102932;0,688342606;851;0,005690937;33;0,000220683;9712;0,064947571;614;0,004106035;195;0,001304034;114452;0,765380912
NOWOGRÓDZKIE;STOŁPECKI;51820;0,521385666;43;0,000432643;20;0,00020123;40278;0,405256115;597;0,006006701;54;0,00054332;5518;0,055519222;823;0,008280594;236;0,002374508;47569;0,478614334
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);89462;0,834510228;21;0,00019589;16;0,00014925;10369;0,096723039;289;0,00269582;5;4,66405E-05;5980;0,055782021;725;0,00676287;336;0,003134241;17741;0,165489772
NOWOGRÓDZKIE;SŁONIMSKI;52313;0,413508814;77;0,000608648;248;0,001960319;62434;0,493510394;1011;0,007991463;26;0,000205517;9193;0,072666192;865;0,006837404;343;0,002711248;74197;0,586491186
NOWOGRÓDZKIE;WOŁOŻYŃSKI;76722;0,664133239;21;0,000181784;2;1,73127E-05;32716;0,283201468;524;0,004535933;102;0,000882949;5036;0,043593428;225;0,001947681;174;0,001506207;38800;0,335866761
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);50248;0,232708276;17926;0,083018798;;0;17022;0,078832198;3075;0,014240924;59;0,00027324;28457;0,13178991;3632;0,0168205;95508;0,442316153;165679;0,767291724
POLESKIE;DROHICKI;6844;0,070527617;1493;0,015385408;;0;355;0,003658285;1046;0,01077906;4;4,12201E-05;6427;0,06623042;520;0,005358615;80351;0,828019373;90196;0,929472383
POLESKIE;IWACEWICKI;8456;0,101032307;132;0,001577136;;0;14259;0,170366565;686;0,00819633;5;0,00005974;5735;0,068521793;565;0,006750621;53858;0,643495508;75240;0,898967693
POLESKIE;KOBRYŃSKI;10040;0,088091812;21934;0,192450777;;0;5208;0,045695434;3373;0,029594988;20;0,000175482;8697;0,076308216;1792;0,01572316;62908;0,551960131;103932;0,911908188
POLESKIE;KOSZYRSKI;6692;0,070451004;8271;0,087074157;;0;1136;0,011959405;250;0,002631911;200;0,002105529;3625;0,038162715;389;0,004095254;74425;0,783520024;88296;0,929548996
POLESKIE;PIŃSKI;29077;0,15776566;1063;0,005767613;;0;5671;0,030769648;4355;0,02362931;127;0,000689075;20652;0,11205339;4436;0,024068799;118924;0,645256504;155228;0,84223434
POLESKIE;PRUŻAŃSKI;17762;0,163579934;301;0,002772073;;0;24156;0,222465764;569;0,005240231;3;2,76286E-05;7424;0,06837166;1995;0,018373042;56373;0,519169667;90821;0,836420066
POLESKIE;STOLIŃSKI;18452;0,147894041;2663;0,021344127;;0;4681;0,037518535;2248;0,018017874;460;0,003686931;8663;0,069434537;2146;0,017200337;85452;0,684903619;106313;0,852105959
POLESKIE;ŁUNINIECKI;16535;0,152167711;264;0,00242953;;0;2850;0,026227879;596;0,005484848;185;0,001702511;6834;0,062891693;977;0,008991101;80422;0,740104727;92128;0,847832289
POMORSKIE;BRODNICKI;;;;;;;;;;;;;;;;;;;;
POMORSKIE;CHEŁMIŃSKI;;;;;;;;;;;;;;;;;;;;
POMORSKIE;CHOJNICKI;;;;;;;;;;;;;;;;;;;;
POMORSKIE;DZIAŁDOWSKI;;;;;;;;;;;;;;;;;;;;
POMORSKIE;GDYNIA (MIASTO);;;;;;;;;;;;;;;;;;;;
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;;;;;;;;;;;;;;;;
POMORSKIE;GRUDZIĄDZKI;;;;;;;;;;;;;;;;;;;;
POMORSKIE;KARTUSKI;;;;;;;;;;;;;;;;;;;;
POMORSKIE;KOŚCIERSKI;;;;;;;;;;;;;;;;;;;;
POMORSKIE;LUBAWSKI;;;;;;;;;;;;;;;;;;;;
POMORSKIE;MORSKI;;;;;;;;;;;;;;;;;;;;
POMORSKIE;STAROGARDZKI;;;;;;;;;;;;;;;;;;;;
POMORSKIE;SĘPOLEŃSKI;;;;;;;;;;;;;;;;;;;;
POMORSKIE;TCZEWSKI;;;;;;;;;;;;;;;;;;;;
POMORSKIE;TORUŃ (MIASTO);;;;;;;;;;;;;;;;;;;;
POMORSKIE;TORUŃSKI;;;;;;;;;;;;;;;;;;;;
POMORSKIE;TUCHOLSKI;;;;;;;;;;;;;;;;;;;;
POMORSKIE;WĄBRZESKI;;;;;;;;;;;;;;;;;;;;
POMORSKIE;ŚWIECKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;BYDGOSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;BYDGOSZCZ (MIASTO);;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;CHODZIESKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;CZARNKOWSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;GNIEZNO (MIASTO);;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;GNIEŹNIEŃSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;GOSTYŃSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;INOWROCŁAW (MIASTO);;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;INOWROCŁAWSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;JAROCIŃSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;KOŚCIAŃSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;KROTOSZYŃSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;KĘPIŃSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;LESZCZYŃSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;MIĘDZYCHODZKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;MOGILEŃSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;NOWOTOMYSKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;OBORNICKI;;;;;;;;;;;;;;;;;;;;
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);;;;;;;;;;;;;;;;;;;;
