Region;District;Roman Catholic;% Roman Catholic;Greek Catholic;% Greek Catholic;Orthodox;% Orthodox;Evangelical;% Evangelical;Mosaic (Jewish);% Mosaic (Jewish);Other Christian denominations;% Other Christian;Other or unknown;% Other
LWOWSKIE;RUDECKI;;;;;;;;;;;;;;
LWOWSKIE;RZESZOWSKI;;;;;;;;;;;;;;
LWOWSKIE;SAMBORSKI;;;;;;;;;;;;;;
LWOWSKIE;SANOCKI;;;;;;;;;;;;;;
LWOWSKIE;SOKALSKI;;;;;;;;;;;;;;
LWOWSKIE;TARNOBRZESKI;;;;;;;;;;;;;;
LWOWSKIE;TURCZAŃSKI;;;;;;;;;;;;;;
LWOWSKIE;ŁAŃCUCKI;;;;;;;;;;;;;;
LWOWSKIE;ŻÓŁKIEWSKI;;;;;;;;;;;;;;
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;783933;;969;;8991;;15824;;352659;;;;;
NOWOGRÓDZKIE;BARANOWICKI;45126;0,280219576;154;0,000956296;98964;0,614538184;154;0,000956296;16074;0,099814951;213;0,001322669;353;0,002192029
NOWOGRÓDZKIE;BRASŁAWSKI;89020;0,621817394;41;0,000286391;29672;0,207263151;179;0,001250341;7703;0,053806553;16183;0,113040563;363;0,002535607
NOWOGRÓDZKIE;LIDZKI;144627;0,788222471;44;0,000239802;22981;0,125247295;208;0,001133608;14913;0,081276399;46;0,000250702;666;0,003629725
NOWOGRÓDZKIE;NIEŚWIESKI;22378;0,195502516;25;0,000218409;82220;0,718304445;258;0,002253984;8880;0,077578977;241;0,002105465;462;0,004036204
NOWOGRÓDZKIE;NOWOGRÓDZKI;28796;0,192569013;588;0,003932163;108574;0,726072651;167;0,001116788;10462;0,069963086;257;0,00171865;692;0,004627648
NOWOGRÓDZKIE;STOŁPECKI;37856;0,380887221;55;0,000553381;54021;0,543530974;186;0,001871434;6975;0,070178792;106;0,001066516;190;0,00191168
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);60097;0,560590655;60;0,000559686;38840;0,362303294;50;0,000466405;7883;0,07353339;64;0,000596998;209;0,001949572
NOWOGRÓDZKIE;SŁONIMSKI;23817;0,188261797;877;0,006932258;88847;0,702292309;98;0,000774642;12344;0,097573314;142;0,001122441;385;0,003043238
NOWOGRÓDZKIE;WOŁOŻYŃSKI;61852;0,535413168;37;0,000320285;47886;0,414518447;174;0,001506207;5341;0,046233618;134;0,001159952;98;0,000848323
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);43020;0,199234;201;0,00093087;135710;0,628499447;2882;0,013347103;32280;0,149494968;1727;0,007998073;107;0,000495538
POLESKIE;DROHICKI;5699;0,058728359;66;0,000680132;83081;0,856152102;101;0,001040808;6981;0,071939406;990;0,010201979;122;0,001257214
POLESKIE;IWACEWICKI;7810;0,093313898;186;0,002222328;68755;0,821484898;146;0,001744408;6333;0,075666699;443;0,005292965;23;0,000274804
POLESKIE;KOBRYŃSKI;8973;0,078729863;67;0,000587864;93359;0,819139789;232;0,002035588;10527;0,092364791;749;0,00657179;65;0,000570316
POLESKIE;KOSZYRSKI;6026;0,063439592;92;0,000968543;83021;0,874015665;463;0,0048743;4037;0,042500105;1303;0,013717522;46;0,000484272
POLESKIE;PIŃSKI;16465;0,089335612;146;0,000792165;139876;0,758937631;359;0,001947858;25385;0,137733648;1999;0,010846152;75;0,000406934
POLESKIE;PRUŻAŃSKI;16311;0,150216885;40;0,000368382;81975;0,754952433;100;0,000920954;9463;0,087149922;660;0,0060783;34;0,000313125
POLESKIE;STOLIŃSKI;6893;0,055247866;897;0,007189516;104383;0,836636877;722;0,005786879;10910;0,087444395;922;0,007389893;38;0,000304573
POLESKIE;ŁUNINIECKI;13754;0,126574823;85;0,000782235;85643;0,788152361;493;0,004536963;8072;0,074284715;536;0,004932682;80;0,000736221
POMORSKIE;BRODNICKI;;;;;;;;;;;;;;
POMORSKIE;CHEŁMIŃSKI;;;;;;;;;;;;;;
POMORSKIE;CHOJNICKI;;;;;;;;;;;;;;
POMORSKIE;DZIAŁDOWSKI;;;;;;;;;;;;;;
POMORSKIE;GDYNIA (MIASTO);;;;;;;;;;;;;;
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;;;;;;;;;;
POMORSKIE;GRUDZIĄDZKI;;;;;;;;;;;;;;
POMORSKIE;KARTUSKI;;;;;;;;;;;;;;
POMORSKIE;KOŚCIERSKI;;;;;;;;;;;;;;
POMORSKIE;LUBAWSKI;;;;;;;;;;;;;;
POMORSKIE;MORSKI;;;;;;;;;;;;;;
POMORSKIE;STAROGARDZKI;;;;;;;;;;;;;;
POMORSKIE;SĘPOLEŃSKI;;;;;;;;;;;;;;
POMORSKIE;TCZEWSKI;;;;;;;;;;;;;;
