Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki
WOŁYŃSKIE;ŁUCKI;73 224;290 405;48 981;84 002;875 238
ZIEMIA WILEŃSKA;BRASŁAWSKI;3 571;164 818;44 136;64 216;194 273
ZIEMIA WILEŃSKA;DUNIŁOWICKI;10 170;304 655;70 856;99 338;918 771
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;10 915;206 922;77 967;114 784;391 770
ZIEMIA WILEŃSKA;OSZMIAŃSKI;4 231;259 682;43 012;102 050;480 567
ZIEMIA WILEŃSKA;WILEJSKI;14 711;334 205;56 467;146 979;962 332
ZIEMIA WILEŃSKA;WILEŃSKO-TROCKI;17 396;483 781;105 105;191 980;1 525 692
ZIEMIA WILEŃSKA;WILNO (MIASTO);;;;;
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;8 829;322 639;79 573;136 130;1 013 454
ŁÓDZKIE;BRZEZIŃSKI;25 882;168 669;24 820;81 785;1 665 962
ŁÓDZKIE;KALISKI;81 953;197 380;74 688;210 238;1 588 760
ŁÓDZKIE;KOLSKI;78 947;260 231;56 520;113 244;1 807 541
ŁÓDZKIE;KONIŃSKI;27 817;250 994;46 400;106 083;1 931 190
ŁÓDZKIE;PIOTRKOWSKI;55 731;342 397;108 656;195 563;2 650 564
ŁÓDZKIE;RADOMSZCZAŃSKI;67 066;259 159;67 392;163 984;2 956 043
ŁÓDZKIE;SIERADZKI;77 530;225 175;51 931;215 499;2 474 213
ŁÓDZKIE;SŁUPECKI;51 129;250 953;63 199;130 043;1 789 464
ŁÓDZKIE;TURECKI;75 496;219 234;32 172;149 666;1 413 933
ŁÓDZKIE;WIELUŃSKI;17 999;274 088;47 039;221 830;1 932 295
ŁÓDZKIE;ŁASKI;44 223;174 564;62 772;154 870;1 829 041
ŁÓDZKIE;ŁÓDZKI;37 441;209 572;35 118;124 158;1 259 676
ŁÓDZKIE;ŁÓDŹ (MIASTO);;;;;
ŁÓDZKIE;ŁĘCZYCKI;101 801;215 638;60 545;201 464;1 468 314
ŚLĄSKIE;BIELSKI (BIELSKO);10 651;30 318;17 248;88 723;280 798
ŚLĄSKIE;BIELSKO (MIASTO);;;;;
ŚLĄSKIE;CIESZYŃSKI;6 322;3 806;4 401;14 282;97 599
ŚLĄSKIE;KATOWICE (MIASTO);;;;;
ŚLĄSKIE;KATOWICKI;3 402;23 992;1 900;36 870;276 470
ŚLĄSKIE;KRÓLEWSKA HUTA;0;874;0;1 070;16 296
ŚLĄSKIE;LUBLINIECKI;1 112;4 647;1 784;12 312;126 662
ŚLĄSKIE;PSZCZYŃSKI;15 996;132 937;22 043;216 099;1 342 024
ŚLĄSKIE;RUDZKI;2 531;24 516;3 012;24 742;200 978
ŚLĄSKIE;RYBNICKI;25 958;61 070;23 545;110 844;723 125
ŚLĄSKIE;TARNOGÓRSKI;2 040;13 876;2 684;24 976;185 820
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;2 641;11 077;1 776;16 338;122 035
