District;Region;Large Land Estates/Number of estates/From 100 to 200;Large Land Estates/Total area/From 100 to 200;Large Land Estates/Arable land/From 100 to 200;Large Land Estates/Meadows/From 100 to 200;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 100 to 200;Large Land Estates/Orchards/From 100 to 200;Large Land Estates/Vegetable gardens/From 100 to 200;Large Land Estates/Parks/From 100 to 200;Large Land Estates/Land under forest use/From 100 to 200;Large Land Estates/Ponds and lakes/From 100 to 200;Large Land Estates/Under buildings and roads/From 100 to 200;Large Land Estates/Unproductive land/From 100 to 200;Large Land Estates/Number of estates/From 200 to 300;Large Land Estates/Total area/From 200 to 300;Large Land Estates/Arable land/From 200 to 300;Large Land Estates/Meadows/From 200 to 300;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 200 to 300;Large Land Estates/Orchards/From 200 to 300;Large Land Estates/Vegetable gardens/From 200 to 300;Large Land Estates/Parks/From 200 to 300;Large Land Estates/Land under forest use/From 200 to 300;Large Land Estates/Ponds and lakes/From 200 to 300;Large Land Estates/Under buildings and roads/From 200 to 300;Large Land Estates/Unproductive land/From 200 to 300;Large Land Estates/Number of estates/From 300 to 400;Large Land Estates/Total area/From 300 to 400;Large Land Estates/Arable land/From 300 to 400;Large Land Estates/Meadows/From 300 to 400;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 300 to 400;Large Land Estates/Orchards/From 300 to 400;Large Land Estates/Vegetable gardens/From 300 to 400;Large Land Estates/Parks/From 300 to 400;Large Land Estates/Land under forest use/From 300 to 400;Large Land Estates/Ponds and lakes/From 300 to 400;Large Land Estates/Under buildings and roads/From 300 to 400;Large Land Estates/Unproductive land/From 300 to 400;Large Land Estates/Number of estates/From 400 to 500;Large Land Estates/Total area/From 400 to 500;Large Land Estates/Arable land/From 400 to 500;Large Land Estates/Meadows/From 400 to 500;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 400 to 500;Large Land Estates/Orchards/From 400 to 500;Large Land Estates/Vegetable gardens/From 400 to 500;Large Land Estates/Parks/From 400 to 500;Large Land Estates/Land under forest use/From 400 to 500;Large Land Estates/Ponds and lakes/From 400 to 500;Large Land Estates/Under buildings and roads/From 400 to 500;Large Land Estates/Unproductive land/From 400 to 500;Large Land Estates/Number of estates/From 50 to 100;Large Land Estates/Total area/From 50 to 100;Large Land Estates/Arable land/From 50 to 100;Large Land Estates/Meadows/From 50 to 100;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 50 to 100;Large Land Estates/Orchards/From 50 to 100;Large Land Estates/Vegetable gardens/From 50 to 100;Large Land Estates/Parks/From 50 to 100;Large Land Estates/Land under forest use/From 50 to 100;Large Land Estates/Ponds and lakes/From 50 to 100;Large Land Estates/Under buildings and roads/From 50 to 100;Large Land Estates/Unproductive land/From 50 to 100;Large Land Estates/Number of estates/From 500 to 1000;Large Land Estates/Total area/From 500 to 1000;Large Land Estates/Arable land/From 500 to 1000;Large Land Estates/Meadows/From 500 to 1000;Large Land Estates/Permanent pastures, mountain meadows, and heaths/From 500 to 1000;Large Land Estates/Orchards/From 500 to 1000;Large Land Estates/Vegetable gardens/From 500 to 1000;Large Land Estates/Parks/From 500 to 1000;Large Land Estates/Land under forest use/From 500 to 1000;Large Land Estates/Ponds and lakes/From 500 to 1000;Large Land Estates/Under buildings and roads/From 500 to 1000;Large Land Estates/Unproductive land/From 500 to 1000;Large Land Estates/Number of estates/Over 1000;Large Land Estates/Total area/Over 1000;Large Land Estates/Arable land/Over 1000;Large Land Estates/Meadows/Over 1000;Large Land Estates/Permanent pastures, mountain meadows, and heaths/Over 1000;Large Land Estates/Orchards/Over 1000;Large Land Estates/Vegetable gardens/Over 1000;Large Land Estates/Parks/Over 1000;Large Land Estates/Land under forest use/Over 1000;Large Land Estates/Ponds and lakes/Over 1000;Large Land Estates/Under buildings and roads/Over 1000;Large Land Estates/Unproductive land/Over 1000;Large Land Estates/Number of estates/Together;Large Land Estates/Total area/Together;Large Land Estates/Arable land/Together;Large Land Estates/Meadows/Together;Large Land Estates/Permanent pastures, mountain meadows, and heaths/Together;Large Land Estates/Orchards/Together;Large Land Estates/Vegetable gardens/Together;Large Land Estates/Parks/Together;Large Land Estates/Land under forest use/Together;Large Land Estates/Ponds and lakes/Together;Large Land Estates/Under buildings and roads/Together;Large Land Estates/Unproductive land/Together
TARNOWSKI;KRAKOWSKIE;9.0;1497.0;920.0;109.0;75.0;10.0;3.0;5.0;341.0;4.0;13.0;17.0;5.0;1175.0;578.0;82.0;52.0;14.0;5.0;11.0;385.0;12.0;9.0;27.0;1.0;371.0;116.0;23.0;5.0;5.0;2.0;1.0;203.0;6.0;6.0;4.0;3.0;1292.0;343.0;37.0;117.0;13.0;1.0;3.0;756.0;0.0;8.0;14.0;10.0;791.0;491.0;27.0;30.0;8.0;2.0;5.0;189.0;5.0;11.0;23.0;1.0;629.0;296.0;15.0;26.0;3.0;0.0;0.0;285.0;0.0;2.0;2.0;1.0;8524.0;3658.0;577.0;263.0;43.0;23.0;10.0;3490.0;177.0;125.0;158.0;30.0;14279.0;6402.0;870.0;568.0;96.0;36.0;35.0;5649.0;204.0;174.0;245.0
WADOWICKI;KRAKOWSKIE;9.0;1352.0;751.0;148.0;61.0;11.0;3.0;4.0;222.0;97.0;19.0;36.0;6.0;1453.0;821.0;65.0;58.0;12.0;6.0;10.0;416.0;33.0;17.0;15.0;6.0;2068.0;765.0;162.0;48.0;22.0;5.0;5.0;783.0;238.0;17.0;23.0;2.0;901.0;49.0;5.0;2.0;0.0;0.0;0.0;834.0;0.0;11.0;0.0;5.0;355.0;194.0;29.0;19.0;14.0;0.0;0.0;86.0;0.0;8.0;5.0;5.0;2841.0;1258.0;119.0;99.0;25.0;8.0;12.0;1264.0;16.0;31.0;9.0;2.0;5973.0;629.0;58.0;59.0;10.0;2.0;1.0;5140.0;15.0;40.0;19.0;35.0;14943.0;4467.0;586.0;346.0;94.0;24.0;32.0;8745.0;399.0;143.0;107.0
WIELICKI;KRAKOWSKIE;17.0;2506.0;1056.0;121.0;105.0;41.0;6.0;6.0;1119.0;4.0;28.0;20.0;5.0;1284.0;561.0;120.0;51.0;16.0;3.0;3.0;503.0;5.0;20.0;2.0;2.0;739.0;403.0;98.0;12.0;2.0;3.0;0.0;214.0;0.0;3.0;4.0;1.0;475.0;122.0;0.0;41.0;5.0;2.0;0.0;290.0;2.0;6.0;7.0;15.0;1059.0;581.0;84.0;59.0;30.0;12.0;5.0;239.0;3.0;18.0;28.0;3.0;1869.0;483.0;107.0;33.0;4.0;6.0;5.0;1206.0;12.0;7.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.0;7932.0;3206.0;530.0;301.0;98.0;32.0;19.0;3571.0;26.0;82.0;67.0
ŻYWIECKI;KRAKOWSKIE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;409.0;218.0;46.0;13.0;1.0;0.0;3.0;122.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;39969.0;1935.0;363.0;465.0;16.0;26.0;12.0;36804.0;68.0;259.0;21.0;5.0;40378.0;2153.0;409.0;478.0;17.0;26.0;15.0;36926.0;70.0;262.0;22.0
BIALSKI (BIAŁA PODLASKA);LUBELSKIE;11.0;1504.0;662.0;210.0;169.0;10.0;5.0;0.0;313.0;9.0;17.0;109.0;11.0;2782.0;1460.0;580.0;376.0;14.0;20.0;5.0;149.0;6.0;17.0;155.0;3.0;997.0;452.0;134.0;124.0;7.0;7.0;1.0;226.0;4.0;9.0;33.0;3.0;1359.0;806.0;300.0;45.0;3.0;0.0;3.0;156.0;11.0;16.0;19.0;14.0;1027.0;509.0;185.0;107.0;13.0;4.0;2.0;55.0;0.0;14.0;138.0;6.0;3644.0;1880.0;626.0;29.0;15.0;12.0;157.0;818.0;19.0;22.0;66.0;2.0;5221.0;1629.0;458.0;179.0;10.0;18.0;0.0;2589.0;217.0;57.0;64.0;50.0;16534.0;7398.0;2493.0;1029.0;72.0;66.0;168.0;4306.0;266.0;152.0;584.0
BIŁGORAJSKI;LUBELSKIE;1.0;118.0;78.0;15.0;11.0;1.0;0.0;0.0;0.0;0.0;5.0;8.0;1.0;285.0;174.0;14.0;0.0;2.0;1.0;0.0;82.0;11.0;1.0;0.0;1.0;319.0;0.0;2.0;36.0;0.0;0.0;0.0;233.0;1.0;0.0;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;624.0;101.0;18.0;9.0;1.0;1.0;0.0;377.0;20.0;8.0;89.0;1.0;67456.0;8801.0;2276.0;1347.0;49.0;22.0;2.0;50550.0;167.0;151.0;4091.0;5.0;68802.0;9154.0;2325.0;1403.0;53.0;24.0;2.0;51242.0;199.0;165.0;4235.0
CHEŁMSKI;LUBELSKIE;5.0;724.0;535.0;103.0;25.0;5.0;4.0;;29.0;3.0;12.0;8.0;5.0;1135.0;612.0;181.0;49.0;13.0;8.0;16.0;30.0;8.0;21.0;197.0;2.0;723.0;560.0;57.0;;10.0;4.0;3.0;14.0;;37.0;38.0;5.0;2272.0;1758.0;126.0;125.0;19.0;7.0;7.0;184.0;13.0;28.0;5.0;6.0;432.0;257.0;78.0;13.0;4.0;3.0;;15.0;21.0;37.0;4.0;9.0;6146.0;3668.0;730.0;119.0;38.0;20.0;29.0;996.0;192.0;132.0;222.0;7.0;16186.0;4575.0;1851.0;698.0;41.0;63.0;23.0;8059.0;206.0;204.0;466.0;39.0;27618.0;11965.0;3126.0;1029.0;130.0;109.0;78.0;9327.0;443.0;471.0;940.0
GARWOLIŃSKI;LUBELSKIE;11.0;1538.0;861.0;173.0;99.0;52.0;13.0;3.0;145.0;35.0;35.0;122.0;9.0;2174.0;1164.0;102.0;109.0;31.0;24.0;9.0;568.0;33.0;46.0;88.0;3.0;999.0;644.0;66.0;40.0;10.0;1.0;8.0;190.0;11.0;9.0;20.0;5.0;2219.0;917.0;221.0;292.0;19.0;7.0;10.0;457.0;204.0;40.0;52.0;14.0;1062.0;571.0;72.0;113.0;17.0;14.0;2.0;168.0;7.0;26.0;72.0;7.0;4970.0;2053.0;407.0;334.0;42.0;10.0;21.0;1316.0;593.0;109.0;85.0;9.0;26713.0;4665.0;1245.0;682.0;73.0;46.0;50.0;18431.0;520.0;213.0;788.0;58.0;39675.0;10875.0;2286.0;1669.0;244.0;115.0;103.0;21275.0;1403.0;478.0;1227.0
HRUBIESZOWSKI;LUBELSKIE;6.0;922.0;774.0;86.0;11.0;12.0;6.0;1.0;6.0;1.0;10.0;15.0;4.0;933.0;734.0;92.0;29.0;13.0;5.0;7.0;38.0;0.0;12.0;3.0;8.0;2747.0;1802.0;266.0;0.0;31.0;32.0;11.0;525.0;27.0;36.0;17.0;1.0;430.0;208.0;59.0;0.0;6.0;7.0;0.0;132.0;1.0;4.0;13.0;11.0;760.0;610.0;66.0;3.0;11.0;11.0;0.0;22.0;7.0;15.0;15.0;20.0;14208.0;7859.0;1730.0;121.0;123.0;154.0;110.0;3542.0;106.0;218.0;245.0;16.0;25624.0;14627.0;3483.0;471.0;178.0;167.0;77.0;5847.0;106.0;190.0;478.0;66.0;45624.0;26614.0;5782.0;635.0;374.0;382.0;206.0;10112.0;248.0;485.0;786.0
JANOWSKI;LUBELSKIE;6.0;885.0;717.0;44.0;25.0;6.0;4.0;0.0;42.0;12.0;14.0;21.0;2.0;570.0;483.0;17.0;8.0;6.0;2.0;0.0;28.0;3.0;7.0;16.0;6.0;2057.0;1449.0;35.0;58.0;19.0;12.0;34.0;345.0;32.0;49.0;24.0;5.0;2297.0;1326.0;129.0;38.0;24.0;2.0;8.0;644.0;25.0;21.0;80.0;4.0;320.0;245.0;28.0;10.0;2.0;6.0;6.0;3.0;0.0;12.0;8.0;5.0;4284.0;2519.0;155.0;103.0;14.0;5.0;4.0;1021.0;278.0;75.0;110.0;7.0;44825.0;5834.0;625.0;725.0;38.0;18.0;6.0;34252.0;1977.0;204.0;1146.0;35.0;55238.0;12573.0;1033.0;967.0;109.0;49.0;58.0;36335.0;2327.0;382.0;1405.0
KONSTANTYNOWSKI;LUBELSKIE;17.0;2295.0;1420.0;244.0;154.0;23.0;13.0;0.0;289.0;19.0;30.0;103.0;4.0;1022.0;643.0;91.0;70.0;8.0;2.0;0.0;142.0;4.0;12.0;50.0;7.0;2444.0;1477.0;260.0;216.0;34.0;13.0;4.0;333.0;32.0;41.0;34.0;2.0;976.0;661.0;79.0;7.0;8.0;3.0;1.0;198.0;1.0;7.0;11.0;10.0;795.0;555.0;78.0;54.0;12.0;6.0;7.0;28.0;10.0;16.0;29.0;9.0;6257.0;3749.0;572.0;215.0;44.0;60.0;36.0;1306.0;95.0;99.0;81.0;11.0;21064.0;11099.0;1921.0;615.0;60.0;54.0;15.0;6732.0;81.0;210.0;277.0;60.0;34853.0;19604.0;3245.0;1331.0;189.0;151.0;63.0;9028.0;242.0;415.0;585.0
KRASNOSTAWSKI;LUBELSKIE;10.0;1563.0;1250.0;55.0;18.0;15.0;8.0;3.0;123.0;13.0;29.0;49.0;10.0;2572.0;1593.0;150.0;27.0;15.0;22.0;12.0;584.0;77.0;45.0;47.0;6.0;2125.0;1418.0;163.0;2.0;10.0;6.0;9.0;276.0;30.0;36.0;175.0;1.0;406.0;364.0;26.0;0.0;0.0;3.0;4.0;0.0;0.0;7.0;2.0;15.0;1030.0;776.0;25.0;94.0;7.0;11.0;1.0;53.0;4.0;17.0;42.0;13.0;9267.0;6481.0;455.0;91.0;54.0;31.0;25.0;1727.0;84.0;175.0;144.0;10.0;28122.0;11872.0;1632.0;338.0;85.0;83.0;15.0;13199.0;80.0;239.0;579.0;65.0;45085.0;23754.0;2506.0;570.0;186.0;164.0;69.0;15962.0;288.0;548.0;1038.0
LUBARTOWSKI;LUBELSKIE;6.0;911.0;554.0;167.0;61.0;9.0;6.0;1.0;59.0;18.0;13.0;23.0;3.0;726.0;198.0;127.0;50.0;9.0;2.0;0.0;39.0;284.0;8.0;9.0;1.0;375.0;218.0;112.0;0.0;1.0;1.0;0.0;0.0;42.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;334.0;209.0;38.0;52.0;3.0;2.0;0.0;1.0;1.0;5.0;23.0;4.0;2549.0;1326.0;265.0;123.0;11.0;28.0;7.0;409.0;200.0;44.0;136.0;7.0;19445.0;6875.0;1542.0;474.0;75.0;42.0;23.0;9535.0;297.0;149.0;433.0;26.0;24340.0;9380.0;2251.0;760.0;108.0;81.0;31.0;10043.0;842.0;220.0;624.0
LUBELSKI;LUBELSKIE;20.0;2681.0;2138.0;223.0;39.0;38.0;17.0;23.0;44.0;61.0;55.0;43.0;13.0;3264.0;2556.0;204.0;33.0;38.0;15.0;14.0;140.0;152.0;55.0;57.0;12.0;4423.0;3688.0;136.0;36.0;30.0;26.0;29.0;338.0;28.0;73.0;39.0;4.0;1865.0;1397.0;111.0;59.0;15.0;6.0;15.0;166.0;39.0;11.0;46.0;6.0;440.0;364.0;18.0;0.0;18.0;3.0;0.0;9.0;19.0;7.0;2.0;23.0;15656.0;11255.0;1005.0;202.0;98.0;68.0;60.0;2197.0;199.0;236.0;336.0;11.0;15761.0;10008.0;1570.0;182.0;124.0;27.0;30.0;3230.0;205.0;325.0;60.0;89.0;44090.0;31406.0;3267.0;551.0;361.0;162.0;171.0;6124.0;703.0;762.0;583.0
LUBLIN (MIASTO);LUBELSKIE;4.0;537.0;423.0;39.0;39.0;7.0;4.0;0.0;0.0;1.0;11.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;54.0;40.0;6.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;591.0;463.0;45.0;43.0;7.0;4.0;0.0;0.0;1.0;12.0;16.0
PUŁAWSKI;LUBELSKIE;12.0;1796.0;886.0;116.0;30.0;24.0;16.0;6.0;344.0;177.0;38.0;159.0;5.0;1243.0;793.0;71.0;15.0;10.0;5.0;2.0;185.0;31.0;19.0;112.0;6.0;2043.0;1451.0;104.0;169.0;16.0;6.0;6.0;203.0;13.0;70.0;5.0;6.0;2624.0;1755.0;101.0;6.0;168.0;17.0;21.0;428.0;42.0;43.0;43.0;4.0;241.0;123.0;27.0;27.0;3.0;4.0;0.0;30.0;8.0;7.0;12.0;9.0;6545.0;3580.0;305.0;184.0;29.0;14.0;17.0;1454.0;245.0;121.0;596.0;7.0;16468.0;5982.0;751.0;363.0;53.0;73.0;45.0;8003.0;652.0;235.0;311.0;49.0;30960.0;14570.0;1475.0;794.0;303.0;135.0;97.0;10647.0;1168.0;533.0;1238.0
RADZYŃSKI;LUBELSKIE;6.0;788.0;325.0;225.0;53.0;7.0;2.0;2.0;62.0;49.0;21.0;42.0;1.0;207.0;135.0;59.0;0.0;4.0;3.0;3.0;0.0;0.0;3.0;0.0;2.0;676.0;453.0;100.0;46.0;10.0;2.0;0.0;45.0;1.0;13.0;6.0;1.0;423.0;270.0;74.0;0.0;1.0;1.0;1.0;70.0;0.0;2.0;4.0;5.0;303.0;146.0;51.0;14.0;2.0;3.0;0.0;35.0;2.0;6.0;44.0;5.0;3321.0;1787.0;456.0;226.0;14.0;7.0;6.0;665.0;52.0;54.0;54.0;11.0;45435.0;16234.0;6214.0;2113.0;114.0;169.0;37.0;17704.0;854.0;918.0;1078.0;31.0;51153.0;19350.0;7179.0;2452.0;152.0;187.0;49.0;18581.0;958.0;1017.0;1228.0
SIEDLECKI;LUBELSKIE;13.0;1745.0;838.0;192.0;270.0;27.0;6.0;17.0;217.0;65.0;31.0;82.0;2.0;544.0;247.0;40.0;40.0;3.0;5.0;1.0;95.0;97.0;16.0;0.0;2.0;656.0;421.0;78.0;101.0;3.0;0.0;1.0;11.0;25.0;10.0;6.0;4.0;1841.0;1028.0;162.0;76.0;17.0;12.0;1.0;314.0;139.0;19.0;73.0;17.0;1163.0;562.0;117.0;149.0;6.0;7.0;1.0;154.0;8.0;31.0;128.0;6.0;4170.0;1794.0;573.0;447.0;11.0;11.0;8.0;1125.0;64.0;70.0;67.0;3.0;5258.0;1337.0;481.0;487.0;4.0;31.0;6.0;2426.0;222.0;101.0;163.0;47.0;15377.0;6227.0;1643.0;1570.0;71.0;72.0;35.0;4342.0;620.0;278.0;519.0
SOKOŁOWSKI;LUBELSKIE;9.0;1231.0;721.0;88.0;178.0;22.0;1.0;0.0;125.0;0.0;21.0;75.0;8.0;2082.0;1398.0;121.0;96.0;17.0;5.0;3.0;318.0;5.0;45.0;74.0;7.0;2441.0;1584.0;135.0;116.0;16.0;7.0;3.0;451.0;10.0;51.0;68.0;3.0;1356.0;914.0;63.0;67.0;21.0;0.0;5.0;226.0;7.0;25.0;28.0;17.0;1261.0;760.0;75.0;178.0;7.0;2.0;0.0;110.0;7.0;29.0;93.0;7.0;5110.0;2740.0;339.0;756.0;28.0;27.0;20.0;953.0;68.0;82.0;97.0;6.0;13131.0;5778.0;928.0;305.0;26.0;24.0;36.0;5361.0;196.0;319.0;158.0;57.0;26612.0;13895.0;1749.0;1696.0;137.0;66.0;67.0;7544.0;293.0;572.0;593.0
TOMASZOWSKI;LUBELSKIE;7.0;1018.0;584.0;192.0;22.0;16.0;6.0;3.0;114.0;19.0;12.0;50.0;11.0;2702.0;2068.0;320.0;32.0;22.0;13.0;5.0;141.0;25.0;39.0;37.0;5.0;1757.0;1086.0;206.0;93.0;15.0;14.0;1.0;290.0;9.0;22.0;21.0;4.0;1752.0;1137.0;309.0;47.0;14.0;8.0;7.0;144.0;35.0;31.0;20.0;9.0;703.0;489.0;80.0;27.0;5.0;6.0;0.0;19.0;26.0;11.0;40.0;12.0;8274.0;5268.0;1383.0;129.0;41.0;29.0;13.0;1040.0;93.0;117.0;161.0;9.0;20546.0;8799.0;1639.0;306.0;43.0;99.0;40.0;8405.0;647.0;374.0;194.0;57.0;36752.0;19431.0;4129.0;656.0;156.0;175.0;69.0;10153.0;854.0;606.0;523.0
WĘGROWSKI;LUBELSKIE;8.0;1066.0;652.0;109.0;70.0;24.0;9.0;1.0;134.0;6.0;17.0;44.0;5.0;1194.0;800.0;31.0;63.0;12.0;8.0;2.0;137.0;7.0;28.0;106.0;4.0;1556.0;677.0;167.0;140.0;14.0;3.0;1.0;272.0;233.0;44.0;5.0;1.0;414.0;202.0;17.0;0.0;2.0;0.0;0.0;129.0;50.0;3.0;11.0;11.0;745.0;389.0;72.0;59.0;12.0;4.0;2.0;95.0;21.0;24.0;67.0;3.0;2052.0;1128.0;170.0;24.0;140.0;0.0;0.0;487.0;53.0;17.0;33.0;7.0;25932.0;7531.0;1292.0;1192.0;51.0;22.0;13.0;14617.0;215.0;234.0;765.0;39.0;32959.0;11379.0;1858.0;1548.0;255.0;46.0;19.0;15871.0;585.0;367.0;1031.0
WŁODAWSKI;LUBELSKIE;15.0;2215.0;1003.0;510.0;264.0;11.0;12.0;10.0;164.0;76.0;18.0;147.0;6.0;1440.0;734.0;245.0;99.0;7.0;3.0;0.0;244.0;64.0;32.0;12.0;2.0;624.0;292.0;159.0;7.0;8.0;5.0;3.0;114.0;27.0;9.0;0.0;2.0;847.0;387.0;347.0;60.0;4.0;7.0;2.0;8.0;0.0;6.0;26.0;16.0;1126.0;455.0;137.0;279.0;3.0;3.0;0.0;108.0;8.0;23.0;110.0;7.0;4857.0;1403.0;1058.0;331.0;12.0;12.0;8.0;472.0;480.0;65.0;1016.0;8.0;28557.0;5983.0;2931.0;1491.0;98.0;55.0;30.0;15376.0;1254.0;131.0;1208.0;56.0;39666.0;10257.0;5387.0;2531.0;143.0;97.0;53.0;16486.0;1909.0;284.0;2519.0
ZAMOJSKI;LUBELSKIE;6.0;964.0;490.0;65.0;15.0;17.0;8.0;4.0;287.0;44.0;14.0;20.0;2.0;448.0;329.0;83.0;1.0;2.0;1.0;1.0;19.0;0.0;4.0;8.0;6.0;2034.0;1450.0;216.0;26.0;18.0;10.0;12.0;233.0;15.0;29.0;25.0;2.0;860.0;277.0;8.0;0.0;2.0;0.0;0.0;559.0;0.0;6.0;8.0;6.0;394.0;278.0;74.0;10.0;2.0;2.0;0.0;16.0;1.0;5.0;6.0;6.0;4068.0;1881.0;367.0;23.0;28.0;22.0;21.0;1572.0;70.0;42.0;42.0;6.0;69716.0;16800.0;3637.0;888.0;101.0;97.0;216.0;45567.0;609.0;656.0;1145.0;34.0;78484.0;21505.0;4450.0;963.0;170.0;140.0;254.0;48253.0;739.0;756.0;1254.0
ŁUKOWSKI;LUBELSKIE;5.0;645.0;327.0;75.0;98.0;4.0;6.0;0.0;74.0;0.0;8.0;53.0;4.0;1030.0;570.0;94.0;64.0;19.0;11.0;0.0;210.0;5.0;26.0;31.0;4.0;1462.0;859.0;140.0;121.0;25.0;2.0;1.0;249.0;21.0;37.0;7.0;4.0;1765.0;807.0;146.0;175.0;27.0;11.0;6.0;384.0;124.0;39.0;46.0;8.0;645.0;307.0;40.0;102.0;8.0;8.0;8.0;62.0;66.0;25.0;19.0;11.0;7999.0;3802.0;979.0;256.0;48.0;43.0;43.0;1887.0;676.0;159.0;106.0;7.0;14473.0;5678.0;1225.0;925.0;53.0;42.0;19.0;5122.0;530.0;247.0;632.0;43.0;28019.0;12350.0;2699.0;1741.0;184.0;123.0;77.0;7988.0;1422.0;541.0;894.0
BRZOZOWSKI;LWOWSKIE;7.0;1099.0;621.0;62.0;63.0;3.0;5.0;3.0;301.0;2.0;20.0;19.0;5.0;1338.0;717.0;64.0;49.0;6.0;2.0;1.0;490.0;1.0;6.0;2.0;3.0;1086.0;528.0;88.0;50.0;4.0;5.0;6.0;388.0;4.0;8.0;5.0;5.0;2220.0;810.0;124.0;93.0;29.0;15.0;2.0;1126.0;4.0;12.0;5.0;3.0;259.0;132.0;12.0;22.0;3.0;0.0;0.0;82.0;1.0;1.0;6.0;7.0;5107.0;1307.0;151.0;502.0;6.0;14.0;11.0;3004.0;4.0;14.0;94.0;4.0;5643.0;1969.0;469.0;188.0;22.0;10.0;25.0;2889.0;4.0;24.0;43.0;34.0;16752.0;6084.0;970.0;967.0;73.0;51.0;48.0;8280.0;20.0;85.0;174.0
BÓBRECKI;LWOWSKIE;5.0;620.0;456.0;52.0;62.0;5.0;5.0;1.0;10.0;0.0;8.0;21.0;5.0;1268.0;833.0;124.0;30.0;9.0;4.0;0.0;238.0;1.0;23.0;6.0;2.0;651.0;514.0;36.0;10.0;2.0;1.0;0.0;75.0;1.0;6.0;6.0;2.0;854.0;580.0;47.0;28.0;7.0;9.0;3.0;148.0;0.0;8.0;24.0;1.0;68.0;27.0;6.0;3.0;1.0;0.0;0.0;28.0;0.0;2.0;1.0;7.0;5094.0;2082.0;396.0;203.0;33.0;19.0;9.0;2251.0;24.0;29.0;48.0;7.0;22695.0;7031.0;1991.0;1293.0;49.0;51.0;28.0;11086.0;778.0;93.0;295.0;29.0;31250.0;11523.0;2652.0;1629.0;106.0;89.0;41.0;13836.0;804.0;169.0;401.0
DOBROMILSKI;LWOWSKIE;10.0;1491.0;547.0;42.0;80.0;9.0;3.0;3.0;765.0;1.0;12.0;29.0;6.0;1641.0;593.0;96.0;64.0;7.0;7.0;5.0;825.0;2.0;17.0;25.0;7.0;2394.0;588.0;41.0;91.0;6.0;5.0;4.0;1605.0;0.0;13.0;41.0;3.0;1336.0;430.0;44.0;45.0;4.0;1.0;3.0;796.0;1.0;9.0;3.0;3.0;205.0;113.0;10.0;13.0;3.0;2.0;0.0;48.0;1.0;4.0;11.0;5.0;3374.0;954.0;123.0;100.0;11.0;5.0;2.0;2136.0;1.0;8.0;34.0;4.0;6870.0;1816.0;245.0;390.0;21.0;10.0;4.0;4291.0;1.0;24.0;68.0;38.0;17311.0;5041.0;601.0;783.0;61.0;33.0;21.0;10466.0;7.0;87.0;211.0
DROHOBYCKI;LWOWSKIE;1.0;174.0;35.0;32.0;20.0;1.0;1.0;0.0;25.0;0.0;2.0;58.0;5.0;1133.0;321.0;219.0;56.0;9.0;7.0;3.0;499.0;0.0;10.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;174.0;75.0;61.0;33.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;3.0;2482.0;827.0;495.0;169.0;12.0;20.0;2.0;918.0;13.0;11.0;15.0;8.0;32883.0;1197.0;2265.0;1673.0;13.0;43.0;8.0;27443.0;86.0;110.0;45.0;20.0;36846.0;2455.0;3072.0;1951.0;35.0;73.0;13.0;28885.0;99.0;136.0;127.0
