Region;District;Liczba ludności/Ogółem;Liczba ludności/Mniej niż 2 ha;Liczba ludności/2 - 5 ha;Liczba ludności/5 - 10 ha;Liczba ludności/10 - 15 ha;Liczba ludności/15 - 50 ha;Liczba ludności/50 ha i więcej;Liczba ludności/Niewiadoma;Liczba zespołów/Ogółem;Liczba zespołów/Mniej niż 2 ha;Liczba zespołów/2 - 5 ha;Liczba zespołów/5 - 10 ha;Liczba zespołów/10 - 15 ha;Liczba zespołów/15 - 50 ha;Liczba zespołów/50 ha i więcej;Liczba zespołów/Niewiadoma
POZNAŃSKIE;OBORNICKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);;;;;;;;;;;;;;;;
POZNAŃSKIE;POZNAŃ (MIASTO);;;;;;;;;;;;;;;;
POZNAŃSKIE;POZNAŃSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;RAWICKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;SZAMOTULSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;SZUBIŃSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;WOLSZTYŃSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;WRZESIŃSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;WYRZYSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;WĄGROWIECKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;ŚREDZKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;ŚREMSKI;;;;;;;;;;;;;;;;
POZNAŃSKIE;ŻNIŃSKI;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;DOLIŃSKI;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;HORODEŃSKI;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;KAŁUSKI;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;KOŁOMYJSKI;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;ROHATYŃSKI;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;STANISŁAWOWSKI;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;STRYJSKI;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;TŁUMACKI;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;ŚNIATYŃSKI;;;;;;;;;;;;;;;;
STANISŁAWOWSKIE;ŻYDACZOWSKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;BORSZCZOWSKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;BRODZKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;BRZEŻAŃSKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;BUCZACKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;CZORTKOWSKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;KAMIONECKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;KOPYCZYNIECKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;PODHAJECKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;PRZEMYŚLAŃSKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;RADZIECHOWSKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;SKAŁACKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;TARNOPOLSKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;TREMBOWELSKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;ZALESZCZYCKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;ZBARASKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;ZBOROWSKI;;;;;;;;;;;;;;;;
TARNOPOLSKIE;ZŁOCZOWSKI;;;;;;;;;;;;;;;;
WARSZAWSKIE;BŁOŃSKI;45382.0;4562.0;13942.0;16158.0;4250;1823;217;4430.0;9560.0;1215.0;3166.0;3154.0;762;295;68;900.0
WARSZAWSKIE;CIECHANOWSKI;35395.0;2042.0;6729.0;10297.0;6524;6265;612;2926.0;7102.0;497.0;1504.0;2039.0;1194;1125;158;585.0
WARSZAWSKIE;GOSTYNIŃSKI;43051.0;3425.0;11000.0;17607.0;6795;2745;142;1337.0;8723.0;888.0;2464.0;3422.0;1210;463;40;236.0
WARSZAWSKIE;GRÓJECKI;67541.0;5275.0;18088.0;27454.0;8673;4662;29;3360.0;13739.0;1380.0;3968.0;5284.0;1530;781;98;698.0
WARSZAWSKIE;KUTNOWSKI;35518.0;2683.0;9090.0;13155.0;5100;2150;263;3077.0;6887.0;656.0;1900.0;2442.0;892;361;84;552.0
WARSZAWSKIE;LIPNOWSKI;51190.0;4129.0;13082.0;16666.0;7563;6287;457;3006.0;9944.0;1008.0;2752.0;3117.0;1321;1057;124;565.0
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);39267.0;3113.0;8696.0;12995.0;6812;5020;215;2416.0;7843.0;783.0;1892.0;2550.0;1220;858;50;490.0
WARSZAWSKIE;MIŃSKI;64323.0;6926.0;23855.0;23808.0;4784;1592;136;3222.0;13450.0;1825.0;5227.0;4521.0;819;274;44;740.0
WARSZAWSKIE;MŁAWSKI;51039.0;3629.0;10993.0;17230.0;9045;6889;528;2725.0;10155.0;884.0;2409.0;3392.0;1626;1158;136;550.0
WARSZAWSKIE;NIESZAWSKI;48320.0;3543.0;10481.0;16120.0;7724;7330;443;2679.0;8794.0;819.0;2114.0;2818.0;1272;1193;119;459.0
WARSZAWSKIE;PRZASNYCKI;38110.0;2415.0;7984.0;12786.0;7099;5816;300;1710.0;7895.0;615.0;1818.0;2605.0;1365;1036;70;386.0
WARSZAWSKIE;PUŁTUSKI;53800.0;3703.0;13673.0;19514.0;7903;4657;414;3936.0;10940.0;928.0;3022.0;3828.0;1427;829;108;798.0
WARSZAWSKIE;PŁOCKI;48026.0;2965.0;10465.0;16373.0;6988;6568;682;3985.0;9417.0;724.0;2185.0;3121.0;1245;1171;194;777.0
WARSZAWSKIE;PŁOŃSKI;39708.0;2205.0;8229.0;12477.0;7157;7148;576;1916.0;7816.0;541.0;1767.0;2399.0;1301;1281;157;370.0
WARSZAWSKIE;RADZYMIŃSKI;50499.0;7148.0;17931.0;15213.0;3909;1646;70;4582.0;10155.0;1734.0;3731.0;2785.0;637;269;24;975.0
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);58068.0;5915.0;17910.0;22980.0;6196;1974;156;2937.0;11681.0;1493.0;3881.0;4322.0;1044;321;53;567.0
