Region;District;Konie (sztuki);Bydło rogate (sztuki);Trzoda chlewna (sztuki);Owce (sztuki);Kozy (sztuki)
POMORSKIE;BRODNICKI;12446.0;31988.0;33318.0;10354.0;915.0
POMORSKIE;CHEŁMIŃSKI;10342.0;24068.0;27866.0;17618.0;1107.0
POMORSKIE;CHOJNICKI;8621.0;25722.0;26151.0;14961.0;1907.0
POMORSKIE;DZIAŁDOWSKI;5493.0;14178.0;11468.0;3153.0;259.0
POMORSKIE;GDYNIA (MIASTO);182.0;190.0;130.0;28.0;3.0
POMORSKIE;GNIEWSKI;5508.0;12107.0;11363.0;4179.0;1270.0
POMORSKIE;GRUDZIĄDZ (MIASTO);530.0;194.0;59.0;1.0;1.0
POMORSKIE;GRUDZIĄDZKI;11761.0;25907.0;26757.0;11972.0;984.0
POMORSKIE;KARTUSKI;10439.0;27043.0;34838.0;11554.0;842.0
POMORSKIE;KOŚCIERSKI;8220.0;22844.0;26411.0;11740.0;1574.0
POMORSKIE;LUBAWSKI;13074.0;33858.0;34181.0;6952.0;1900.0
POMORSKIE;MORSKI;9215.0;24962.0;28796.0;12230.0;1048.0
POMORSKIE;STAROGARDZKI;8972.0;21442.0;23720.0;6352.0;2393.0
POMORSKIE;SĘPOLEŃSKI;6512.0;20527.0;22740.0;17248.0;1637.0
POMORSKIE;TCZEWSKI;5064.0;9099.0;10114.0;6602.0;721.0
POMORSKIE;TORUŃ (MIASTO);580.0;328.0;574.0;14.0;295.0
POMORSKIE;TORUŃSKI;10316.0;25348.0;22746.0;12135.0;896.0
POMORSKIE;TUCHOLSKI;5914.0;15819.0;19192.0;6817.0;1424.0
POMORSKIE;WĄBRZESKI;10779.0;27408.0;28567.0;5742.0;825.0
POMORSKIE;ŚWIECKI;15286.0;36374.0;52701.0;11982.0;3774.0
POZNAŃSKIE;BYDGOSKI;11679.0;31410.0;35088.0;9355.0;1991.0
POZNAŃSKIE;BYDGOSZCZ (MIASTO);1538.0;1072.0;1429.0;22.0;1087.0
POZNAŃSKIE;CHODZIESKI;8200.0;23917.0;25689.0;5262.0;2077.0
POZNAŃSKIE;CZARNKOWSKI;5082.0;13813.0;18761.0;2051.0;2648.0
POZNAŃSKIE;GNIEZNO (MIASTO);524.0;119.0;208.0;0.0;245.0
POZNAŃSKIE;GNIEŹNIEŃSKI;12767.0;36339.0;45535.0;7074.0;2551.0
POZNAŃSKIE;GOSTYŃSKI;8609.0;25252.0;23373.0;5045.0;2128.0
POZNAŃSKIE;GRODZISKI;5034.0;24576.0;14173.0;2293.0;2170.0
POZNAŃSKIE;INOWROCŁAW (MIASTO);465.0;295.0;467.0;16.0;258.0
POZNAŃSKIE;INOWROCŁAWSKI;11407.0;32510.0;29041.0;10346.0;1700.0
POZNAŃSKIE;JAROCIŃSKI;8614.0;24332.0;19148.0;7885.0;2867.0
POZNAŃSKIE;KOŚCIAŃSKI;7899.0;24828.0;19533.0;3533.0;3127.0
POZNAŃSKIE;KOŹMIŃSKI;6469.0;19291.0;15230.0;3116.0;1148.0
POZNAŃSKIE;KROTOSZYŃSKI;6285.0;18734.0;17139.0;1157.0;1630.0
POZNAŃSKIE;KĘPIŃSKI;8815.0;23360.0;22766.0;1700.0;3685.0
POZNAŃSKIE;LESZCZYŃSKI;7905.0;26453.0;24731.0;1707.0;2712.0
POZNAŃSKIE;MIĘDZYCHODZKI;5525.0;15460.0;15632.0;1495.0;2577.0
POZNAŃSKIE;MOGILEŃSKI;10139.0;25909.0;28106.0;4272.0;3314.0
POZNAŃSKIE;NOWOTOMYSKI;7546.0;21995.0;31283.0;3440.0;5478.0
POZNAŃSKIE;OBORNICKI;10664.0;31799.0;41800.0;7238.0;3267.0
POZNAŃSKIE;ODOLANOWSKI;5214.0;21362.0;17534.0;130.0;1461.0
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);4617.0;13186.0;9366.0;1491.0;1647.0
POZNAŃSKIE;OSTRZESZOWSKI;5318.0;16484.0;13285.0;322.0;1665.0
POZNAŃSKIE;PLESZEWSKI;6070.0;16927.0;15560.0;3826.0;1606.0
POZNAŃSKIE;POZNAŃ (MIASTO);2305.0;912.0;599.0;138.0;169.0
POZNAŃSKIE;POZNAŃSKI;13823.0;36446.0;37899.0;3688.0;4272.0
POZNAŃSKIE;RAWICKI;6423.0;22754.0;21037.0;443.0;2427.0
POZNAŃSKIE;STRZELNEŃSKI;7578.0;19759.0;15406.0;8195.0;1516.0
POZNAŃSKIE;SZAMOTULSKI;11143.0;28895.0;32066.0;8114.0;4360.0
