Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIIR;Kategoria VIIIPR
Lwowska;RZESZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;22.0;0.0;33.0;1.0;654.0;6.0
Wołyńska;RÓWIEŃSKI;1.0;0.0;1.0;0.0;4.0;0.0;5.0;1.0;8.0;1.0;46.0;6.0;107.0;14.0;1106.0;149.0
Lwowska;SAMBORSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;11.0;1.0;19.0;1.0;424.0;20.0
Kielecka;SANDOMIERSKI;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;7.0;0.0;24.0;0.0;82.0;0.0;557.0;30.0
Lwowska;SANOCKI;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;0.0;32.0;0.0;18.0;0.0;402.0;9.0
Poleska;SARNEŃSKI;0.0;0.0;0.0;0.0;3.0;0.0;5.0;0.0;23.0;2.0;24.0;6.0;57.0;21.0;660.0;48.0
Lubelska;SIEDLECKI;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;30.0;0.0;62.0;6.0;600.0;37.0
Łódzka;SIERADZKI;1.0;0.0;0.0;0.0;1.0;0.0;18.0;4.0;32.0;3.0;46.0;10.0;132.0;8.0;1452.0;104.0
Warrszawa Okręgowa;SIERPECKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;0.0;15.0;0.0;52.0;4.0;647.0;46.0
Lwowska;SKAŁACKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;15.0;1.0;25.0;0.0;290.0;7.0
Warrszawa Okręgowa;SKIERNIEWICKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;8.0;0.0;23.0;2.0;79.0;2.0;587.0;23.0
Lwowska;SKOLSKI;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;15.0;0.0;22.0;3.0;16.0;3.0;282.0;11.0
Warrszawa Okręgowa;SOCHACZEWSKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;7.0;0.0;15.0;0.0;8.0;0.0;476.0;19.0
Lwowska;SOKALSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;8.0;0.0;67.0;0.0;20.0;1.0;556.0;4.0
Lubelska;SOKOŁOWSKI;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;9.0;1.0;19.0;1.0;486.0;19.0
Białostocka;SOKÓLSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.0;2.0;34.0;2.0;427.0;35.0
Lwowska;STANISŁAWOWSKI;1.0;0.0;0.0;0.0;0.0;0.0;11.0;1.0;31.0;2.0;40.0;3.0;87.0;2.0;1164.0;64.0
Pomorska;STAROGARDZKI;2.0;0.0;1.0;0.0;3.0;0.0;9.0;1.0;24.0;3.0;39.0;1.0;50.0;1.0;463.0;35.0
Lwowska;STAROSAMBORSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;12.0;1.0;26.0;1.0;219.0;8.0
;STOLIŃSKI;;;;;;;;;;;;;;;;
Kielecka;STOPNICKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;17.0;2.0;56.0;6.0;526.0;54.0
Poleska;STOŁPECKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;11.0;0.0;32.0;5.0;351.0;47.0
Lwowska;STRYJSKI;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;9.0;0.0;58.0;1.0;32.0;1.0;709.0;12.0
Wielkopolska;STRZELNEŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;9.0;0.0;14.0;1.0;44.0;0.0;372.0;19.0
Lwowska;STRZYŻOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;9.0;0.0;18.0;0.0;227.0;10.0
Białostocka;SUWALSKI;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;4.0;0.0;7.0;0.0;41.0;1.0;649.0;58.0
Wielkopolska;SZAMOTULSKI;1.0;0.0;1.0;0.0;1.0;0.0;9.0;0.0;20.0;0.0;43.0;2.0;63.0;0.0;484.0;27.0
Białostocka;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;14.0;0.0;19.0;0.0;445.0;26.0
Wielkopolska;SZUBIŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;8.0;1.0;19.0;0.0;52.0;0.0;471.0;18.0
Pomorska;SĘPOLEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;23.0;0.0;20.0;1.0;296.0;13.0
Poleska;SŁONIMSKI;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;16.0;3.0;48.0;5.0;109.0;4.0;839.0;75.0
Łódzka;SŁUPECKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;15.0;2.0;138.0;4.0;813.0;44.0
Lwowska;TARNOBRZESKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;9.0;1.0;18.0;1.0;9.0;0.0;402.0;15.0
Śląska;TARNOGÓRSKI;1.0;0.0;1.0;0.0;2.0;0.0;13.0;0.0;20.0;0.0;12.0;1.0;36.0;2.0;363.0;17.0
Lwowska;TARNOPOLSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;15.0;1.0;14.0;0.0;48.0;0.0;470.0;18.0
Krakowska;TARNOWSKI;0.0;0.0;0.0;0.0;3.0;0.0;9.0;0.0;8.0;0.0;13.0;1.0;68.0;2.0;817.0;14.0
Pomorska;TCZEWSKI;1.0;0.0;0.0;0.0;3.0;0.0;8.0;0.0;14.0;1.0;15.0;0.0;42.0;3.0;346.0;37.0
Lubelska;TOMASZOWSKI;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;13.0;1.0;17.0;1.0;403.0;36.0
Pomorska;TORUŃ (MIASTO);1.0;0.0;1.0;5.0;6.0;0.0;25.0;4.0;39.0;5.0;52.0;4.0;128.0;8.0;823.0;131.0
;TORUŃSKI;;;;;;;;;;;;;;;;
Lwowska;TREMBOWELSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;8.0;0.0;17.0;0.0;41.0;0.0;372.0;8.0
Pomorska;TUCHOLSKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;13.0;1.0;14.0;1.0;31.0;1.0;280.0;13.0
