Region;District;Liczba ludności/Ogółem;Liczba ludności/Mniej niż 2 ha;Liczba ludności/2 - 5 ha;Liczba ludności/5 - 10 ha;Liczba ludności/10 - 15 ha;Liczba ludności/15 - 50 ha;Liczba ludności/50 ha i więcej;Liczba ludności/Niewiadoma;Liczba zespołów/Ogółem;Liczba zespołów/Mniej niż 2 ha;Liczba zespołów/2 - 5 ha;Liczba zespołów/5 - 10 ha;Liczba zespołów/10 - 15 ha;Liczba zespołów/15 - 50 ha;Liczba zespołów/50 ha i więcej;Liczba zespołów/Niewiadoma
POZNAŃSKIE;WĄGROWIECKI;17299.0;442.0;965.0;2766.0;4736.0;7144.0;593.0;653.0;3091.0;119.0;193.0;517.0;810.0;1230.0;146.0;76.0
POZNAŃSKIE;ŚREDZKI;12625.0;563.0;948.0;2947.0;3043.0;4352.0;365.0;407.0;2287.0;154.0;212.0;529.0;521.0;713.0;97.0;61.0
POZNAŃSKIE;ŚREMSKI;15024.0;994.0;1648.0;3076.0;3092.0;5169.0;378.0;667.0;2684.0;275.0;365.0;561.0;534.0;824.0;84.0;41.0
POZNAŃSKIE;ŻNIŃSKI;12814.0;491.0;1066.0;1941.0;3081.0;5070.0;717.0;448.0;2351.0;121.0;221.0;355.0;551.0;897.0;156.0;50.0
STANISŁAWOWSKIE;DOLIŃSKI;69829.0;40955.0;16938.0;3716.0;569.0;252.0;13.0;7386.0;15731.0;10054.0;3424.0;730.0;106.0;48.0;4.0;1365.0
STANISŁAWOWSKIE;HORODEŃSKI;65963.0;23997.0;21373.0;5248.0;601.0;263.0;103.0;14378.0;15098.0;6287.0;4624.0;1012.0;112.0;50.0;38.0;2975.0
STANISŁAWOWSKIE;KAŁUSKI;75167.0;38798.0;21737.0;5581.0;738.0;266.0;61.0;7986.0;16479.0;9393.0;4352.0;996.0;122.0;47.0;15.0;1554.0
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);61643.0;30263.0;11378.0;4031.0;1063.0;959.0;169.0;13780.0;15470.0;8470.0;2691.0;897.0;234.0;208.0;36.0;2934.0
STANISŁAWOWSKIE;KOŁOMYJSKI;114111.0;68160.0;28161.0;5295.0;641.0;242.0;187.0;11425.0;28225.0;18450.0;6156.0;1049.0;117.0;54.0;56.0;2343.0
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;90848.0;60940.0;16041.0;3104.0;401.0;347.0;67.0;9948.0;21849.0;15836.0;3425.0;626.0;86.0;76.0;17.0;1783.0
STANISŁAWOWSKIE;ROHATYŃSKI;96363.0;44201.0;32939.0;7445.0;840.0;225.0;113.0;10600.0;20449.0;10489.0;6388.0;1304.0;144.0;42.0;42.0;2040.0
STANISŁAWOWSKIE;STANISŁAWOWSKI;106617.0;58473.0;29387.0;5597.0;634.0;329.0;109.0;12088.0;24411.0;14677.0;6037.0;1025.0;114.0;64.0;41.0;2453.0
STANISŁAWOWSKIE;STRYJSKI;88186.0;37722.0;27404.0;10645.0;2300.0;881.0;159.0;9075.0;18279.0;8804.0;5321.0;1916.0;395.0;145.0;40.0;1658.0
STANISŁAWOWSKIE;TŁUMACKI;87630.0;43385.0;27313.0;5495.0;860.0;317.0;108.0;10152.0;19917.0;10932.0;5733.0;1030.0;151.0;64.0;37.0;1970.0
STANISŁAWOWSKIE;ŚNIATYŃSKI;53998.0;30618.0;13437.0;2508.0;362.0;142.0;54.0;6877.0;14268.0;8799.0;3214.0;549.0;78.0;36.0;21.0;1571.0
STANISŁAWOWSKIE;ŻYDACZOWSKI;60905.0;29050.0;20064.0;4744.0;754.0;241.0;57.0;5995.0;12639.0;6639.0;3799.0;819.0;127.0;48.0;19.0;1188.0
