Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki Cukrowe
POMORSKIE;BRODNICKI;59524.0;388807;70568;53710.0;1018865.0;256640.0
POMORSKIE;CHEŁMIŃSKI;152385.0;210539;128504;67626.0;754562.0;1020558.0
POMORSKIE;CHOJNICKI;17902.0;360543;18040;53499.0;1130311.0;22710.0
POMORSKIE;DZIAŁDOWSKI;6386.0;148950;32213;24590.0;643247.0;21315.0
POMORSKIE;GNIEWSKI;67921.0;83452;44262;45393.0;328414.0;361260.0
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;;
POMORSKIE;GRUDZIĄDZKI;144200.0;202550;107202;84314.0;782871.0;592057.0
POMORSKIE;KARTUSKI;4416.0;209657;15864;126579.0;1029200.0;6384.0
POMORSKIE;KOŚCIERSKI;11434.0;304503;12124;81694.0;872341.0;0.0
POMORSKIE;LUBAWSKI;38405.0;352120;95091;80738.0;1275064.0;83106.0
POMORSKIE;MORSKI;9192.0;188499;18574;74263.0;899130.0;31367.0
POMORSKIE;STAROGARDZKI;44103.0;175135;34913;49159.0;642739.0;153552.0
POMORSKIE;SĘPOLEŃSKI;19042.0;221455;45229;73993.0;746717.0;41340.0
POMORSKIE;TCZEWSKI;87341.0;90505;47094;52291.0;412348.0;408178.0
POMORSKIE;TORUŃ (MIASTO);;;;;;
POMORSKIE;TORUŃSKI;129972.0;214973;88091;50838.0;816047.0;1231860.0
POMORSKIE;TUCHOLSKI;20428.0;178655;40047;38196.0;631683.0;51951.0
POMORSKIE;WĄBRZESKI;103131.0;212582;87427;51804.0;919002.0;504248.0
POMORSKIE;ŚWIECKI;70851.0;371365;86098;68592.0;1421677.0;277740.0
POZNAŃSKIE;BYDGOSKI;64371.0;323088;99411;91264.0;1150417.0;361970.0
POZNAŃSKIE;BYDGOSZCZ (MIASTO);;;;;;
POZNAŃSKIE;CHODZIESKI;15984.0;243641;39589;58465.0;985657.0;82904.0
POZNAŃSKIE;CZARNKOWSKI;19872.0;194924;20369;46951.0;789598.0;96420.0
POZNAŃSKIE;GNIEZNO (MIASTO);;;;;;
POZNAŃSKIE;GNIEŹNIEŃSKI;78686.0;399345;99065;93538.0;1376288.0;583452.0
POZNAŃSKIE;GOSTYŃSKI;120317.0;196183;70025;18182.0;757331.0;885008.0
POZNAŃSKIE;GRODZISKI;52037.0;206528;49927;47137.0;666365.0;694867.0
POZNAŃSKIE;INOWROCŁAW (MIASTO);;;;;;
POZNAŃSKIE;INOWROCŁAWSKI;180888.0;297167;199862;60148.0;870977.0;2172524.0
POZNAŃSKIE;JAROCIŃSKI;92005.0;280814;55385;24191.0;990535.0;609027.0
POZNAŃSKIE;KOŚCIAŃSKI;72773.0;262492;69259;71493.0;877296.0;521090.0
POZNAŃSKIE;KOŹMIŃSKI;106364.0;122430;35959;83226.0;487532.0;854172.0
POZNAŃSKIE;KROTOSZYŃSKI;57314.0;139166;29381;96255.0;436947.0;345696.0
POZNAŃSKIE;KĘPIŃSKI;30807.0;264155;17204;121804.0;1271927.0;172155.0
POZNAŃSKIE;LESZCZYŃSKI;99495.0;298084;62679;104438.0;1080880.0;486511.0
POZNAŃSKIE;MIĘDZYCHODZKI;24114.0;194303;21390;42920.0;623388.0;150361.0
POZNAŃSKIE;MOGILEŃSKI;75438.0;341330;114599;77092.0;976741.0;606278.0
POZNAŃSKIE;NOWOTOMYSKI;34666.0;220691;28825;56185.0;934435.0;333786.0
POZNAŃSKIE;OBORNICKI;61631.0;342166;61609;86091.0;1316046.0;387063.0
POZNAŃSKIE;ODOLANOWSKI;16640.0;1 9 342;8705;46287.0;512408.0;46604.0
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);33160.0;18703;18176;46899.0;85310.0;124637.0
POZNAŃSKIE;OSTRZESZOWSKI;10071.0;198705;8240;43085.0;696906.0;76671.0
POZNAŃSKIE;PLESZEWSKI;81500.0;258010;29739;97976.0;881896.0;434819.0
POZNAŃSKIE;POZNAŃ (MIASTO);;;;;;
POZNAŃSKIE;POZNAŃSKI;122979.0;688639;187331;183698.0;2423484.0;730282.0
