Region;District;Roman Catholic;% Roman Catholic;Greek Catholic;% Greek Catholic;Orthodox;% Orthodox;Evangelical;% Evangelical;Mosaic (Jewish);% Mosaic (Jewish);Other Christian denominations;% Other Christian;Other or unknown;% Other
STANISŁAWOWSKIE;TŁUMACKI;31478;0,271296584;76621;0,660366463;29;0,00024994;1022;0,008808219;6702;0,05776192;49;0,000422312;127;0,001094563
STANISŁAWOWSKIE;ŚNIATYŃSKI;8659;0,110977251;61755;0,791477091;42;0,000538289;344;0,004408843;7073;0,090650433;87;0,001115027;65;0,000833066
STANISŁAWOWSKIE;ŻYDACZOWSKI;15094;0,180082799;63118;0,753045325;26;0,0003102;89;0,001061837;5289;0,063101757;161;0,001920851;40;0,00047723
TARNOPOLSKIE;BORSZCZOWSKI;28432;0,275298469;65248;0,631776678;96;0,000929539;18;0,000174289;9353;0,090562274;11;0,00010651;119;0,001152241
TARNOPOLSKIE;BRODZKI;22521;0,246810889;57813;0,63358101;196;0,002147992;254;0,002783623;10360;0,113536735;65;0,000712344;39;0,000427407
TARNOPOLSKIE;BRZEŻAŃSKI;41962;0,40416474;54200;0,522037294;411;0,003958622;17;0,000163739;7151;0,068876175;51;0,000491216;32;0,000308214
TARNOPOLSKIE;BUCZACKI;51311;0,368979304;76995;0,553673901;28;0,000201349;20;0,000143821;10568;0,07599488;44;0,000316406;96;0,00069034
TARNOPOLSKIE;CZORTKOWSKI;33080;0,393772022;42781;0,509249119;47;0,000559471;200;0,002380726;7845;0,093383963;15;0,000178554;40;0,000476145
TARNOPOLSKIE;KAMIONECKI;29828;0,363264362;45075;0,548952028;38;0,000462788;400;0,004871454;6700;0,081596863;51;0,00062111;19;0,000231394
TARNOPOLSKIE;KOPYCZYNIECKI;31202;0,352111405;49955;0,563737107;52;0,000586815;78;0,000880222;7291;0,082278195;11;0,000124134;25;0,000282122
TARNOPOLSKIE;PODHAJECKI;38003;0,397259128;52613;0,549982752;21;0,000219521;35;0,000365868;4786;0,050029792;155;0,001620271;50;0,000522668
TARNOPOLSKIE;PRZEMYŚLAŃSKI;38475;0,427937447;43975;0,489111091;27;0,000300307;452;0,005027361;6860;0,076300218;104;0,001156738;15;0,000166837
TARNOPOLSKIE;RADZIECHOWSKI;17945;0,258898042;42894;0,61884495;34;0,000490528;1256;0,018120699;6934;0,100038954;227;0,003274999;23;0,000331828
TARNOPOLSKIE;SKAŁACKI;45631;0,511472286;34752;0,389530908;46;0,000515608;228;0,002555624;8486;0,095118534;66;0,000739786;6;6,72533E-05
TARNOPOLSKIE;TARNOPOLSKI;63286;0,44498664;60870;0,427998875;109;0,000766418;182;0,001279707;17684;0,124342568;40;0,000281254;49;0,000344537
TARNOPOLSKIE;TREMBOWELSKI;38979;0,462269186;40437;0,479560252;15;0,000177892;9;0,000106735;4845;0,057458996;7;8,30161E-05;29;0,000343924
TARNOPOLSKIE;ZALESZCZYCKI;17917;0,248774663;48025;0,6668194;44;0,000610933;32;0,000444315;5965;0,082823065;10;0,000138848;28;0,000388775
TARNOPOLSKIE;ZBARASKI;24855;0,379008524;36235;0,552539685;233;0,003552967;175;0,002668537;3997;0,060949389;71;0,001082664;13;0,000198234
TARNOPOLSKIE;ZBOROWSKI;26239;0,322294965;49507;0,608096987;418;0,005134315;41;0,000503605;5056;0,062103104;118;0,0014494;34;0,000417624
TARNOPOLSKIE;ZŁOCZOWSKI;36937;0,311418189;70596;0,595199352;67;0,000564881;352;0,002967734;10236;0,086300365;363;0,003060476;58;0,000489002
WARSZAWSKIE;BŁOŃSKI;;;;;;;;;;;;;;
WARSZAWSKIE;CIECHANOWSKI;;;;;;;;;;;;;;
WARSZAWSKIE;GOSTYNIŃSKI;;;;;;;;;;;;;;
WARSZAWSKIE;GRÓJECKI;;;;;;;;;;;;;;
WARSZAWSKIE;KUTNOWSKI;;;;;;;;;;;;;;
WARSZAWSKIE;LIPNOWSKI;;;;;;;;;;;;;;
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);;;;;;;;;;;;;;
WARSZAWSKIE;MIŃSKI;;;;;;;;;;;;;;
WARSZAWSKIE;MŁAWSKI;;;;;;;;;;;;;;
WARSZAWSKIE;NIESZAWSKI;;;;;;;;;;;;;;
WARSZAWSKIE;PRZASNYCKI;;;;;;;;;;;;;;
WARSZAWSKIE;PUŁTUSKI;;;;;;;;;;;;;;
WARSZAWSKIE;PŁOCKI;;;;;;;;;;;;;;
WARSZAWSKIE;PŁOŃSKI;;;;;;;;;;;;;;
WARSZAWSKIE;RADZYMIŃSKI;;;;;;;;;;;;;;
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);;;;;;;;;;;;;;
WARSZAWSKIE;RYPIŃSKI;;;;;;;;;;;;;;
WARSZAWSKIE;SIERPECKI;;;;;;;;;;;;;;
WARSZAWSKIE;SKIERNIEWICKI;;;;;;;;;;;;;;
WARSZAWSKIE;SOCHACZEWSKI;;;;;;;;;;;;;;
WARSZAWSKIE;WARSZAWSKI;;;;;;;;;;;;;;
WARSZAWSKIE;WŁOCŁAWSKI;;;;;;;;;;;;;;
WARSZAWSKIE;ŁOWICKI;;;;;;;;;;;;;;
WOŁYŃSKIE;DUBIEŃSKI;;;;;;;;;;;;;;
WOŁYŃSKIE;HOROCHOWSKI;;;;;;;;;;;;;;
