Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIR.1;Kategoria VIIPR.1
Lwowska;ZBARASKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;7.0;1.0;19.0;0.0;302.0;3.0
Lwowska;ZBOROWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;23.0;0.0;27.0;0.0;380.0;1.0
Wołyńska;ZDOŁBUNOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;9.0;0.0;32.0;2.0;203.0;59.0
Lwowska;ZŁOCZOWSKI;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;22.0;0.0;24.0;0.0;57.0;0.0;443.0;1.0
Łódzka;ŁASKI;0.0;0.0;2.0;0.0;4.0;0.0;11.0;0.0;40.0;0.0;64.0;4.0;173.0;11.0;864.0;162.0
Lwowska;ŁAŃCUCKI;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;14.0;1.0;20.0;0.0;36.0;1.0;350.0;14.0
Białostocka;ŁOMŻYŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;9.0;0.0;18.0;1.0;61.0;2.0;846.0;79.0
Warrszawa Okręgowa;ŁOWICKI;0.0;0.0;0.0;0.0;1.0;0.0;8.0;0.0;9.0;0.0;50.0;0.0;154.0;1.0;436.0;19.0
Wołyńska;ŁUCKI;0.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;18.0;0.0;38.0;0.0;76.0;8.0;629.0;94.0
Lubelska;ŁUKOWSKI;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;7.0;1.0;33.0;0.0;107.0;8.0;706.0;84.0
Poleska;ŁUNINIECKI;0.0;0.0;1.0;0.0;0.0;0.0;13.0;0.0;10.0;1.0;39.0;2.0;97.0;5.0;303.0;50.0
Łódzka;ŁÓDZKI;0.0;0.0;1.0;0.0;2.0;0.0;28.0;0.0;43.0;1.0;83.0;2.0;142.0;5.0;834.0;99.0
Łódzka;ŁÓDŹ (MIASTO);30.0;0.0;24.0;0.0;42.0;1.0;305.0;2.0;325.0;6.0;309.0;17.0;787.0;37.0;6217.0;717.0
Łódzka;ŁĘCZYCKI;1.0;0.0;1.0;0.0;4.0;0.0;7.0;0.0;21.0;4.0;37.0;1.0;177.0;3.0;859.0;119.0
