Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VaR;Kategoria VaPR;Kategoria VbR;Kategoria VbPR
Poleska;SŁONIMSKI;1.0;0.0;152.0;7.0;818.0;82.0;159.0;66.0;37.0;2.0;1.0;0.0
Łódzka;SŁUPECKI;0.0;0.0;89.0;8.0;548.0;42.0;281.0;60.0;0.0;1.0;49.0;12.0
Lwowska;TARNOBRZESKI;0.0;0.0;32.0;0.0;364.0;9.0;588.0;28.0;0.0;0.0;0.0;0.0
Śląska;TARNOGÓRSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Lwowska;TARNOPOLSKI;2.0;0.0;190.0;18.0;793.0;48.0;977.0;40.0;18.0;0.0;25.0;0.0
Krakowska;TARNOWSKI;13.0;0.0;112.0;1.0;1047.0;14.0;926.0;68.0;0.0;0.0;20.0;3.0
Pomorska;TCZEWSKI;18.0;0.0;197.0;19.0;304.0;22.0;43.0;10.0;7.0;3.0;8.0;6.0
Lubelska;TOMASZOWSKI;3.0;0.0;64.0;5.0;812.0;43.0;153.0;30.0;0.0;0.0;4.0;2.0
Pomorska;TORUŃ (MIASTO);68.0;1.0;503.0;29.0;823.0;80.0;126.0;33.0;10.0;4.0;48.0;4.0
;TORUŃSKI;;;;;;;;;;;;
Lwowska;TREMBOWELSKI;0.0;0.0;16.0;1.0;320.0;15.0;530.0;41.0;0.0;0.0;3.0;0.0
Pomorska;TUCHOLSKI;3.0;0.0;54.0;4.0;304.0;22.0;40.0;6.0;0.0;0.0;27.0;9.0
Lwowska;TURCZAŃSKI;1.0;0.0;38.0;0.0;407.0;8.0;196.0;29.0;0.0;1.0;28.0;0.0
Łódzka;TURECKI;0.0;0.0;61.0;0.0;637.0;52.0;446.0;115.0;1.0;1.0;0.0;0.0
Lwowska;TŁUMACKI;0.0;0.0;54.0;1.0;580.0;20.0;323.0;31.0;0.0;0.0;0.0;0.0
Krakowska;WADOWICKI;2.0;0.0;166.0;7.0;790.0;29.0;573.0;106.0;7.0;3.0;23.0;3.0
Warszawa Okręgowa;WARSZAWSKI;2.0;0.0;187.0;7.0;2064.0;257.0;999.0;233.0;21.0;1.0;183.0;51.0
Pomorska;WEJHEROWSKI;5.0;1.0;181.0;21.0;273.0;71.0;24.0;17.0;12.0;4.0;59.0;19.0
Krakowska;WIELICKI;2.0;0.0;30.0;0.0;456.0;28.0;447.0;9.0;1.0;0.0;0.0;0.0
Łódzka;WIELUŃSKI;0.0;0.0;102.0;4.0;1242.0;67.0;1591.0;310.0;0.0;0.0;103.0;0.0
Wileńska;WILEJSKI;5.0;1.0;144.0;5.0;772.0;61.0;327.0;65.0;49.0;6.0;3.0;0.0
Wileńska;WILEŃSKO-TROCKI;1.0;0.0;59.0;5.0;720.0;58.0;143.0;42.0;37.0;3.0;20.0;1.0
Wileńska;WILNO (MIASTO);47.0;4.0;1085.0;42.0;3564.0;270.0;1273.0;217.0;39.0;2.0;219.0;27.0
Wielkopolska;WITKOWSKI;0.0;0.0;13.0;0.0;195.0;7.0;51.0;11.0;1.0;0.0;3.0;1.0
Wielkopolska;WOLSZTYŃSKI;2.0;0.0;92.0;3.0;447.0;29.0;136.0;22.0;0.0;0.0;0.0;0.0
Białostocka;WOŁKOWYSKI;3.0;0.0;81.0;9.0;670.0;45.0;246.0;68.0;28.0;6.0;22.0;10.0
Poleska;WOŁOŻYŃSKI;5.0;0.0;50.0;2.0;428.0;19.0;358.0;69.0;5.0;0.0;0.0;0.0
Wielkopolska;WRZESIŃSKI;3.0;0.0;78.0;2.0;414.0;28.0;48.0;34.0;1.0;0.0;8.0;5.0
Wielkopolska;WYRZYSKI;5.0;1.0;269.0;6.0;589.0;38.0;89.0;14.0;2.0;1.0;10.0;0.0
Białostocka;WYSOKOMAZOWIECKI;0.0;0.0;51.0;4.0;292.0;11.0;347.0;51.0;0.0;1.0;5.0;1.0
Pomorska;WĄBRZESKI;3.0;0.0;128.0;0.0;465.0;38.0;27.0;10.0;1.0;0.0;23.0;0.0
Wielkopolska;WĄGROWIECKI;1.0;0.0;63.0;0.0;547.0;8.0;77.0;14.0;0.0;4.0;3.0;0.0
Lubelska;WĘGROWSKI;1.0;0.0;30.0;1.0;456.0;29.0;277.0;63.0;2.0;1.0;12.0;3.0
Warszawa Okręgowa;WŁOCŁAWSKI;15.0;1.0;261.0;3.0;1378.0;89.0;419.0;160.0;10.0;1.0;25.0;10.0
Lubelska;WŁODAWSKI;1.0;0.0;91.0;3.0;776.0;55.0;285.0;135.0;1.0;1.0;49.0;18.0
Wołyńska;WŁODZIMIERSKI;2.0;0.0;86.0;19.0;896.0;68.0;299.0;34.0;12.0;1.0;26.0;12.0
Kielecka;WŁOSZCZOWSKI;2.0;0.0;55.0;2.0;575.0;24.0;269.0;72.0;0.0;0.0;11.0;0.0
Lwowska;ZALESZCZYCKI;0.0;0.0;12.0;0.0;380.0;1.0;369.0;2.0;0.0;0.0;0.0;0.0
Lubelska;ZAMOJSKI;8.0;0.0;183.0;5.0;1061.0;83.0;441.0;112.0;18.0;6.0;17.0;7.0
Lwowska;ZBARASKI;2.0;0.0;89.0;0.0;397.0;12.0;224.0;6.0;0.0;0.0;0.0;0.0
Lwowska;ZBOROWSKI;0.0;0.0;25.0;2.0;297.0;5.0;449.0;8.0;0.0;0.0;4.0;0.0
Wołyńska;ZDOŁBUNOWSKI;10.0;1.0;83.0;12.0;390.0;15.0;445.0;74.0;10.0;0.0;29.0;25.0
Lwowska;ZŁOCZOWSKI;1.0;0.0;48.0;0.0;566.0;2.0;601.0;6.0;0.0;0.0;9.0;0.0
Łódzka;ŁASKI;2.0;0.0;133.0;1.0;1235.0;69.0;861.0;157.0;1.0;2.0;4.0;1.0
Lwowska;ŁAŃCUCKI;1.0;0.0;46.0;5.0;620.0;19.0;345.0;44.0;0.0;0.0;3.0;0.0
Białostocka;ŁOMŻYŃSKI;6.0;0.0;204.0;14.0;845.0;45.0;330.0;132.0;0.0;0.0;39.0;6.0
Warszawa Okręgowa;ŁOWICKI;4.0;0.0;74.0;2.0;638.0;24.0;254.0;40.0;4.0;0.0;18.0;0.0
Wołyńska;ŁUCKI;8.0;0.0;247.0;18.0;1644.0;162.0;400.0;121.0;50.0;53.0;73.0;35.0
Lubelska;ŁUKOWSKI;3.0;0.0;69.0;3.0;817.0;54.0;305.0;94.0;54.0;11.0;39.0;19.0
Poleska;ŁUNINIECKI;2.0;0.0;80.0;9.0;773.0;41.0;357.0;72.0;3.0;1.0;3.0;0.0
Łódzka;ŁÓDZKI;1.0;0.0;90.0;6.0;786.0;28.0;512.0;152.0;26.0;1.0;240.0;49.0
Łódzka;ŁÓDŹ (MIASTO);152.0;0.0;3027.0;70.0;7419.0;461.0;4378.0;1210.0;115.0;46.0;2539.0;885.0
Łódzka;ŁĘCZYCKI;4.0;0.0;217.0;3.0;967.0;58.0;633.0;173.0;39.0;4.0;135.0;9.0
Wielkopolska;ŚMIGIELSKI;0.0;0.0;28.0;0.0;304.0;8.0;154.0;34.0;0.0;0.0;3.0;1.0
Lwowska;ŚNIATYŃSKI;0.0;0.0;68.0;4.0;505.0;17.0;388.0;34.0;0.0;0.0;1.0;0.0
Wielkopolska;ŚREDZKI;1.0;0.0;99.0;4.0;372.0;28.0;64.0;33.0;1.0;1.0;12.0;2.0
Wielkopolska;ŚREMSKI;1.0;0.0;56.0;6.0;560.0;45.0;216.0;27.0;2.0;0.0;23.0;4.0
Pomorska;ŚWIECKI;9.0;0.0;293.0;13.0;548.0;66.0;170.0;63.0;1.0;1.0;7.0;3.0
Wileńska;ŚWIĘCIAŃSKI;2.0;0.0;160.0;5.0;699.0;130.0;300.0;115.0;24.0;2.0;9.0;5.0
Śląska;ŚWIĘTOCHŁOWICKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Wielkopolska;ŻNIŃSKI;1.0;0.0;102.0;0.0;210.0;20.0;53.0;11.0;1.0;0.0;14.0;0.0
Lwowska;ŻYDACZOWSKI;1.0;0.0;30.0;1.0;416.0;8.0;376.0;40.0;1.0;1.0;40.0;6.0
Krakowska;ŻYWIECKI;5.0;0.0;222.0;1.0;833.0;17.0;289.0;24.0;0.0;0.0;4.0;0.0
Lwowska;ŻÓŁKIEWSKI;3.0;0.0;46.0;1.0;617.0;7.0;435.0;29.0;0.0;0.0;3.0;0.0
