District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VR,Kategoria VPR,Kategoria VIR,Kategoria VIPR,Kategoria VIIR,Kategoria VIIPR,Kategoria VIIIR,Kategoria VIIIPR
CIESZYŃSKI,0.0,0.0,3.0,0.0,5.0,0.0,15.0,0.0,44.0,1.0,43.0,0.0,78.0,10.0,979.0,36.0
TARNOGÓRSKI,1.0,0.0,1.0,0.0,2.0,0.0,13.0,0.0,20.0,0.0,12.0,1.0,36.0,2.0,363.0,17.0
KATOWICE (MIASTO),17.0,0.0,6.0,0.0,16.0,0.0,74.0,0.0,135.0,3.0,97.0,2.0,225.0,2.0,2123.0,84.0
KATOWICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUBLINIECKI,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,1.0,15.0,0.0,16.0,1.0,306.0,8.0
PSZCZYŃSKI,6.0,0.0,5.0,0.0,6.0,0.0,24.0,1.0,26.0,0.0,25.0,0.0,50.0,1.0,739.0,30.0
RYBNICKI,4.0,0.0,1.0,0.0,3.0,0.0,20.0,4.0,35.0,7.0,23.0,4.0,80.0,5.0,1032.0,41.0
ŚWIĘTOCHŁOWICKI,12.7967116029964,0.0,0.984362430999723,0.0,2.953087292999169,0.0,12.7967116029964,0.984362430999723,29.530872929991688,0.984362430999723,13.781074033996122,0.984362430999723,33.46832265399058,5.906174585998338,759.9277967317861,55.12429613598449
CHORZÓW,5.203288397003601,0.0,1.015637569000277,0.0,6.046912707000831,0.0,13.2032883970036,1.015637569000277,40.46912707000831,1.015637569000277,31.21892596600388,2.015637569000277,84.53167734600942,0.09382541400166211,724.0722032682139,47.87570386401551
BORSZCZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.952918554735694,0.0,13.780286588766574,0.9843061849118981,26.57626699262125,0.9843061849118981,446.87500795000176,8.858755664207083
BRODZKI,0.0,0.0,0.0,0.0,0.0,1.0,2.0242233246676458,0.0,12.121116623338228,1.0,34.20589825967499,3.0,53.181674935007344,2.012111662333823,511.2164342070896,13.024223324667645
BRZEŻAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.9669369925589221,0.0,10.763912645852889,0.0,18.68170248304533,0.0,17.550700983437448,0.0,242.82567350024507,9.77874626362186
BUCZACKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.778573906559888,0.0,14.744508353722948,0.0,41.28462339042426,1.9659344471630598,408.9143650099164,23.59121336595672
CZORTKOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.005458074844368772,0.0,6.41696302036542,0.0,9.98715586148896,0.015693815088101935,23.166287454520024,1.049759367925042,369.23109505256406,12.838207628705273
KAMIONECKI,0.0,0.0,0.0,0.0,0.9841586823453302,0.0,2.1150361254915966,0.0,8.406681935534495,0.0,13.114148410419414,1.9683173646906604,12.277921676422086,2.9568975612512296,298.3724501398235,23.080227490560645
PODHAJECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.820471061442149,0.0,16.564001149216647,0.0,7.794824070219598,0.0,213.3833089222615,5.846118052664699
PRZEMYŚLAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,25.0,0.0,37.0,0.0,344.0,10.0
RADZIECHOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.9757766753323545,0.0,9.878883376661772,0.0,16.79410174032501,0.0,14.818325064992658,0.9878883376661772,180.78356579291042,1.9757766753323545
SKAŁACKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.545838201921223,0.0,14.243063669868704,0.9495375779912469,23.738439449781172,0.0,275.3658976174616,6.646763045938728
TARNOPOLSKI,0.0,0.0,0.0,0.0,0.0,0.0,2.0018988162549896,0.0,15.129961647956195,0.9844179044069559,14.410047803077862,0.0,47.84719354547328,0.0,470.8429779092155,18.05015235373598
TREMBOWELSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0257061163417196,0.0,8.439521404761768,0.015582095593044137,17.68327505681784,0.022978661907859736,42.31185912979508,0.04264661245031894,389.88487217049925,8.994716329579326
ZALESZCZYCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.895209117093947,0.0,11.580836468375788,0.0,22.196603231053594,0.0,276.009935829623,6.755487939885876
ZBARASKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,0.0,21.0,0.0,273.0,9.0
ZBOROWSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,14.0,0.0,16.0,3.0,341.0,0.0
ZŁOCZOWSKI,0.0,0.0,0.0,0.0,0.015841317654669788,0.0,1.0316826353093396,0.0,10.12673054123736,0.0,12.174254494201367,0.031682635309339575,41.158413176546695,0.04752395296400937,393.15042522552346,0.3643503060574051
KOPYCZYNIECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2047072284577198,0.0,5.199023339261803,0.027483760100893213,5.473860940270735,0.957353387549681,141.0424112986647,13.595333746401787
BŁOŃSKI,3.0,0.0,0.0,0.0,2.0,0.0,13.0,1.0,16.0,1.0,30.0,1.0,39.0,1.0,795.0,41.0
CIECHANOWSKI,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,16.0,3.0,530.0,13.0
GOSTYNIŃSKI,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,12.0,0.0,18.0,2.0,35.0,2.0,615.0,41.0
