Region;District;Population_1921;Population_1931;Population_1938;Cities in district
POZNAŃSKIE;GOSTYŃSKI;12669.0;13877.0;16106.0;['Borek', 'Gostyń', 'Krobia', 'Poniec']
POZNAŃSKIE;INOWROCŁAW (MIASTO);24277.0;30862.0;39757.0;['Inowrocław']
POZNAŃSKIE;INOWROCŁAWSKI;3330.0;3873.0;4657.0;['Gniewkowo']
POZNAŃSKIE;JAROCIŃSKI;16192.0;18848.0;21344.0;['Jarocin', 'Pleszew', 'Żerków']
POZNAŃSKIE;KOŚCIAŃSKI;17300.0;19501.0;22735.0;['Czempiń', 'Kościan', 'Krzywiń', 'Śmigiel', 'Wielichowo']
POZNAŃSKIE;KROTOSZYŃSKI;25294.0;28249.0;30040.0;['Kobylin', 'Koźmin (dziś Koźmin Wielkopolski)', 'Krotoszyn', 'Pogorzela', 'Sulmierzyce', 'Zduny']
POZNAŃSKIE;KĘPIŃSKI;7182.0;7182.0;7778.0;['Kępno']
POZNAŃSKIE;LESZCZYŃSKI;20573.0;23558.0;26587.0;['Leszno', 'Osieczna', 'Rydzyna', 'Święciechowa']
POZNAŃSKIE;MIĘDZYCHODZKI;6808.0;8143.0;8509.0;['Międzychód', 'Sieraków']
POZNAŃSKIE;MOGILEŃSKI;20548.0;23576.0;26491.0;['Kruszwica', 'Mogilno', 'Pakość', 'Strzelno', 'Trzemeszno']
POZNAŃSKIE;NOWOTOMYSKI;24865.0;28646.0;30770.0;['Buk', 'Grodzisk (Wielkopolski)', 'Lwówek', 'Nowy Tomyśl', 'Opalenica', 'Sępolno', 'Zbąszyń']
POZNAŃSKIE;OBORNICKI;11613.0;13635.0;15598.0;['Murowana Goślina', 'Oborniki', 'Rogoźno']
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);21898.0;25035.0;37204.0;['Mikstat', 'Odolanów', 'Ostrów Wielkopolski', 'Raszków']
POZNAŃSKIE;POZNAŃ (MIASTO);169422.0;246698.0;272000.0;['Poznań']
POZNAŃSKIE;POZNAŃSKI;8952.0;10428.0;13981.0;['Pobiedziska', 'Stęszew', 'Swarzędz']
POZNAŃSKIE;RAWICKI;16684.0;19171.0;20519.0;['Bojanowo', 'Jutrosin', 'Miejska Górka', 'Rawicz', 'Sarnowa (dziś część Rawicza)']
POZNAŃSKIE;SZAMOTULSKI;15755.0;18212.0;20674.0;['Ostroróg', 'Pniewy', 'Szamotuły', 'Wronki']
POZNAŃSKIE;SZUBIŃSKI;9575.0;12224.0;13441.0;['Barcin', 'Kcynia', 'Łabiszyn', 'Szubin']
POZNAŃSKIE;WOLSZTYŃSKI;6137.0;6595.0;7063.0;['Rakoniewice', 'Wolsztyn']
POZNAŃSKIE;WRZESIŃSKI;9126.0;10600.0;12182.0;['Miłosław', 'Września']
POZNAŃSKIE;WYRZYSKI;15592.0;19303.0;20801.0;['Łobżenica', 'Miasteczko (Krajeńskie)', 'Mrocza', 'Nakło (nad Notecią)', 'Wyrzysk', 'Wysoka']
POZNAŃSKIE;WĄGROWIECKI;9678.0;10814.0;12375.0;['Gołańcz', 'Skoki', 'Wągrowiec']
POZNAŃSKIE;ŚREDZKI;10308.0;11457.0;13904.0;['Kostrzyn', 'Środa (Wielkopolska)']
POZNAŃSKIE;ŚREMSKI;13311.0;15461.0;20316.0;['Dolsk', 'Kórnik', 'Książ (Wielkopolski)', 'Mosina', 'Śrem']
POZNAŃSKIE;ŻNIŃSKI;7429.0;8119.0;8813.0;['Janowiec (Wielkopolski)', 'Żnin']
STANISŁAWOWSKIE;DOLIŃSKI;21049.0;23998.0;26554.0;['Bolechów', 'Dolina', 'Rożniatów (dziś Ukraina)']
STANISŁAWOWSKIE;HORODEŃSKI;10054.0;12303.0;1378.0;['Horodenka']
STANISŁAWOWSKIE;KAŁUSKI;8697.0;12131.0;14699.0;['Kałusz']
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);10301.0;11056.0;15724.0;['Kosów Huculski', 'Kuty']
STANISŁAWOWSKIE;KOŁOMYJSKI;37692.0;40230.0;46980.0;['Kołomyja', 'Peczeniżyn']
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;12035.0;17531.0;19311.0;['Delatyn', 'Nadwórna']
STANISŁAWOWSKIE;ROHATYŃSKI;12425.0;15536.0;18390.0;['Bołszowce', 'Bursztyn', 'Rohatyn']
STANISŁAWOWSKIE;STANISŁAWOWSKI;58692.0;67793.0;78771.0;['Bohorodczany', 'Halicz', 'Stanisławów (dziś Iwano-Frankiwsk)']
STANISŁAWOWSKIE;STRYJSKI;33347.0;38225.0;41560.0;['Skole', 'Stryj']
STANISŁAWOWSKIE;TŁUMACKI;17410.0;18870.0;15180.0;['Ottynia', 'Tłumacz', 'Tyśmienica']
STANISŁAWOWSKIE;ŚNIATYŃSKI;16374.0;17456.0;18000.0;['Śniatyn', 'Zabłotów']
STANISŁAWOWSKIE;ŻYDACZOWSKI;14375.0;16387.0;16546.0;['Mikołajów (dziś Ukraina)', 'Rozdół', 'Żurawno', 'Żydaczów']
TARNOPOLSKIE;BORSZCZOWSKI;9370.0;11203.0;11448.0;['Borszczów', 'Skała (Podolska)']
TARNOPOLSKIE;BRODZKI;10867.0;12401.0;13628.0;['Brody']
TARNOPOLSKIE;BRZEŻAŃSKI;15076.0;17805.0;18186.0;['Brzeżany', 'Kozowa']
TARNOPOLSKIE;BUCZACKI;18081.0;23118.0;25038.0;['Barysz', 'Buczacz', 'Monasterzyska']
TARNOPOLSKIE;CZORTKOWSKI;14085.0;19215.0;19038.0;['Czortków']
TARNOPOLSKIE;KAMIONECKI;6518.0;7935.0;9384.0;['Kamionka Strumiłowa (Kamionka Bużańska)']
TARNOPOLSKIE;KOPYCZYNIECKI;2133.0;2639.0;3675.0;['Husiatyn']
TARNOPOLSKIE;PODHAJECKI;4814.0;5743.0;6199.0;['Podhajce']
TARNOPOLSKIE;PRZEMYŚLAŃSKI;8561.0;9782.0;10989.0;['Gliniany (dziś Ukraina)', 'Przemyślany']
TARNOPOLSKIE;RADZIECHOWSKI;8138.0;8867.0;9300.0;['Łopatyn', 'Radziechów']
TARNOPOLSKIE;SKAŁACKI;13029.0;15252.0;15889.0;['Grzymałów (dziś Ukraina)', 'Podwołoczyska', 'Skałat']
