District,Indirect Occupation - Total,Indirect Occupation - A. Agriculture and forestry,Indirect Occupation - B. Mining and industry,Indirect Occupation - C. Trade and insurance,Indirect Occupation - D. Transport and communication,"Indirect Occupation - E. Public service, liberal professions",Indirect Occupation - F. Army,Indirect Occupation - G. Domestic service,Indirect Occupation - H. Unemployed,Indirect Occupation - N. Not further specified
STOLIŃSKI,58165.16288034122,52120.05644197479,2224.19020484672,1048.0134700937451,630.6308340240023,715.0364216816431,44.77276408653318,319.3149387434881,562.3140152779074,500.83378961238725
IWACEWICKI,29226.0,26766.0,964.0,400.0,261.0,239.0,17.0,186.0,230.0,163.0
BRODNICKI,30209.555319489402,22558.18820155702,2512.277274601912,775.9590167315562,910.8203323546057,639.2806355654101,97.43781907339907,596.8911342118655,1331.790650848418,786.9102545452148
CHEŁMIŃSKI,22313.56975834685,15749.404969662217,1946.103665902885,571.9121032266414,524.7995337583651,646.7944100267034,150.925271160616,597.8920915447909,1602.5774177924054,523.1602952722258
CHOJNICKI,29283.698637432568,20105.69748236447,2720.8348361191343,793.8459002444977,1390.3442574856142,947.6516131467719,51.29267289966222,590.7194752564322,1675.5707821289182,1007.7416177870687
DZIAŁDOWSKI,10035.0,7260.0,728.0,237.0,690.0,260.0,50.0,232.0,323.0,255.0
GRUDZIĄDZ (MIASTO),14573.0,219.0,3791.0,1791.0,1253.0,1407.0,1561.0,1037.0,2444.0,1070.0
GRUDZIĄDZKI,19551.674858468312,15563.25452299377,1438.4145959635864,293.5539991762421,390.426818904402,289.6399458538922,189.8315861339699,488.27815196314936,647.7758248489076,250.49941263039327
KARTUSKI,29068.299146782032,25119.422044009,1281.3865627831399,351.01308317129934,436.84915207719246,445.957337623424,50.7009458664859,287.6552240867166,885.1405454914841,210.1742516732918
KOŚCIERSKI,21910.27809900602,16847.4401318985,1427.8578817086848,405.2585100633486,515.8842057919869,531.4635920786194,35.828325744110714,358.55312983121064,1323.8727177742448,464.119604115314
LUBAWSKI,25485.517265876886,19881.52803935825,1748.5445555055578,507.27006884996405,360.2770375354858,481.33012214740904,18.254036568464617,482.29086091417037,1459.362186710408,546.6603582871771
SĘPOLEŃSKI,13877.0,10711.0,994.0,350.0,195.0,391.0,4.0,248.0,623.0,361.0
STAROGARDZKI,31751.676273670586,20481.95915323109,4390.739578757035,781.3502839051771,785.2942830036745,1012.9007836050165,105.73625644927176,744.1120525857847,2874.5968003656812,574.9870817678523
ŚWIECKI,37246.58315229969,27390.956491289224,3418.149663882185,821.9423947872002,887.8869604598448,778.2648373030424,221.72816774165227,730.6031033598123,2082.7916651938813,914.259868282847
TCZEWSKI,22963.069143133987,11476.336294722008,3019.138775260923,964.3610420111617,2634.696694062305,1051.0333895364627,85.00382588438634,896.7109541768359,2024.429212314773,811.3589551651328
TORUŃ (MIASTO),17461.824176420574,585.4154929827091,4386.134759115268,2143.053133883892,1426.0204629290101,2454.0143849939886,1264.5034569282504,1369.3243761132155,2744.376395435135,1088.9817140391067
TORUŃSKI,23924.135621850313,15797.757761809877,2202.0818201402744,525.0221855648787,1265.4892269904553,522.9712925472235,192.46777620676986,559.6496950237084,1598.0314912612532,1260.664372305872
TUCHOLSKI,19199.619166791235,14371.987161948105,1670.496646185702,424.40589954008647,387.9942819087681,403.3790717716664,76.96062915967008,374.2342561645751,1213.315187924764,276.846032187897
WĄBRZESKI,20550.97393003408,15497.502057840691,1430.2634197618331,469.84953684078647,402.9971979315764,444.4268164105235,11.298986857894665,403.9387801697343,940.6406559197309,950.0564783013098
MORSKI,30638.157465194116,21506.754924220724,3182.836076841585,613.8583581598967,715.5691396863261,1081.8528961735203,174.54345889913938,577.3041324396344,2046.0948868540784,739.3435919192124
GDYNIA (MIASTO),722.3679852033534,492.3952701123494,79.73988747029526,15.344483843371528,18.65041512038765,27.038871216326275,3.4867844262566967,13.842582158364177,52.633579135917564,19.236111720084896
BYDGOSKI,25129.373026103938,19091.900019554476,2457.679413206323,490.73793477983395,652.3223767195354,433.884149652902,11.969217921459364,502.70715270129335,1038.3296546866,449.8431068815145
BYDGOSZCZ (MIASTO),38278.62697389606,1767.0999804455225,11518.320586793678,4655.262065220166,5626.677623280464,3281.115850347098,937.0307820785406,2458.2928472987064,6298.6703453134,1736.1568931184854
CHODZIESKI,19926.0,14248.0,2652.0,470.0,335.0,521.0,8.0,350.0,755.0,587.0
CZARNKOWSKI,19331.46241974714,13904.736070656649,1948.2309982768516,517.6533930801762,383.1005736609316,632.2940429411425,11.179675069516865,446.98043995075903,916.3757572138226,570.911468897289
GNIEŹNIEŃSKI,37554.98021824582,21735.5017748039,5150.427913061106,1533.3536639193537,1777.6274504336184,1325.0217370292446,311.15630893839545,1303.5453111411116,3506.4660893304417,911.8799695886506
GOSTYŃSKI,26492.77632836867,20003.2545837479,2445.709378232172,537.3020855643313,460.85506980689206,506.9408257832481,26.583172930185423,634.2516280477209,1219.9122787167796,657.9673055394396
INOWROCŁAWSKI,31763.851675187027,18445.951669136797,4964.216146694025,1290.445626174199,1597.8781539931458,903.986555154144,261.1730878963465,1116.9727264644487,2184.794798011135,998.4329116627858
JAROCIŃSKI,38655.98348736118,28123.78241824401,3333.955071245116,831.1193659011021,1701.2984807693924,775.3357833636758,97.29850477544218,1106.820849122635,1911.3133489937961,775.0596649460138
KĘPIŃSKI,41646.46194174416,32823.256428792345,3173.582437027977,932.358517384976,715.9419322006145,727.8865457710034,54.25444795019002,825.3051419826958,1699.1171688384406,694.7593217959084
KOŚCIAŃSKI,37311.122206928136,27827.654701527987,4142.746737372992,777.9016088742605,532.9298608863141,769.0197908853763,44.89661013848453,890.0666985690877,1652.5797902058926,673.3264084677436
KROTOSZYŃSKI,37703.53117958388,26973.58915239584,3900.926603403557,1058.930760462664,752.834712427933,955.6444352892651,127.30382911505771,992.698176632875,2064.664316129616,876.9391937270666
LESZCZYŃSKI,28001.896044661386,17601.423908482655,3131.3779445229757,1048.7921180274175,1338.6071717238974,902.6786349059713,153.92193173747413,934.4150080271183,2109.209556223977,781.4697710098983
MIĘDZYCHODZKI,13438.0,9244.0,1527.0,309.0,278.0,413.0,13.0,342.0,787.0,525.0
MOGILEŃSKI,35961.44337734606,25051.25079195435,4423.666384459932,894.560118482417,668.1673538450406,734.3084064180323,147.1293247526614,955.3826718051936,1810.3151485838446,1276.6631770445965
NOWOTOMYSKI,39308.3163763875,27724.006698349032,4245.969390497088,1103.4598215323804,1277.0948661492853,992.4555377559554,50.68741794088582,857.0828437623961,1787.5285010196749,1270.0312993808009
OBORNICKI,23484.438315153802,16974.69842093142,2443.188320683858,566.0808842978726,502.95494784119103,512.5817653405106,35.94906821296877,652.4672716737311,1237.7563094685215,558.7613267037266
OSTROWSKI (OSTRÓW WIELKOPOLSKI),49609.944240348865,34129.87994017087,5234.417614590155,1437.9522907647017,2553.7018883848705,1192.305718611427,236.62762211337537,1318.5818835894188,2613.843335987731,892.6339461363249
POZNAŃ (MIASTO),79844.0,589.0,20694.0,12904.0,8440.0,9254.0,4925.0,7240.0,10510.0,5288.0
RAWICKI,25277.774195078055,16832.25806702545,2850.2636833602514,829.5763451103675,419.70968286763554,638.106903062221,85.41527565797568,723.2013368154896,2157.3193458275646,741.9235553510996
