City,Population
Tarnowskie Góry,17549.0
Tarnów,54977.0
Tczew,25398.0
Terespol,2570.0
Tłumacz,2570.0
Tłuste,3602.0
Tomaszów Lubelski,11200.0
Tomaszów Mazowiecki,45204.0
Toruń,81215.0
Trembowla,8005.0
Troki,3000.0
Trzebinia,6340.0
Trzemeszno,5447.0
Trzyniec,5900.0
Tuchola,6000.0
Tuchów,2986.0
Tuliszków,2800.0
Turek,9879.0
Turka,10145.0
Tuszyn,4551.0
Tyczyn,3115.0
Tykocin,3400.0
Tyśmienica,7833.0
Uhnów,4282.0
Ujście,2167.0
Uniejów,3951.0
Ustrzyki Dolne,4303.0
Uściług,5141.0
Wadowice,9000.0
Warka,6346.0
Warszawa,1289000.0
Warta,4435.0
Wasilków,5574.0
Wąbrzeźno,9551.0
Wągrowiec,8945.0
Wejherowo,14566.0
Węgrów,10103.0
Wieleń nad Notecią,4210.0
Wielichowo,1717.0
Wieliczka,11631.0
Wieluń,15535.0
Wieruszów,5800.0
Wierzbnik (dziś Starachowice),13206.0
Więcbork,4350.0
Wilamowice,2112.0
Wilejka,6322.0
Wilno,208770.0
Winniki,6400.0
Witkowo,2576.0
Włocławek,66739.0
Włodawa,9293.0
Włoszczowa,7164.0
Wodzisław,5200.0
Wolbrom,9946.0
Wolsztyn,4880.0
Wołkowysk,17000.0
Wołomin,14757.0
Wołożyn,6806.0
Woźniki,2485.0
Wronki,6289.0
Września,9629.0
Wyrzysk,1898.0
Wysoka,1509.0
Wysokie Litewskie,3816.0
Wysokie Mazowieckie,4265.0
Wyszków,11496.0
Wyszogród,4787.0
Wyśmierzyce,1500.0
Zabłotów,7000.0
Zabłudów,3850.0
Zagórów,4389.0
Zakopane,23000.0
Zakroczym,6412.0
Zaleszczyki,5965.0
Załoźce,6795.0
Zambrów,7536.0
Zamość,28000.0
Zator,2345.0
Zawichost,3613.0
Zawiercie,32872.0
Zbaraż,8976.0
Zbąszyń,5961.0
Zborów,5335.0
Zdołbunów,10228.0
Zduny,3437.0
Zduńska Wola,26154.0
Zdzięcioł,3801.0
Zgierz,28134.0
Złoczew,5289.0
Złoczów,14000.0
Zwoleń,9500.0
Żabno,2753.0
Żelechów,9500.0
Żerków,1800.0
Żnin,5463.0
Żory,6200.0
Żółkiew,11000.0
Żurawno,4300.0
Żuromin,4212.0
Żychlin,8500.0
Żydaczów,4897.0
Żyrardów,27870.0
Żywiec,7281.0
