District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki Cukrowe
CIECHANOWSKI,182946.0,401959.0,52628.0,71015.0,1187569.0,409814.0
GOSTYNIŃSKI,74300.0,321843.0,16806.0,55876.0,1046627.0,268997.0
GRÓJECKI,105834.0,561620.0,30388.0,130542.0,2292866.0,4379.0
KUTNOWSKI,190365.0,381792.0,54825.0,105166.0,1233248.0,1170081.0
LIPNOWSKI,102558.0,560523.0,103413.0,59279.0,1712804.0,339284.0
ŁOWICKI,144291.0,602637.0,44670.0,155196.0,1479405.0,158382.0
MAKOWSKI (MAKÓW MAZOWIECKI),63688.0,309976.0,19864.0,50347.0,879282.0,31991.0
MIŃSKI,27562.0,330332.0,37546.0,109709.0,1590261.0,0.0
MŁAWSKI,18272.0,487615.0,14101.0,31208.0,1986398.0,50375.0
NIESZAWSKI,195546.0,542543.0,136387.0,31266.0,1902228.0,1187220.0
PŁOCKI,186664.0,585856.0,72386.0,75748.0,1980225.0,737339.0
PŁOŃSKI,118208.0,483982.0,54385.0,74067.0,1537300.0,290573.0
PRZASNYCKI,70230.0,303888.0,22031.0,33196.0,1234933.0,83696.0
PUŁTUSKI,84203.0,495974.0,34944.0,95286.0,1707690.0,66168.0
RADZYMIŃSKI,9837.0,230711.0,19840.0,55729.0,909141.0,4760.0
RAWSKI (RAWA MAZOWIECKA),41445.0,471044.0,20384.0,60723.0,1901821.0,0.0
RYPIŃSKI,68392.0,418955.0,90820.0,40063.0,1254108.0,241052.0
SIERPECKI,37372.0,438532.0,29939.0,39761.0,1759375.0,70938.0
SKIERNIEWICKI,26083.0,379775.0,29659.0,67911.0,1109385.0,0.0
SOCHACZEWSKI,96813.0,306194.0,23015.0,79038.0,1112057.0,183655.0
WARSZAWSKI,47159.0,204964.0,35682.0,81451.0,1660090.0,43240.0
WŁOCŁAWSKI,159803.0,423854.0,86649.0,36594.0,1340223.0,1004803.0
DUBIEŃSKI,526644.0,535680.0,314343.0,385522.0,1706024.0,81654.0
HOROCHOWSKI,313902.0,254181.0,180584.0,213212.0,932097.0,45711.0
KOWELSKI,160131.0,423175.0,74936.0,94869.0,1083347.0,3600.0
KRZEMIENIECKI,204301.0,664249.0,234910.0,381264.0,1110965.0,44088.0
LUBOMELSKI,31789.0,172976.0,38256.0,27535.0,707201.0,0.0
ŁUCKI,422714.0,642102.0,216735.0,329204.0,1850899.0,108321.0
RÓWIEŃSKI,259612.0,521929.0,168009.0,310128.0,1299047.0,686637.0
WŁODZIMIERSKI,348886.0,379660.0,186095.0,202037.0,1190123.0,98930.0
KOSTOPOLSKI,67306.0,253454.0,41872.0,89486.0,893288.0,0.0
ZDOŁBUNOWSKI,137644.0,187906.0,108142.0,142862.0,585856.0,306808.0
SARNEŃSKI,13930.0,529721.0,59733.0,69780.0,998704.0,0.0
OSZMIAŃSKI,8020.716349290248,315640.24374342663,71249.98293192017,153266.31558272988,849051.2549617512,0.0
ŚWIĘCIAŃSKI,27223.0,325635.0,58353.0,109936.0,984774.0,0.0
WILNO (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
DZIŚNIEŃSKI,41793.0,374398.0,66533.0,150344.0,1345784.0,0.0
WILEJSKI,6106.0,341310.0,115474.0,97602.0,1406429.0,0.0
WILEŃSKO-TROCKI,10255.28365070975,495969.7562565733,141840.01706807982,208367.6844172701,2340533.7450382486,0.0
POSTAWSKI,31286.0,321540.0,46416.0,69528.0,941700.0,0.0
MOŁODECZAŃSKI,18080.0,227184.0,67876.0,137043.0,715048.0,0.0
