District,Roman Catholic,% Roman Catholic,Greek Catholic,% Greek Catholic,Evangelical,% Evangelical,Orthodox,% Orthodox,Mosaic (Jewish),% Mosaic (Jewish),Other Christian denominations,% Other Christian,Other or unknown,% Other
TARNOWSKI,97153.8599532774,0.9629460007198377,1522.6159339110748,0.028176238057598002,39.6500304263549,0.0003724119533883687,403.4875228197662,0.0037283007231666567,17658.106508865225,0.16702266162125798,11.650030426354903,0.00011402595338836868,14.975045639532354,0.000147968478834835
WADOWICKI,130341.33963080507,1.6372283823529157,130.82708091599642,0.00189496679876377,144.23816354551855,0.0021851749864274577,71.3941462515847,0.000835616167933218,6103.592995322104,0.09153509350552425,2.019268264779273,2.6392054020107683e-05,14.16358406208326,0.00021674753287562008
ŻYWIECKI,104628.33430587524,0.9527740133278856,59.24239925725155,0.0005393890589090288,207.7329938454508,0.0018911443735377472,3.88558543705912,3.537921894844922e-05,1850.8255540592502,0.016854999164920996,2.9149407635531652,2.6542858098720414e-05,2.9179475065884666,2.6576730863058907e-05
BIALSKI (BIAŁA PODLASKA),66297.61594854701,1.0710932347161528,1004.5169994589334,0.016781550172269535,234.61674254538647,0.0039162742509067615,11708.516531703062,0.19359904781425993,15493.06105411154,0.2544057221892444,1.0,1.68011e-05,15.544378217341611,0.0002603490319354547
BIŁGORAJSKI,65889.0,0.723927661,17.0,0.00018678,10.0,0.000109871,15883.0,0.174507779,9056.0,0.099498989,160.0,0.001757933,1.0,1.09871e-05
CHEŁMSKI,68770.0,0.566124717,401.0,0.003301091,7476.0,0.061543527,24701.0,0.203342251,19912.0,0.163918502,201.0,0.001654661,14.0,0.00011525
GARWOLIŃSKI,117391.0,0.852036261,9.0,6.53229e-05,1273.0,0.009239568,126.0,0.000914521,17772.0,0.128991051,1202.0,0.008724243,4.0,2.90324e-05
HRUBIESZOWSKI,51323.04355244921,0.4949195687269143,397.9223904205256,0.0038365250353052053,273.1117779653518,0.0026302233872533987,38695.508806023696,0.37290234377301734,14090.504490080488,0.1358344502913066,3.0,2.88903e-05,1.0,9.63011e-06
JANOWSKI,117368.0,0.892518745,12.0,9.12534e-05,15.0,0.000114067,697.0,0.0053003,13407.0,0.101952822,0.0,0.0,3.0,2.28133e-05
KRASNOSTAWSKI,102016.0,0.871335839,350.0,0.002989409,61.0,0.000521011,4149.0,0.035437308,10493.0,0.08962248,4.0,3.41647e-05,7.0,5.97882e-05
