level,name,path,parent,is_leaf
3,11-13 Hutnictwo oraz przemysł metalowy i maszynowy,Spis Powszechny 1931/Ludność aktywna zawodowo/11-13 Hutnictwo oraz przemysł metalowy i maszynowy,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,111 Hutnictwo i przemysł metalowy nie wydzielone — bez produkcji maszyn,Spis Powszechny 1931/Ludność aktywna zawodowo/111 Hutnictwo i przemysł metalowy nie wydzielone — bez produkcji maszyn,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,112 Huty żelaza,Spis Powszechny 1931/Ludność aktywna zawodowo/112 Huty żelaza,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,113 Huty żelaza połączone z działami dalszej obróbki,Spis Powszechny 1931/Ludność aktywna zawodowo/113 Huty żelaza połączone z działami dalszej obróbki,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,114 Huty cynku i ołowiu,Spis Powszechny 1931/Ludność aktywna zawodowo/114 Huty cynku i ołowiu,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,115 Odlewnie,Spis Powszechny 1931/Ludność aktywna zawodowo/115 Odlewnie,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,116 Produkcja kotłów i armatury oraz konstrukcji,Spis Powszechny 1931/Ludność aktywna zawodowo/116 Produkcja kotłów i armatury oraz konstrukcji,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,"117 Produkcja mebli i sprzętów metalowych oraz okuć, zamków i kłódek","Spis Powszechny 1931/Ludność aktywna zawodowo/117 Produkcja mebli i sprzętów metalowych oraz okuć, zamków i kłódek",Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,118 Produkcja naczyń blaszanych i innych wyrobów z blachy,Spis Powszechny 1931/Ludność aktywna zawodowo/118 Produkcja naczyń blaszanych i innych wyrobów z blachy,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,119 Produkcja wyrobów z miedzi i jej stopów,Spis Powszechny 1931/Ludność aktywna zawodowo/119 Produkcja wyrobów z miedzi i jej stopów,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,121 Przemysł metalowy nie wydzielony połączony z produkcją maszyn,Spis Powszechny 1931/Ludność aktywna zawodowo/121 Przemysł metalowy nie wydzielony połączony z produkcją maszyn,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,"122 Produkcja drutu, gwoździ, śrub i łańcuchów","Spis Powszechny 1931/Ludność aktywna zawodowo/122 Produkcja drutu, gwoździ, śrub i łańcuchów",Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,123 Kowalstwo,Spis Powszechny 1931/Ludność aktywna zawodowo/123 Kowalstwo,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,124 Ślusarstwo,Spis Powszechny 1931/Ludność aktywna zawodowo/124 Ślusarstwo,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,125 Blacharstwo,Spis Powszechny 1931/Ludność aktywna zawodowo/125 Blacharstwo,Spis Powszechny 1931/Ludność aktywna zawodowo,True
