District,Polish,% Polish,Belarusian,% Belarusian,Ruthenian,% Ruthenian,Local (Tutejszy),% Local (Tutejszy),German,% German,Jewish,% Jewish,Other and unknown: total,% Other: total,Minorities total (excluding Polish nationality),% Minorities total
PÓŁNOCNO-WARSZAWSKI,47843.715898183196,0.26342032149401906,10.93118207897135,6.0185315902695333e-05,23.930425632342683,0.000131757378283437,0.0,0.0,588.2157707900529,0.003238627698201339,4935.5764273323075,0.027174543442883847,256.4396228255981,0.0014119181564217903,5815.093428659272,0.03201703199169311
PRASKO-WARSZAWSKI,45383.05314908585,0.24987228158351127,10.368977575404628,5.7089909074354844e-05,22.699653611020942,0.00012498092987063523,0.0,0.0,557.9630906116382,0.0030720609843591655,4681.733496613776,0.025776922344306695,243.2506090662491,0.001339301421975935,5516.015827478089,0.030370355589586787
ŚRÓDMIEJSKO-WARSZAWSKI,13492.498215793492,0.07428767082652052,3.0827236540511986,1.697297653807281e-05,6.748665296706678,3.7157151321400794e-05,0.0,0.0,165.88385933016045,0.0009133316177320645,1391.8913882318736,0.007663545191564775,72.31903058693082,0.0003981777512204242,1639.9256670997227,0.009029184688376738
BARANOWICKI,53690.830446704065,0.5095336803855108,66182.98112940814,0.6243939013239707,142.9929867631878,0.0013691236018404495,0.0,0.0,123.81378110289539,0.001187782829206977,12450.56784797112,0.11742972745319316,483.94924590312337,0.004592329501472402,79384.30499114847,0.7489728645477401
BRASŁAWSKI,74569.54244461108,0.874657820124078,46001.0182641179,0.360361417046543,6.116850940747732,5.5699534304844546e-05,0.0,0.0,20.47011056444864,0.0003014394688166086,5383.7670078690735,0.05815748262736338,7935.780519842892,0.11815123657950985,59347.15275333506,0.5370272739506952
LIDZKI,102138.34377468476,0.5785141835678363,20615.303458131122,0.12583650731823748,15.59222160731986,9.346882259165173e-05,0.0,0.0,10.879893198918731,5.753224312429473e-05,6229.45679239013,0.03516351812064455,5881.708918913807,0.030617153423226354,32752.941284241297,0.1917681800890763
NIEŚWIESKI,36040.88165475948,0.3160205678868555,47598.07638349221,0.4173585780523822,21.87635008944081,0.00019182075017129047,0.0,0.0,6.481881507982462,5.683564879107457e-05,8585.25205732277,0.07527885251463833,151.51398024909005,0.0013285337259927817,56363.2006526615,0.49421462061095217
NOWOGRÓDZKI,36745.28789180398,0.35204997757502116,60926.0488100836,0.5840965395718722,16.20051573223825,0.00015433966498094095,0.0,0.0,10.139207446563612,9.821811426812273e-05,6654.805159900324,0.062849703917407,316.8816982240254,0.0030395970981871396,67924.07539138675,0.6502383982175793
SŁONIMSKI,24178.453625070604,0.20816397309852644,44453.92674834033,0.3827253038656415,14.588102453214308,0.00012559626807094859,0.0,0.0,3.978573396331175,3.425346134615664e-05,8149.444506818357,0.07016249991590594,218.82153679821462,0.0018839400424908324,52840.75946780644,0.45493159295666935
STOŁPECKI,53102.22482626365,0.5769372627386313,31577.3849294862,0.3202770685004573,14.320896249103637,0.00014099254657942977,0.0,0.0,3.5012326713341806,3.386261412464963e-05,5363.330808932194,0.055899006355034295,198.31516381831148,0.0021024841330067783,37156.853031157145,0.37845341402691524
WOŁOŻYŃSKI,63979.356942040395,0.6406895449406276,23955.83088921903,0.2377649731963861,13.99286763594445,0.00013172465839333838,0.0,0.0,1.4610141941982784,1.4281208170769216e-05,4102.227025348999,0.042324429257576554,214.24257629653658,0.002122344624264366,28287.75437269471,0.28235775260672236
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),54159.474952565986,0.2889859782538725,10979.959793762342,0.0609287095699593,8.181504114601603,4.483612842755534e-05,0.0,0.0,13.661085288704282,8.221375581175318e-05,4748.7103630707725,0.02720347289437685,3386.131776157873,0.017741110056917857,19136.644522394294,0.10600034249731982
BRZESKI (BRZEŚĆ N.BUG.),37012.757602198086,0.32124389078438215,54720.39014987313,0.46862789605631533,2760.380238707389,0.023750373622136434,345.0,0.00295445,27.010971358812718,0.0002313866473391256,21299.40187623066,0.1828385044402065,1321.8009091933284,0.011324858257950439,80473.98414536331,0.6897274680283363
DROHICKI,9188.0,0.145398152,18426.0,0.291587543,3693.0,0.058440942,25407.0,0.402060387,2.0,3.16496e-05,6024.0,0.095328523,452.0,0.007152804,54004.0,0.854601848
KOBRYŃSKI,40972.84752975163,0.6376138396558624,17034.178017567367,0.2643147936917696,10376.274238706263,0.17361916214198098,2044.955886856115,0.03452061436558371,32.076085355594515,0.0005411560351628199,5356.174655352414,0.08359280187647437,136.38750315122016,0.002133893961099898,34980.04638698897,0.5587224215720714
KOSZYRSKI,8621.167516865695,0.11044080258669182,13247.107292556808,0.095440391809639,33419.72690463778,0.5697801536947747,7628.883622439152,0.12772477366697574,122.21271105024223,0.0020135453793074668,4150.777335972192,0.04249299406524992,150.98806138036187,0.0015470056861624424,58719.69592803653,0.8389988643021093
ŁUNINIECKI,19086.835405590493,0.10632268280217867,68016.04505320938,0.37888147733537286,913.2968224406006,0.005087494313003333,32.04550254177546,0.00017850840372554214,85.98876515376415,0.00047899801287635256,7077.249236351111,0.039423618990115664,523.4098748489992,0.0029156402873702063,76648.03525454564,0.42696573734246396
PIŃSKI,21617.91619953659,0.15116748663517512,77000.66296579446,0.5384348525217458,385.74550828871816,0.0025622606767466433,1266.6190757425907,0.009113401689098787,49.408626871420275,0.00033550315506837764,15594.257587043583,0.11062476103051935,605.0817865835397,0.004233706831813119,94901.77555032431,0.6653044859049921
PRUŻAŃSKI,28448.0,0.441787151,30107.0,0.467550821,112.0,0.001739319,0.0,0.0,3.0,4.65889e-05,5657.0,0.087851164,66.0,0.001024956,35945.0,0.558212849
STOLIŃSKI,19669.23759195582,0.11795775580320297,59999.49633350789,0.35133642057634606,12744.229674496475,0.08631230019766556,407.5472365152131,0.0028283979307549534,127.94267065889272,0.000797628622132211,9065.123689427188,0.056281685244111604,571.4856035883685,0.0034549163065648292,82915.82520819402,0.5010113488775753
IWACEWICKI,8347.0,0.170859517,36143.0,0.73983174,7.0,0.000143287,0.0,0.0,1.0,2.04696e-05,4244.0,0.086872863,111.0,0.002272122,40506.0,0.829140483
BRODNICKI,55805.5691838303,0.9249361849307811,0.2439331221094677,5.196997951668133e-06,6.615533448593865,0.00011137249858917992,0.0,0.0,10780.647049441872,0.18151811803293147,3.6466375326672558,7.587127384165437e-05,77.89426604150158,0.001294325457502067,10869.047419586745,0.1830048848910571
CHEŁMIŃSKI,34363.570271069344,0.7294500240127539,0.011224594671503895,2.579479203079624e-07,5.705364350306509,0.00012024669908062375,0.0,0.0,12944.165319064105,0.27529355401172056,6.0886496342704,0.00012896043313957966,45.04179172839997,0.0009553131327645253,13001.012349371755,0.27649833221753156
CHOJNICKI,57024.15598952262,0.803115402765459,0.007230579671245963,2.099166667883136e-07,4.934088159750566,6.95391855781758e-05,0.0,0.0,12947.090714285188,0.18233937517792775,21.696516191304482,0.0003055816235338201,37.58028084051713,0.0005308557813710082,13011.308830056432,0.18324556099489125
DZIAŁDOWSKI,15496.0,0.653095629,0.0,0.0,3.0,0.000126438,0.0,0.0,8187.0,0.345049943,10.0,0.000421461,31.0,0.001306528,8231.0,0.346904371
GRUDZIĄDZ (MIASTO),26406.0,0.787862513,2.0,5.9673e-05,19.0,0.000566893,0.0,0.0,6942.0,0.207124955,22.0,0.000656403,125.0,0.003729562,7110.0,0.212137487
GRUDZIĄDZKI,28318.17578720149,0.6507681440551907,0.9785133305874737,2.2486823444898498e-05,21.52729327292442,0.0004947099200851009,0.0,0.0,14148.324246964283,0.32513671755680945,3.914053322349895,8.994719592826093e-05,87.08768642228516,0.0020013259166773035,14261.831793312429,0.327745186532283
KARTUSKI,58002.15845787283,0.8979226135027153,0.0,0.0,0.9779652856566665,1.5168554358919711e-05,0.0,0.0,4907.701221326901,0.07598495076266937,8.766706823726565,0.00013571635746613517,37.11603985870875,0.0005753362605509278,4954.561933294993,0.07671117242219566
KOŚCIERSKI,40437.027610867975,0.8031772246911411,0.0,0.0,1.9443732598480175,3.8827008553931204e-05,0.0,0.0,9041.178673470624,0.18049929689343366,8.859480604633983,0.0001764199892703561,24.926871048235014,0.0004949643896334285,9076.90939838334,0.18120950915707937
LUBAWSKI,51859.717891007975,0.8865666788180452,0.0,0.0,0.9607387667612955,1.6424309587167728e-05,0.0,0.0,4302.188197557081,0.07354796513967671,9.607387667612956,0.00016424309587167728,25.93994670255498,0.0004434558784841453,4338.69627069401,0.07417208794325031
SĘPOLEŃSKI,14381.0,0.515891807,1.0,3.58732e-05,3.0,0.000107619,0.0,0.0,13430.0,0.481776439,40.0,0.001434926,21.0,0.000753336,13495.0,0.484108193
STAROGARDZKI,64002.15849114147,1.1558719790869714,1.5712836195592899,3.4317803145473416e-05,3.5033356667213016,6.36713257076962e-05,0.0,0.0,6749.026555130489,0.11778467948871985,140.88984698133027,0.002330793065347539,95.32775260067363,0.0017035390914182107,6990.3187739987725,0.12191700031037259
ŚWIECKI,60292.550831257,0.7988810087209814,0.16234752067695865,5.600755868026502e-06,11.078623753003,0.00013655735654471364,0.0,0.0,18573.865653660516,0.22785696615148546,21.793479628635435,0.0003050855828416291,55.21272483531348,0.0007391293829645346,18662.112829398146,0.2290433401410907
TCZEWSKI,46375.97201655284,1.4485628135399569,0.6667826025571619,2.454926846964831e-05,2.666782602557162,8.050266846964831e-05,0.0,0.0,7358.5057300025,0.21463255588028013,25.001739038357428,0.0007878896936534233,91.66921725625757,0.002694291906332263,7478.510251502229,0.21821978901720512
