destination_id,destination_name,destination_type,destination_lon,destination_lat,destination_nearest_station,destination_connector_distance_m,destination_connector_time_min,time_min,rail_km,horse_km,total_km
City:Opatów,Opatów,City,21.424722,50.805,Iwaniska,12604.742252219487,189.07113378329228,1210.1328477822635,259.50515247551164,14.978016229658508,274.48316870517016
City:Opoczno,Opoczno,City,20.286944,51.377222,Opoczno,448.51725130678903,6.727758769601835,664.8713449748204,167.27382153170072,1.97695341223679,169.25077494393753
City:Orłowa,Orłowa,City,18.418333,49.847222,Intersection:00019,5131.76130234852,76.97641953522779,1496.374586571697,367.7375278172636,6.6601974632785215,374.3977252805421
City:Osieczna,Osieczna,City,16.676389,51.905833,Kąkolewo,5222.79182269819,78.34187734047285,1869.9614118819934,465.75582126026023,6.751227983628191,472.5070492438884
City:Ostroróg,Ostroróg,City,16.455278,52.626944,Binino,5182.879132335232,77.74318698502846,1852.1104233935603,461.21271608523995,6.7113152932652325,467.92403137850516
City:Ostrowiec (Świętokrzyski),Ostrowiec (Świętokrzyski),City,21.386111,50.9325,Ostrowiec Świętokrzyski,2658.565750389461,39.87848625584191,654.6110504335596,155.84225239779215,4.187001911319462,160.02925430911162
City:Ostrołęka,Ostrołęka,City,21.5725,53.082778,Ostrołęka Północna Wąskotorowa,1275.648817700289,19.134732265504336,727.009119335234,179.46910298326992,3.032058677217311,182.50116166048724
City:Ostrzeszów,Ostrzeszów,City,17.929722,51.425,Ostrzeszów,255.1055375129333,3.826583062693999,1549.17927936576,400.90555385746717,1.7835416984429344,402.6890955559101
City:Ostróg,Ostróg,City,26.516667,50.333333,Mohylany,9520.85016450093,142.81275246751392,1698.173398501844,403.54098062003345,11.04928632543093,414.59026694546435
City:Ostrów (Lubelski),Ostrów (Lubelski),City,22.855,51.491111,Parczew,15074.441917644637,226.11662876466957,566.5622487473516,83.61335709309945,16.602878078574637,100.21623517167409
City:Ostrów Mazowiecka,Ostrów Mazowiecka,City,21.896111,52.800833,Ostrów Mazowiecka,3093.917371445436,46.40876057168154,602.9480191476154,140.51801525598907,4.622353532375437,145.14036878836453
City:Ostrów Wielkopolski,Ostrów Wielkopolski,City,17.807222,51.654722,Ostrów Wielkopolski,876.543568579168,13.14815352868752,1459.1158171938575,374.73416192948787,2.404979729509169,377.13914165899706
City:Oszmiana,Oszmiana,City,25.933333,54.416667,Oszmiana,15953.435497448283,239.30153246172424,2227.711035187696,517.5771795488324,17.481871658378285,535.0590512072107
City:Ottynia,Ottynia,City,24.85,48.733333,Tłumacz,18681.807610378426,280.2271141556764,2061.273426505234,462.9715394163767,20.210243771308427,483.18178318768514
City:Otwock,Otwock,City,21.265833,52.106111,Otwock,270.9549886352036,4.064324829528054,389.8216171885808,95.54543081887704,1.7993911495652046,97.34482196844223
City:Ozorków,Ozorków,City,19.288056,51.958333,Ozorków Wąskotorowy,2172.831471662598,32.59247207493897,1029.3203568933022,256.43435349982883,3.7012676325925984,260.1356211324214
City:Ołyka,Ołyka,City,25.816667,50.716667,Kiwierce,27423.93389356358,411.3590084034537,1606.7202057900718,308.74112580946934,28.952370054493578,337.69349586396294
City:Oświęcim,Oświęcim,City,19.220833,50.039167,Oświęcim,2877.398743950964,43.16098115926446,1232.769178645079,307.2261691689243,4.405834904880965,311.6320040738052
City:Pabianice,Pabianice,City,19.355556,51.664444,Pabianice,1892.7012442498103,28.390518663747155,1053.0102131866402,263.77919672202154,3.4211374051798114,267.20033412720136
City:Pakość,Pakość,City,18.090278,52.807778,Inowrocław,10924.85162385243,163.87277435778645,1668.3523017930106,390.14228605560226,12.45328778478243,402.59557384038465
City:Parczew,Parczew,City,22.904056,51.641361,Parczew,2809.1429019027883,42.13714352854183,382.5827635112239,83.61335709309945,4.3375790628327895,87.95093615593224
City:Peczeniżyn,Peczeniżyn,City,24.879944,48.51575,Słoboda Rungurska Kopalnia,7662.419153728736,114.93628730593103,2064.743288566354,507.4118541629046,9.190855314658737,516.6027094775633
City:Pelplin,Pelplin,City,18.701111,53.926111,Morzeszczyn,9565.585524283944,143.48378286425915,1766.3801649995567,421.3253911266214,11.094021685213946,432.41941281183534
City:Piaseczno,Piaseczno,City,21.026389,52.075556,Piaseczno Miasto,620.2973861378232,9.304460792067347,1184.158910707327,302.51944625132927,2.3567257978734713,304.87617204920275
City:Piaski,Piaski,City,17.074444,51.884722,Piaski Wielkopolskie,591.0041285573735,8.865061928360602,1716.6858178979617,443.6888095696548,2.1194402894873745,445.8082498591421
City:Pilzno,Pilzno,City,21.291389,49.978611,Dębica,11701.743664996879,175.52615497495316,1160.5461921035005,253.35128694151066,13.23017982592688,266.5814667674375
City:Piotrków (Trybunalski),Piotrków (Trybunalski),City,19.695556,51.406667,Piotrków Trybunalski,838.1223542641637,12.571835313962456,1016.4574037023879,258.3192101732785,2.366558515194165,260.6857686884727
City:Piwniczna (Piwniczna-Zdrój),Piwniczna (Piwniczna-Zdrój),City,20.711389,49.435278,Muszyna,16076.529998234933,241.147949973524,1685.5573114080792,374.32380900875944,17.604966159164935,391.92877516792436
City:Pińczów,Pińczów,City,20.526111,50.520278,Pińczów,1116.0751091133393,16.741126636700088,825.6682573833971,203.6430455524128,3.4893490865523593,207.13239463896514
City:Pińsk,Pińsk,City,26.083333,52.116667,Pińsk,1440.20046734623,21.603007010193448,1162.380334595443,294.3673734284422,2.968636628276231,297.33601005671835
City:Pleszew,Pleszew,City,17.785556,51.897222,Pleszew,143.08305302818368,2.146245795422755,1552.604317355828,402.2499693418998,1.6715192139581847,403.92148855585805
