District,year,scenario,ma_total,ma_total_no_self,ma_domestic,ma_domestic_no_self,ma_domestic_inter,ma_domestic_self,ma_foreign
NOWOTOMYSKI,1924,fixed14,507308270.298482,507306595.7184233,1777.2396070116797,102.6595483231622,102.6595483231622,1674.5800586885175,507306493.05887496
OBORNICKI,1924,fixed14,464565176.362222,464564409.2784929,991.7766452465967,224.69291613871715,224.69291613871715,767.0837291078795,464564184.5855768
OLKUSKI,1924,fixed14,405391234.6722022,405390139.0913968,1164.0974094769463,68.51660409561617,68.51660409561617,1095.58080538133,405390070.57479274
OPATOWSKI,1924,fixed14,392120176.01678735,392119221.8658617,1012.4051603150252,58.25423469415429,58.25423469415429,954.1509256208709,392119163.61162704
OPOCZYŃSKI,1924,fixed14,413959080.6710461,413958590.7513837,694.0110840456425,204.09142167263482,204.09142167263482,489.9196623730077,413958386.65996206
OSTROWSKI (OSTRÓW MAZOWIECKA),1924,fixed14,372993069.7822897,372992661.7935186,516.796843387709,108.80807230937663,108.80807230937663,407.98877107833243,372992552.9854463
OSTROWSKI (OSTRÓW WIELKOPOLSKI),1924,fixed14,448919450.5250393,448918148.0191459,1394.0704970779825,91.56460367946522,91.56460367946522,1302.5058933985172,448918056.4545422
OSTROŁĘCKI,1924,fixed14,364079185.9822306,364078831.60008395,429.37934368157653,74.99719703005124,74.99719703005124,354.3821466515253,364078756.6028869
OSZMIAŃSKI,1924,fixed14,293235779.2508844,293235513.7437842,274.923254203248,9.416153970671875,9.416153970671875,265.50710023257614,293235504.3276302
PIOTRKOWSKI,1924,fixed14,413369456.57326835,413368442.61301494,1163.1688274421426,149.2085740040046,149.2085740040046,1013.960253438138,413368293.40444094
PIŃCZOWSKI,1924,fixed14,386136134.6445945,386135367.9028027,810.3822616682426,43.64046988657173,43.64046988657173,766.7417917816708,386135324.2623328
PIŃSKI,1924,fixed14,329659170.7109332,329659000.0075793,193.8088333393672,23.105479483767887,23.105479483767887,170.70335385559932,329658976.90209985
PODHAJECKI,1924,fixed14,357637283.1848493,357636889.9491986,453.6023652067029,60.36671445851233,60.36671445851233,393.2356507481906,357636829.5824841
POSTAWSKI,1924,fixed14,293797652.3207102,293797428.2284328,236.76067118349275,12.668393790481572,12.668393790481572,224.0922773930112,293797415.560039
POZNAŃ (MIASTO),1924,fixed14,492565918.45646304,492363257.0455404,203450.78038852377,789.369465884367,789.369465884367,202661.4109226394,492362467.6760745
POZNAŃSKI,1924,fixed14,486163905.7454577,486162712.4113598,3409.881487909307,2216.5473899550166,2216.5473899550166,1193.3340979542904,486160495.8639698
PRUŻAŃSKI,1924,fixed14,348781524.5269644,348781204.84614223,358.3333157117507,38.652493507885765,38.652493507885765,319.6808222038649,348781166.1936487
PRZASNYCKI,1924,fixed14,353487712.56631595,353487164.5848835,589.2909542224751,41.309521787169146,41.309521787169146,547.9814324353059,353487123.2753617
PRZEMYSKI,1924,fixed14,379261557.5514559,379260030.7178087,1627.9857741445182,101.15212698617826,101.15212698617826,1526.83364715834,379259929.56568176
PRZEMYŚLAŃSKI,1924,fixed14,359821191.0303116,359820538.7825337,732.3882172919964,80.14043940845414,80.14043940845414,652.2477778835422,359820458.6420943
PRZEWORSKI,1924,fixed14,381724574.9217637,381722446.29127365,2221.4844296855335,92.8539395979813,92.8539395979813,2128.630490087552,381722353.43733406
PSZCZYŃSKI,1924,fixed14,423861804.4928437,423858565.57319945,3568.571133126224,329.6514889257011,329.6514889257011,3238.919644200523,423858235.92171055
PUŁAWSKI,1924,fixed14,374633816.69580686,374633073.3066744,817.2609643661696,73.87183197845175,73.87183197845175,743.3891323877178,374632999.43484247
PUŁTUSKI,1924,fixed14,373265000.0235347,373264196.28568506,907.9278084775884,104.18995880702447,104.18995880702447,803.737849670564,373264092.09572625
PŁOCKI,1924,fixed14,399928368.21648586,399926854.29481095,1592.927520246824,79.00584534907443,79.00584534907443,1513.9216748977497,399926775.2889656
PŁOŃSKI,1924,fixed14,379370408.10917616,379369599.48281,1004.1188798213502,195.49251364873115,195.49251364873115,808.6263661726191,379369403.99029636
RADOMSKI,1924,fixed14,395026186.104647,395025436.0623937,845.5292453269872,95.4869920398524,95.4869920398524,750.0422532871348,395025340.57540166
RADOMSZCZAŃSKI,1924,fixed14,418981295.61598057,418980555.63180566,887.2229929847064,147.2388180278119,147.2388180278119,739.9841749568944,418980408.3929876
RADZIECHOWSKI,1924,fixed14,340999787.89821994,340999278.6861712,536.8183849998226,27.606336265768107,27.606336265768107,509.21204873405446,340999251.07983494
RADZYMIŃSKI,1924,fixed14,397109717.7904063,397108641.1019394,2046.9742805131796,970.285813606669,970.285813606669,1076.6884669065107,397107670.81612575
RADZYŃSKI,1924,fixed14,374078894.9448991,374078304.01492697,668.4826446906195,77.55267253653689,77.55267253653689,590.9299721540826,374078226.4622544
RAWICKI,1924,fixed14,471637918.01007265,471635660.1148005,2414.7950381726496,156.8997660020455,156.8997660020455,2257.895272170604,471635503.2150345
RAWSKI (RAWA MAZOWIECKA),1924,fixed14,404565880.95159554,404565188.3891673,841.2340629863575,148.67163473574357,148.67163473574357,692.562428250614,404565039.7175326
RAWSKI (RAWA RUSKA),1924,fixed14,362418968.94409215,362418453.39714706,591.1966780862612,75.64973299197959,75.64973299197959,515.5469450942816,362418377.74741405
ROHATYŃSKI,1924,fixed14,354510426.2437936,354509814.57091856,654.641205544088,42.9683305267549,42.9683305267549,611.6728750173331,354509771.60258806
ROPCZYCKI,1924,fixed14,389983085.79682255,389982326.94639957,850.5777171776667,91.72729420135764,91.72729420135764,758.8504229763091,389982235.21910536
RUDECKI,1924,fixed14,357040116.9481669,357039162.97081625,1004.3038250418425,50.32647437709659,50.32647437709659,953.9773506647459,357039112.6443419
RYBNICKI,1924,fixed14,414645907.1316559,414642771.1574949,3357.0996323619115,221.12547140800064,221.12547140800064,3135.974160953911,414642550.0320235
RYPIŃSKI,1924,fixed14,356814365.3126395,356813364.8354015,1066.542401850423,66.06516384377073,66.06516384377073,1000.4772380066522,356813298.7702376
RZESZOWSKI,1924,fixed14,380936002.99308324,380934654.17049354,1420.1798807509153,71.35729104016626,71.35729104016626,1348.822589710749,380934582.8132025
RÓWIEŃSKI,1924,fixed14,327440714.7355486,327440206.2950538,527.836766186041,19.396271360627292,19.396271360627292,508.4404948254137,327440186.89878243
SAMBORSKI,1924,fixed14,374484239.6905907,374483344.12686956,1050.844218046181,155.28049693449904,155.28049693449904,895.5637211116818,374483188.8463726
SANDOMIERSKI,1924,fixed14,374386319.91018444,374385405.7827396,942.8855709573717,28.75812609785949,28.75812609785949,914.1274448595121,374385377.0246135
SANOCKI,1924,fixed14,358307345.5616661,358306472.61844975,909.6608475664699,36.71763119943434,36.71763119943434,872.9432163670356,358306435.9008185
SARNEŃSKI,1924,fixed14,329103459.65580755,329103349.86210126,133.25829470120908,23.464588376450095,23.464588376450095,109.793706324759,329103326.39751285
SIEDLECKI,1924,fixed14,380177459.7313024,380176775.27292997,800.9567334386736,116.49836102605943,116.49836102605943,684.4583724126142,380176658.7745689
SIERADZKI,1924,fixed14,437794058.2584463,437792978.83175176,1283.7538170514058,204.3271224966174,204.3271224966174,1079.4266945547884,437792774.50462925
SIERPECKI,1924,fixed14,355248820.0064004,355247866.9390435,1007.48285385261,54.415496973627164,54.415496973627164,953.0673568789829,355247812.5235466
SKAŁACKI,1924,fixed14,338904776.65953714,338904052.1530634,753.3214698598722,28.814996101156556,28.814996101156556,724.5064737587156,338904023.3380673
SKIERNIEWICKI,1924,fixed14,418843057.76240766,418841767.14476633,1594.8234274216459,304.20578610068566,304.20578610068566,1290.6176413209603,418841462.9389802
SOCHACZEWSKI,1924,fixed14,408468876.58805794,408467842.1965108,1305.6774906121098,271.2859434767742,271.2859434767742,1034.3915471353355,408467570.91056734
SOKALSKI,1924,fixed14,355862626.0901642,355861868.3777579,813.740019534892,56.02761330763708,56.02761330763708,757.7124062272549,355861812.3501446
SOKOŁOWSKI,1924,fixed14,375733091.3727983,375732594.9359934,595.7968807448904,99.36007574743077,99.36007574743077,496.4368049974596,375732495.5759176
SOKÓLSKI,1924,fixed14,352230942.96604,352230696.7143171,302.974740939853,56.72301801307774,56.72301801307774,246.25172292677524,352230639.9912991
STANISŁAWOWSKI,1924,fixed14,365352421.8068219,365351255.2946754,1231.9259657521827,65.41381926441922,65.41381926441922,1166.5121464877634,365351189.88085616
STAROGARDZKI,1924,fixed14,393184347.6020785,393183050.9425012,1339.7057444599593,43.04616712181798,43.04616712181798,1296.6595773381414,393183007.89633405
STOLIŃSKI,1924,fixed14,315012548.959772,315012479.5844642,85.28110933166883,15.905801559997016,15.905801559997016,69.37530777167181,315012463.67866266
STOPNICKI,1924,fixed14,368610072.049577,368609554.25046223,542.601838875642,24.802724150612324,24.802724150612324,517.7991147250297,368609529.4477381
STOŁPECKI,1924,fixed14,308837270.8372821,308836922.4894306,362.4904436560267,14.142592129956096,14.142592129956096,348.3478515260706,308836908.3468385
