Region;District;Indirect Occupation - Total;Indirect Occupation - A. Agriculture;Indirect Occupation - Excluding Agriculture - Total;Indirect Occupation  - Horticulture;Indirect Occupation - B. Mining and industry;Indirect Occupation - C. Trade and insurance;Indirect Occupation - D. Transport and communication;Indirect Occupation - E. Public service, liberal professions;Indirect Occupation - Schooling, Education, and Culture;Indirect Occupation - Public Hygiene and Sanitation;Indirect Occupation - G. Domestic service;Indirect Occupation - N. Not further specified
WARSZAWSKIE;BŁOŃSKI;143824;60228;83596;1405;50142;8949;8182;3836;1742;1578;2021;5741
WARSZAWSKIE;CIECHANOWSKI;78763;56484;22279;626;12305;3236;1340;1088;630;371;745;1938
WARSZAWSKIE;GOSTYNIŃSKI;81566;61245;20321;968;11447;2763;1124;1175;621;388;634;1201
WARSZAWSKIE;GRÓJECKI;132357;89744;42613;1480;23040;7402;2561;1982;1059;824;1117;3148
WARSZAWSKIE;KUTNOWSKI;108002;59022;48980;657;26392;6573;6948;1874;989;773;1550;3224
WARSZAWSKIE;LIPNOWSKI;104500;81342;23158;1096;11851;3703;1379;1327;866;410;993;1533
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);65561;49601;15960;556;8769;2797;764;906;561;217;347;1043
WARSZAWSKIE;MIŃSKI;111133;74962;36171;635;19373;6383;3430;1477;1019;788;676;2390
WARSZAWSKIE;MŁAWSKI;103131;73843;29288;635;14915;4790;2256;1848;947;454;862;2581
WARSZAWSKIE;NIESZAWSKI;117874;82357;35517;999;19535;4544;3147;1784;919;1082;1141;2366
WARSZAWSKIE;PRZASNYCKI;69118;54555;14563;563;7559;2275;652;1429;472;237;350;1026
WARSZAWSKIE;PUŁTUSKI;118297;74087;44210;1220;24422;7522;2665;1922;1282;662;964;3551
WARSZAWSKIE;PŁOCKI;128144;76744;51400;1376;24398;7740;3972;4028;1503;986;1851;5546
WARSZAWSKIE;PŁOŃSKI;81424;60236;21188;660;11528;3319;1595;1213;664;354;694;1161
WARSZAWSKIE;RADZYMIŃSKI;97338;59914;37424;744;20463;5586;3735;2177;922;659;728;2410
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);93552;71050;22502;755;13070;3404;1096;1140;640;425;648;1324
WARSZAWSKIE;RYPIŃSKI;86607;66822;19785;872;10871;3307;744;1127;653;358;793;1060
WARSZAWSKIE;SIERPECKI;83168;59486;23682;409;13483;4483;1052;1198;586;352;664;1455
WARSZAWSKIE;SKIERNIEWICKI;71045;45502;25543;466;10026;3073;5434;942;751;513;713;3625
WARSZAWSKIE;SOCHACZEWSKI;75181;54453;20728;650;12263;2536;1715;1215;566;296;588;899
WARSZAWSKIE;WARSZAWSKI;326072;86258;239814;4430;127537;29636;26371;10275;4974;6615;5192;24784
WARSZAWSKIE;WŁOCŁAWSKI;147786;64872;82914;1745;49260;11735;4260;4131;1749;1677;3061;5296
WARSZAWSKIE;ŁOWICKI;104785;76093;28692;576;13546;4149;4020;1425;861;414;830;2871
WOŁYŃSKIE;DUBIEŃSKI;226709;188254;38455;1006;16684;9286;2975;2821;1133;772;1083;2695
WOŁYŃSKIE;HOROCHOWSKI;122045;102745;19300;552;9267;5138;668;1378;524;314;525;934
WOŁYŃSKIE;KOSTOPOLSKI;159602;137595;22007;1187;10017;4819;768;2323;714;272;559;1348
WOŁYŃSKIE;KOWELSKI;255095;203664;51431;1197;17487;11990;8976;3205;1462;1114;1353;4647
WOŁYŃSKIE;KRZEMIENIECKI;243032;199700;43332;994;17369;10621;1992;4597;1690;883;1284;3902
WOŁYŃSKIE;LUBOMELSKI;85507;75067;10440;647;3965;2887;659;873;338;109;208;754
WOŁYŃSKIE;RÓWIEŃSKI;252787;179303;73484;1202;29970;17796;4557;6806;2303;2000;2261;6589
WOŁYŃSKIE;SARNEŃSKI;181284;145772;35512;1654;16652;6166;3469;2747;936;449;828;2611
WOŁYŃSKIE;WŁODZIMIERSKI;150374;115628;34746;882;14481;8520;2655;2098;948;720;1051;3391
WOŁYŃSKIE;ZDOŁBUNOWSKI;118334;86488;31846;609;11823;6329;4493;2904;1070;733;783;3102
WOŁYŃSKIE;ŁUCKI;290805;221534;69271;1928;28885;16412;4993;6259;2145;1570;2149;4930
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;159886;133009;26877;705;10008;4951;2494;4009;913;590;1084;2123
ZIEMIA WILEŃSKA;MOŁODECZAŃSKI;91285;75168;16117;464;5546;2730;2177;1895;453;278;753;1821
ZIEMIA WILEŃSKA;OSZMIAŃSKI;104612;88425;16187;433;7046;2949;1242;1330;691;365;688;1443
ZIEMIA WILEŃSKA;POSTAWSKI;99907;90397;9510;626;3639;1598;675;1010;446;237;515;764
ZIEMIA WILEŃSKA;WILEJSKI;131070;114982;16088;636;5339;3127;928;2828;603;308;857;1462
ZIEMIA WILEŃSKA;WILEŃSKO-TROCKI;214472;178578;35894;2390;15130;3392;4139;3916;937;514;1422;4054
ZIEMIA WILEŃSKA;WILNO (MIASTO);195071;5168;189903;1441;67719;35070;19755;13716;7476;7380;9444;27902
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;136475;111305;25170;1104;8954;3843;3241;2801;857;481;916;2973
ŁÓDZKIE;BRZEZIŃSKI;150923;67530;83393;1009;51797;10896;8421;2534;1664;1270;1524;4278
ŁÓDZKIE;KALISKI;195761;104649;91112;1408;48567;17186;4434;4233;2394;2125;3430;7335
ŁÓDZKIE;KOLSKI;119370;82373;36997;950;19728;6842;2870;1661;964;625;1323;2034
ŁÓDZKIE;KONIŃSKI;207495;156947;50548;1559;26934;8046;2543;2953;1480;990;1828;4215
ŁÓDZKIE;PIOTRKOWSKI;222195;134351;87844;1359;47196;11541;11630;4157;2000;1505;2319;6137
ŁÓDZKIE;RADOMSZCZAŃSKI;186412;138681;47731;1307;27003;7296;3474;2274;1475;701;1541;2660
