Region;District;Konie;Bydło rogate;Trzoda chlewna;Owce;Kozy
POZNAŃSKIE;LESZCZYŃSKI;8344.0;27977.0;27255.0;2234.0;3355.0
POZNAŃSKIE;MIĘDZYCHODZKI;4947.0;13737.0;16974.0;1485.0;3343.0
POZNAŃSKIE;MOGILEŃSKI;16017.0;42870.0;40916.0;12243.0;5445.0
POZNAŃSKIE;NOWOTOMYSKI;11542.0;33424.0;43193.0;4997.0;8309.0
POZNAŃSKIE;OBORNICKI;8911.0;25736.0;35656.0;8106.0;3137.0
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);11078.0;38290.0;30510.0;3241.0;5355.0
POZNAŃSKIE;POZNAŃ (MIASTO);2332.0;1164.0;866.0;11.0;1011.0
POZNAŃSKIE;POZNAŃSKI;12483.0;31441.0;32280.0;2846.0;5788.0
POZNAŃSKIE;RAWICKI;6138.0;21114.0;18359.0;746.0;2893.0
POZNAŃSKIE;SZAMOTULSKI;10205.0;26908.0;31635.0;6826.0;5404.0
POZNAŃSKIE;SZUBIŃSKI;9494.0;26037.0;27991.0;6462.0;2032.0
POZNAŃSKIE;WOLSZTYŃSKI;6645.0;21794.0;22354.0;1758.0;4545.0
POZNAŃSKIE;WRZESIŃSKI;7455.0;21373.0;24186.0;1978.0;2112.0
POZNAŃSKIE;WYRZYSKI;12458.0;34229.0;35164.0;17064.0;2713.0
POZNAŃSKIE;WĄGROWIECKI;11290.0;29878.0;41427.0;5719.0;3510.0
POZNAŃSKIE;ŚREDZKI;9924.0;26038.0;29061.0;4131.0;2239.0
POZNAŃSKIE;ŚREMSKI;9516.0;26051.0;24940.0;4195.0;2961.0
POZNAŃSKIE;ŻNIŃSKI;8328.0;22771.0;27834.0;4024.0;2231.0
STANISŁAWOWSKIE;DOLIŃSKI;8471.0;38417.0;9216.0;19292.0;1102.0
STANISŁAWOWSKIE;HORODEŃSKI;15824.0;21527.0;14877.0;17990.0;1175.0
STANISŁAWOWSKIE;KAŁUSKI;8923.0;33477.0;11320.0;4703.0;1289.0
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);5883.0;32366.0;13385.0;54083.0;2702.0
STANISŁAWOWSKIE;KOŁOMYJSKI;16284.0;42966.0;20450.0;18405.0;4245.0
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;10000.0;33002.0;10683.0;19228.0;2732.0
STANISŁAWOWSKIE;ROHATYŃSKI;16987.0;40013.0;13533.0;966.0;1488.0
STANISŁAWOWSKIE;STANISŁAWOWSKI;14121.0;41480.0;12492.0;770.0;2472.0
STANISŁAWOWSKIE;STRYJSKI;12442.0;47401.0;8809.0;12403.0;1030.0
STANISŁAWOWSKIE;TŁUMACKI;12224.0;30975.0;13514.0;3450.0;1887.0
STANISŁAWOWSKIE;ŚNIATYŃSKI;8702.0;19772.0;12616.0;9829.0;2948.0
STANISŁAWOWSKIE;ŻYDACZOWSKI;10267.0;29226.0;5678.0;190.0;294.0
TARNOPOLSKIE;BORSZCZOWSKI;15381.0;26152.0;25884.0;16291.0;901.0
TARNOPOLSKIE;BRODZKI;12804.0;29170.0;18725.0;7037.0;219.0
