Region;District;Indirect Occupation - Total;Indirect Occupation - A. Agriculture;Indirect Occupation - Excluding Agriculture - Total;Indirect Occupation  - Horticulture;Indirect Occupation - B. Mining and industry;Indirect Occupation - C. Trade and insurance;Indirect Occupation - D. Transport and communication;Indirect Occupation - E. Public service, liberal professions;Indirect Occupation - Schooling, Education, and Culture;Indirect Occupation - Public Hygiene and Sanitation;Indirect Occupation - G. Domestic service;Indirect Occupation - N. Not further specified
POMORSKIE;DZIAŁDOWSKI;42716;26572;16144;770;5764;1713;3660;1174;449;295;553;1766
POMORSKIE;GDYNIA (MIASTO);33217;921;32296;425;14112;4156;6409;2307;478;646;1048;2715
POMORSKIE;GRUDZIĄDZ (MIASTO);54014;636;53378;307;23182;7063;5568;4153;1148;1245;1475;9237
POMORSKIE;GRUDZIĄDZKI;42801;30492;12309;572;5821;1035;1389;641;355;220;578;1698
POMORSKIE;KARTUSKI;68674;51031;17643;933;7194;1845;3113;1109;486;253;507;2203
POMORSKIE;KOŚCIERSKI;51716;33733;17983;941;7266;2089;2476;1096;639;282;552;2642
POMORSKIE;LUBAWSKI;53621;35838;17783;709;7492;2149;1766;1539;571;323;664;2570
POMORSKIE;MORSKI;85295;40719;44576;4767;16622;3913;8881;2790;848;753;1087;4915
POMORSKIE;STAROGARDZKI;71829;37574;34255;1865;14991;3055;3425;1668;680;1162;888;6521
POMORSKIE;SĘPOLEŃSKI;29563;19131;10432;375;4459;1325;771;1103;285;216;436;1462
POMORSKIE;TCZEWSKI;67399;26152;41247;744;13049;3494;13056;2746;754;641;1366;5397
POMORSKIE;TORUŃ (MIASTO);53993;528;53465;765;17840;6939;6929;5277;1274;1400;1923;11118
POMORSKIE;TORUŃSKI;60214;32271;27943;1419;11369;2123;6033;992;531;348;810;4318
POMORSKIE;TUCHOLSKI;41249;27074;14175;1476;5615;1721;1647;574;387;214;451;2090
POMORSKIE;WĄBRZESKI;49852;31617;18235;563;8228;2376;2255;1080;527;382;681;2143
POMORSKIE;ŚWIECKI;87998;53330;34668;1832;14728;3488;4622;1617;786;1125;1086;5384
POZNAŃSKIE;BYDGOSKI;58139;34477;23662;1763;11629;1698;3528;978;444;344;690;2588
POZNAŃSKIE;BYDGOSZCZ (MIASTO);117200;2235;114965;921;44839;16626;23278;5716;2693;3134;3658;14100
POZNAŃSKIE;CHODZIESKI;44508;24879;19629;1040;10138;2125;1638;1427;383;402;522;1954
POZNAŃSKIE;CZARNKOWSKI;43256;25731;17525;1244;7371;1622;1850;1584;407;262;473;2712
POZNAŃSKIE;GNIEZNO (MIASTO);30675;443;30232;380;11704;3784;5307;1760;491;844;862;5100
POZNAŃSKIE;GNIEŹNIEŃSKI;57256;39718;17538;1293;6799;1291;2135;660;518;615;638;3589
POZNAŃSKIE;GOSTYŃSKI;55929;35142;20787;499;10603;2225;1780;1033;383;509;816;2939
POZNAŃSKIE;INOWROCŁAW (MIASTO);34364;1226;33138;244;15617;4172;4548;1628;583;1127;988;4231
POZNAŃSKIE;INOWROCŁAWSKI;48599;33562;15037;845;8023;772;1830;449;321;176;610;2011
POZNAŃSKIE;JAROCIŃSKI;87546;50341;37205;985;13831;3300;7499;1840;779;713;1206;7052
POZNAŃSKIE;KOŚCIAŃSKI;78899;48139;30760;973;15250;3211;2307;1581;700;881;1059;4798
POZNAŃSKIE;KROTOSZYŃSKI;75456;43312;32144;961;15001;3881;2717;1977;767;645;1028;5167
POZNAŃSKIE;KĘPIŃSKI;86849;57625;29224;995;12565;3370;3632;2099;784;483;963;4333
POZNAŃSKIE;LESZCZYŃSKI;61211;29426;31785;1150;11066;3845;5867;2143;895;773;1195;4851
POZNAŃSKIE;MIĘDZYCHODZKI;31032;17322;13710;1673;5376;1240;1252;1119;280;275;461;2034
POZNAŃSKIE;MOGILEŃSKI;89186;51402;37784;1328;19797;3782;3433;1961;734;629;1399;4721
POZNAŃSKIE;NOWOTOMYSKI;87331;50154;37177;969;16858;4281;5426;2173;598;717;1085;5070
POZNAŃSKIE;OBORNICKI;50388;29132;21256;1587;9283;1957;2492;1007;559;541;776;3054
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);104126;56162;47964;1254;18774;4420;11412;2612;987;836;1306;6363
POZNAŃSKIE;POZNAŃ (MIASTO);246470;2049;244421;1115;89079;42810;33676;16842;7783;7608;11009;34499
POZNAŃSKIE;POZNAŃSKI;91182;43196;47986;1920;24744;3883;6517;1589;784;943;1180;6426
POZNAŃSKIE;RAWICKI;49882;27110;22772;595;10040;2491;1560;1873;794;472;805;4142
POZNAŃSKIE;SZAMOTULSKI;67742;37764;29978;1638;13567;2790;2505;1919;536;559;970;5494
POZNAŃSKIE;SZUBIŃSKI;47825;30335;17490;654;9283;1637;1514;785;376;346;583;2312
