Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIIR;Kategoria VIIIPR;R;PR
Warszawa Okręgowa;LIPNOWSKI;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;6.0;0.0;19.0;3.0;24.0;3.0;321.0;17.0;374.0;23.0
Lwowska;LUBACZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;20.0;1.0;31.0;5.0;354.0;30.0;410.0;36.0
Lubelska;LUBARTOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;0.0;19.0;0.0;18.0;1.0;412.0;6.0;457.0;7.0
Pomorska;LUBAWSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;9.0;0.0;28.0;1.0;31.0;0.0;363.0;27.0;433.0;28.0
Lubelska;LUBELSKI;3.0;0.0;4.0;0.0;6.0;0.0;20.0;1.0;31.0;1.0;73.0;3.0;171.0;8.0;1464.0;97.0;1772.0;110.0
Śląska;LUBLINIECKI;1.0;0.0;1.0;0.0;1.0;0.0;7.0;2.0;16.0;2.0;14.0;2.0;23.0;2.0;264.0;12.0;327.0;20.0
Wołyńska;LUBOMELSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;9.0;1.0;32.0;1.0;320.0;18.0;364.0;20.0
Lwowska;LWOWSKI;1.0;0.0;0.0;0.0;3.0;1.0;7.0;0.0;23.0;1.0;37.0;1.0;59.0;1.0;542.0;25.0;672.0;29.0
Lwowska;LWÓW (MIASTO);2.0;1.0;0.0;0.0;9.0;0.0;27.0;1.0;65.0;2.0;129.0;3.0;237.0;7.0;2807.0;36.0;3276.0;50.0
Warszawa Grodzka;M. ST. WARSZAWA;11.0;0.0;7.0;3.0;56.0;2.0;362.0;18.0;530.0;29.0;541.0;23.0;1813.0;135.0;13650.0;1244.0;16970.0;1454.0
Krakowska;MAKOWSKI (MAKÓW PODHALAŃSKI);0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;5.0;0.0;7.0;1.0;13.0;5.0;235.0;101.0;263.0;107.0
Warszawa Okręgowa;MAKOWSKI (MAKÓW MAZOWIECKI);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;6.0;0.0;10.0;0.0;219.0;7.0;237.0;8.0
Kielecka;MIECHOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;11.0;1.0;26.0;1.0;46.0;3.0;376.0;11.0;463.0;16.0
Krakowska;MIELECKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;3.0;0.0;16.0;1.0;8.0;1.0;229.0;6.0;260.0;8.0
Wielkopolska;MIĘDZYCHODZKI;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;10.0;0.0;28.0;1.0;32.0;2.0;292.0;10.0;369.0;13.0
Warszawa Okręgowa;MIŃSKI;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;23.0;3.0;29.0;0.0;406.0;18.0;463.0;22.0
Wielkopolska;MOGILEŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;6.0;1.0;39.0;1.0;36.0;3.0;422.0;16.0;507.0;22.0
;MORSKI;0.0;0.0;0.0;0.0;2.0;0.0;8.0;0.0;24.0;5.0;34.0;4.0;102.0;12.0;514.0;136.0;684.0;157.0
