Region;District;Typ Kategorii;Total;1. All types of professional purchasing (total);a. Professional purchasing (agricultural products);b. Professional purchasing (livestock);c. Professional purchasing (plant and animal products);2. Food and colonial goods (exclusively);3. Food products along with non-food items (excluding wine and spirits);4. Meat, fats, and meat products (exclusively);5. Catering establishments with and without alcohol;6. Wine, spirits, and beer (possibly with food and colonial goods);7. Tobacco monopoly products;8. Textiles;9. Textiles with clothing, haberdashery, garments, and footwear;10. Ready-made clothing and haberdashery;11. Garments, garment parts, furs, and fur products;12. Footwear;13. Footwear with leather and shoemaking accessories;14. All types of leather and leather products (excluding footwear);15. Machinery, tools, and technical goods (excluding agricultural);16. Building materials and fuels;17. Furniture and all wooden products;18. Iron, ironware, enameled and aluminum goods (possibly with other goods);19. Kitchenware, porcelain, faience, glassware, window panes, and mirrors;20. Soap, candles, paints, gasoline, kerosene, mineral oils, lubricants (soap shops);21. Musical, optical, surgical instruments, photographic equipment and accessories;22. Watchmaking, jewelry, and silver-plated products;23. Electrical equipment, radio equipment, and all lighting accessories;24. Pharmacies;25. Pharmaceutical warehouses, perfumeries, and cosmetic shops;26. Rubber goods, oilcloth, linoleum, galoshes, tarpaulins, tires, inner tubes, etc.;27. Bookstores, stationery, and paper products (possibly with other goods);28. Agricultural machinery, tools, and goods;29. Agricultural-commercial syndicates and cooperatives;30. Banks, exchange offices, and other short- and long-term credit institutions;31. Forwarding, transport, and communication enterprises;32. Other service enterprises (reading rooms, clinics, laundries, bathhouses, garages, dance halls, etc.);33. Hotels, boarding houses, furnished rooms, lodging houses;34. Theaters, cinemas, and other performances;35. Insurance companies;36. Offices: commission, trade brokerage, advertising, legal advice, agency, technical, etc.;37. Other enterprises not listed above;38. Cards with no industry/branch specified;ZP. Industrial activities
KIELECKIE;WŁOSZCZOWSKI;Kategoria III;291.0;6.0;4.0;0.0;0.0;51.0;117.0;4.0;23.0;13.0;2.0;14.0;5.0;12.0;0.0;2.0;7.0;6.0;0.0;3.0;0.0;6.0;1.0;2.0;0.0;0.0;1.0;4.0;2.0;0.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0
KIELECKIE;ZAWIERCIAŃSKI;Kategoria III;568.0;8.0;2.0;0.0;3.0;139.0;133.0;31.0;56.0;9.0;7.0;17.0;15.0;23.0;10.0;14.0;8.0;4.0;1.0;11.0;1.0;14.0;8.0;10.0;0.0;2.0;2.0;8.0;10.0;0.0;13.0;1.0;0.0;6.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;1.0;2.0
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);Kategoria III;731.0;16.0;4.0;7.0;0.0;227.0;106.0;63.0;122.0;14.0;9.0;30.0;8.0;22.0;7.0;1.0;6.0;2.0;3.0;7.0;2.0;1.0;2.0;10.0;1.0;4.0;5.0;5.0;1.0;1.0;9.0;2.0;0.0;0.0;1.0;2.0;9.0;1.0;0.0;2.0;2.0;28.0;3.0
KRAKOWSKIE;BOCHEŃSKI;Kategoria III;517.0;7.0;3.0;3.0;1.0;110.0;114.0;21.0;103.0;23.0;3.0;25.0;14.0;12.0;8.0;2.0;10.0;5.0;0.0;10.0;5.0;9.0;4.0;2.0;0.0;3.0;0.0;6.0;2.0;0.0;5.0;0.0;1.0;0.0;4.0;2.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0
KRAKOWSKIE;BRZESKI (BRZESKO);Kategoria III;374.0;7.0;2.0;0.0;5.0;72.0;79.0;40.0;64.0;19.0;15.0;10.0;6.0;9.0;2.0;2.0;6.0;2.0;0.0;15.0;1.0;2.0;1.0;2.0;0.0;1.0;0.0;5.0;1.0;0.0;1.0;3.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;6.0;0.0
KRAKOWSKIE;CHRZANOWSKI;Kategoria III;1022.0;31.0;6.0;9.0;5.0;238.0;137.0;80.0;177.0;66.0;20.0;39.0;25.0;37.0;26.0;11.0;8.0;4.0;4.0;16.0;9.0;21.0;8.0;11.0;1.0;4.0;4.0;7.0;5.0;0.0;8.0;0.0;0.0;0.0;12.0;3.0;1.0;4.0;0.0;0.0;0.0;5.0;1.0
KRAKOWSKIE;DĄBROWSKI;Kategoria III;123.0;6.0;5.0;0.0;0.0;19.0;18.0;3.0;23.0;24.0;2.0;5.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;4.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0
KRAKOWSKIE;GORLICKI;Kategoria III;336.0;3.0;1.0;0.0;2.0;66.0;52.0;15.0;102.0;7.0;0.0;14.0;0.0;6.0;5.0;2.0;5.0;1.0;3.0;3.0;2.0;9.0;5.0;8.0;0.0;5.0;0.0;3.0;2.0;0.0;4.0;2.0;3.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;6.0;0.0
KRAKOWSKIE;GRYBOWSKI;Kategoria III;229.0;3.0;0.0;1.0;2.0;54.0;40.0;15.0;39.0;13.0;4.0;15.0;5.0;1.0;5.0;1.0;3.0;1.0;0.0;2.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;4.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;11.0;0.0
KRAKOWSKIE;JASIELSKI;Kategoria III;347.0;11.0;1.0;2.0;7.0;66.0;64.0;23.0;62.0;25.0;4.0;14.0;6.0;7.0;6.0;6.0;4.0;3.0;0.0;4.0;2.0;8.0;2.0;3.0;1.0;1.0;0.0;4.0;2.0;0.0;3.0;1.0;2.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;8.0;2.0
KRAKOWSKIE;KRAKOWSKI;Kategoria III;484.0;4.0;1.0;0.0;2.0;159.0;97.0;33.0;112.0;29.0;4.0;3.0;4.0;1.0;0.0;2.0;2.0;0.0;0.0;11.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;4.0;3.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;8.0;0.0
KRAKOWSKIE;KRAKÓW (MIASTO);Kategoria III;2452.0;61.0;18.0;5.0;17.0;610.0;64.0;153.0;310.0;26.0;16.0;120.0;28.0;269.0;53.0;24.0;20.0;36.0;36.0;66.0;36.0;71.0;15.0;54.0;15.0;31.0;11.0;20.0;40.0;1.0;71.0;8.0;4.0;4.0;10.0;31.0;9.0;2.0;0.0;33.0;50.0;44.0;1.0
KRAKOWSKIE;LIMANOWSKI;Kategoria III;185.0;3.0;0.0;0.0;0.0;31.0;53.0;7.0;43.0;15.0;0.0;9.0;1.0;3.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
KRAKOWSKIE;MAKOWSKI (MAKÓW PODHALAŃSKI);Kategoria III;352.0;10.0;0.0;2.0;0.0;71.0;71.0;16.0;82.0;22.0;1.0;6.0;10.0;4.0;5.0;0.0;2.0;5.0;1.0;4.0;0.0;5.0;0.0;6.0;0.0;0.0;0.0;5.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;9.0;1.0;0.0;2.0;0.0;6.0;0.0
KRAKOWSKIE;MIELECKI;Kategoria III;183.0;6.0;3.0;1.0;2.0;28.0;23.0;3.0;56.0;14.0;3.0;5.0;8.0;3.0;2.0;0.0;1.0;1.0;1.0;3.0;1.0;5.0;1.0;2.0;0.0;2.0;0.0;3.0;1.0;0.0;3.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;1.0
KRAKOWSKIE;MYŚLENICKI;Kategoria III;260.0;4.0;0.0;2.0;2.0;56.0;67.0;7.0;64.0;14.0;0.0;8.0;1.0;5.0;4.0;1.0;4.0;3.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;3.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;4.0;4.0
KRAKOWSKIE;NOWOSĄDECKI;Kategoria III;805.0;10.0;1.0;0.0;7.0;176.0;115.0;52.0;134.0;29.0;6.0;37.0;18.0;31.0;14.0;16.0;8.0;4.0;4.0;6.0;8.0;14.0;7.0;21.0;3.0;10.0;3.0;7.0;8.0;1.0;11.0;5.0;0.0;0.0;4.0;5.0;29.0;2.0;0.0;1.0;3.0;3.0;3.0
KRAKOWSKIE;NOWOTARSKI;Kategoria III;700.0;7.0;1.0;0.0;2.0;125.0;81.0;22.0;149.0;38.0;6.0;11.0;11.0;30.0;8.0;1.0;5.0;1.0;0.0;4.0;4.0;9.0;3.0;12.0;5.0;4.0;1.0;8.0;5.0;0.0;6.0;0.0;0.0;1.0;5.0;3.0;120.0;0.0;0.0;5.0;5.0;5.0;1.0
KRAKOWSKIE;OŚWIĘCIMSKI;Kategoria III;425.0;15.0;7.0;0.0;6.0;100.0;49.0;38.0;64.0;14.0;15.0;26.0;22.0;8.0;7.0;5.0;3.0;5.0;2.0;8.0;3.0;5.0;1.0;5.0;0.0;4.0;2.0;4.0;1.0;0.0;5.0;0.0;0.0;0.0;2.0;0.0;1.0;2.0;0.0;3.0;0.0;6.0;0.0
KRAKOWSKIE;PILZNEŃSKI;Kategoria III;121.0;2.0;0.0;1.0;1.0;48.0;22.0;0.0;20.0;4.0;1.0;4.0;2.0;2.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
