District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VaR;Kategoria VaPR;Kategoria VbR;Kategoria VbPR
KOŹMIŃSKI;0.0;0.0;25.0;0.0;222.0;6.0;185.0;23.0;2.0;0.0;2.0;0.0
KRAKOWSKI;0.0;0.0;15.0;0.0;505.0;11.0;459.0;9.0;0.0;0.0;0.0;0.0
KRAKÓW (MIASTO);61.0;0.0;1111.0;23.0;2914.0;93.0;1908.0;174.0;20.0;1.0;197.0;23.0
KRASNOSTAWSKI;1.0;0.0;66.0;4.0;885.0;74.0;516.0;104.0;3.0;0.0;1.0;0.0
KROTOSZYŃSKI;1.0;0.0;89.0;3.0;462.0;27.0;214.0;16.0;2.0;1.0;18.0;4.0
KROŚNIEŃSKI;1.0;1.0;53.0;10.0;627.0;71.0;323.0;53.0;0.0;0.0;3.0;2.0
KRZEMIENIECKI;0.0;0.0;138.0;15.0;1106.0;138.0;1543.0;161.0;1.0;3.0;18.0;6.0
KRÓLEWSKA HUTA;17.0;1.0;338.0;26.0;856.0;60.0;834.0;121.0;4.0;3.0;158.0;30.0
KUTNOWSKI;1.0;0.0;119.0;3.0;722.0;44.0;842.0;99.0;0.0;2.0;22.0;4.0
KĘPIŃSKI;1.0;0.0;79.0;1.0;416.0;32.0;235.0;64.0;1.0;0.0;11.0;2.0
LESKI;0.0;0.0;54.0;1.0;452.0;22.0;751.0;61.0;0.0;0.0;18.0;6.0
LESZCZYŃSKI;4.0;0.0;153.0;5.0;533.0;42.0;253.0;53.0;6.0;0.0;25.0;1.0
LIDZKI;0.0;0.0;31.0;2.0;389.0;34.0;180.0;29.0;0.0;0.0;0.0;0.0
LIMANOWSKI;0.0;0.0;14.0;0.0;332.0;21.0;336.0;33.0;4.0;0.0;2.0;0.0
LIPNOWSKI;1.0;0.0;57.0;4.0;580.0;43.0;430.0;132.0;0.0;0.0;26.0;2.0
LUBACZOWSKI;0.0;0.0;19.0;2.0;631.0;26.0;473.0;41.0;0.0;0.0;4.0;0.0
LUBARTOWSKI;0.0;0.0;33.0;3.0;557.0;21.0;532.0;46.0;2.0;0.0;1.0;1.0
LUBAWSKI;1.0;0.0;66.0;1.0;458.0;32.0;336.0;40.0;1.0;0.0;11.0;4.0
LUBELSKI;17.0;2.0;421.0;19.0;2258.0;177.0;1688.0;213.0;4.0;1.0;37.0;2.0
LUBLINIECKI;1.0;0.0;103.0;1.0;310.0;23.0;121.0;15.0;0.0;0.0;15.0;0.0
LUBOMELSKI;0.0;0.0;36.0;4.0;321.0;30.0;215.0;89.0;41.0;0.0;23.0;2.0
LWOWSKI;0.0;0.0;25.0;2.0;801.0;46.0;586.0;59.0;2.0;0.0;40.0;9.0
LWÓW (MIASTO);68.0;5.0;1283.0;43.0;3359.0;107.0;2896.0;135.0;17.0;0.0;145.0;39.0
M. ST. WARSZAWA;480.0;17.0;4779.0;210.0;13420.0;631.0;9845.0;1019.0;100.0;6.0;416.0;89.0
MAKOWSKI (MAKÓW PODHALAŃSKI);0.0;0.0;68.0;29.0;473.0;170.0;451.0;185.0;0.0;0.0;2.0;1.0
MAKOWSKI (MAKÓW MAZOWIECKI);0.0;0.0;30.0;0.0;312.0;23.0;489.0;34.0;1.0;0.0;5.0;0.0
MIECHOWSKI;2.0;0.0;99.0;20.0;808.0;47.0;537.0;62.0;3.0;0.0;26.0;6.0
MIELECKI;0.0;0.0;17.0;0.0;378.0;10.0;665.0;39.0;1.0;0.0;5.0;0.0
MIĘDZYCHODZKI;0.0;0.0;61.0;0.0;321.0;24.0;109.0;28.0;3.0;2.0;14.0;2.0
MIŃSKI;0.0;0.0;52.0;6.0;725.0;29.0;912.0;85.0;0.0;0.0;14.0;2.0
MOGILEŃSKI;1.0;0.0;85.0;3.0;441.0;29.0;202.0;47.0;0.0;0.0;12.0;1.0
MORSKI;2.0;1.0;198.0;60.0;1033.0;432.0;161.0;152.0;38.0;3.0;115.0;7.0
MOŁODECZAŃSKI;0.0;0.0;47.0;6.0;502.0;28.0;350.0;70.0;3.0;0.0;2.0;0.0
MOŚCISKI;0.0;0.0;16.0;1.0;326.0;8.0;507.0;41.0;0.0;0.0;2.0;0.0
MYŚLENICKI;0.0;0.0;4.0;0.0;123.0;8.0;265.0;37.0;0.0;0.0;0.0;0.0
MŁAWSKI;1.0;0.0;56.0;3.0;604.0;40.0;625.0;90.0;1.0;1.0;16.0;2.0
NADWÓRNIAŃSKI;1.0;0.0;61.0;17.0;981.0;258.0;317.0;150.0;0.0;0.0;19.0;15.0
NIEŚWIESKI;0.0;0.0;80.0;11.0;852.0;46.0;176.0;69.0;9.0;0.0;1.0;0.0
