Region;District;Roman Catholic;% Roman Catholic;Greek Catholic;% Greek Catholic;Evangelical;% Evangelical;Orthodox;% Orthodox;Mosaic (Jewish);% Mosaic (Jewish);Other Christian denominations;% Other Christian;Other or unknown;% Other
TARNOPOLSKIE;ZBOROWSKI;18804;0,261380854;48875;0,679376155;28;0,000389208;31;0,000430909;4203;0,058422874;;0;;0
TARNOPOLSKIE;Z£OCZOWSKI;29669;0,277075804;66558;0,621578461;249;0,002325386;43;0,000401573;10552;0,098544066;7;6,53723E-05;1;9,3389E-06
WARSZAWSKIE;B£O—SKI;99457;0,860399329;15;0,000129765;3037;0,02627299;208;0,001799401;10670;0,092305829;2160;0,018686091;47;0,000406595
WARSZAWSKIE;CIECHANOWSKI;61726;0,902453288;2;2,92406E-05;1421;0,020775461;32;0,00046785;4846;0,070850025;268;0,003918243;103;0,001505892
WARSZAWSKIE;GOSTYNI—SKI;69190;0,815775511;5;5,89518E-05;9277;0,109379237;65;0,000766374;5548;0,065412958;722;0,008512645;8;9,43229E-05
WARSZAWSKIE;GR”JECKI;107642;0,847187898;13;0,000102315;2612;0,020557541;190;0,00149538;16379;0,128909632;209;0,001644918;13;0,000102315
WARSZAWSKIE;KUTNOWSKI;86427;0,86946068;7;7,04204E-05;1476;0,014848646;73;0,000734384;11101;0,11167671;311;0,003128678;8;8,04805E-05
WARSZAWSKIE;LIPNOWSKI;72799;0,779282365;38;0,000406774;15630;0,167312509;128;0,001370186;4795;0,051328438;25;0,000267614;3;3,21137E-05
WARSZAWSKIE;MAKOWSKI (MAK”W MAZOWIECKI);51255;0,879114282;;0;274;0,004699587;57;0,000977651;6715;0,115174176;;0;2;3,43036E-05
WARSZAWSKIE;MI—SKI;76384;0,796521268;11;0,000114706;840;0,008759398;149;0,00155375;14031;0,146313232;4481;0,046727218;1;1,04279E-05
WARSZAWSKIE;M£AWSKI;80233;0,902914697;;0;592;0,006662165;73;0,000821517;7941;0,089365294;12;0,000135044;9;0,000101283
WARSZAWSKIE;NIESZAWSKI;88422;0,866992852;18;0,000176493;8846;0,086736545;343;0,003363174;4272;0,041887692;77;0,000754998;9;8,82465E-05
WARSZAWSKIE;PRZASNYCKI;52716;0,936141497;;0;110;0,001953402;11;0,00019534;3474;0,061692002;;0;1;1,77582E-05
WARSZAWSKIE;PU£TUSKI;88232;0,828383923;4;3,75548E-05;1391;0,013059684;68;0,000638432;16462;0,154556806;349;0,003276657;5;4,69435E-05
WARSZAWSKIE;P£OCKI;90870;0,827965121;17;0,000154896;4444;0,040491658;506;0,004610436;12237;0,111497845;1650;0,015034032;27;0,000246011
WARSZAWSKIE;P£O—SKI;64634;0,868433074;1;1,34362E-05;1623;0,021806895;146;0,00196168;6470;0,086931986;1552;0,020852928;;0
WARSZAWSKIE;RADZYMI—SKI;62870;0,865870622;13;0,000179041;1148;0,015810712;278;0,003828726;8280;0,11403545;13;0,000179041;7;9,64068E-05
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);73494;0,880304718;1;1,19779E-05;2782;0,033322553;97;0,001161858;7110;0,08516296;3;3,59337E-05;;0
WARSZAWSKIE;RYPI—SKI;64350;0,821209801;;0;8389;0,107057172;133;0,001697295;5272;0,067279224;201;0,002565084;15;0,000191424
WARSZAWSKIE;SIERPECKI;59350;0,861205833;2;2,90213E-05;1657;0,024044112;65;0,000943191;7668;0,111267503;172;0,002495828;1;1,45106E-05
WARSZAWSKIE;SKIERNIEWICKI;56817;0,895094209;2;0,000031508;1270;0,020007562;101;0,001591153;4516;0,071145;768;0,012099061;2;0,000031508
WARSZAWSKIE;SOCHACZEWSKI;55565;0,868528823;;0;4777;0,074668626;42;0,000656496;3467;0,054192197;124;0,001938227;1;1,56309E-05
WARSZAWSKIE;WARSZAWSKI;;;;;;;;;;;;;;
WARSZAWSKIE;W£OC£AWSKI;102342;0,819910111;16;0,000128184;7501;0,060094055;261;0,002090994;14669;0,117520289;3;2,40344E-05;29;0,000232333
WARSZAWSKIE;£OWICKI;87328;0,921220305;4;4,21959E-05;1169;0,012331744;134;0,001413562;5722;0,060361197;436;0,00459935;3;3,16469E-05
WO£Y—SKIE;DUBIE—SKI;19855;0,090159431;83;0,000376894;3335;0,015143878;179341;0,814368294;17440;0,079193174;146;0,00066297;21;9,53588E-05
WO£Y—SKIE;HOROCHOWSKI;7990;0,102823463;89;0,001145343;3052;0,039276246;59989;0,771999588;6543;0,084201992;36;0,000463285;7;9,00831E-05
WO£Y—SKIE;KOWELSKI;14926;0,087951069;74;0,000436043;2226;0,013116647;129212;0,761378368;23253;0,137017701;14;8,24946E-05;3;1,76774E-05
WO£Y—SKIE;KRZEMIENIECKI;17006;0,076625694;62;0,00027936;102;0,000459592;186437;0,840048482;18296;0,08243818;28;0,000126162;5;0,000022529
WO£Y—SKIE;LUBOMELSKI;7299;0,129727712;3;5,33201E-05;765;0,013596616;42589;0,756949381;5604;0,099601877;4;7,10934E-05;;0
WO£Y—SKIE;OSTROGSKI;5532;0,097747151;8;0,000141355;312;0,005512854;42030;0,74264511;8634;0,152557646;72;0,001272197;7;0,000123686
WO£Y—SKIE;R”WIE—SKI;45605;0,134872565;146;0,000431781;10411;0,030789569;233016;0,689123247;47123;0,13936191;1775;0,005249398;58;0,00017153
WO£Y—SKIE;W£ODZIMIERSKI;19698;0,194237368;103;0,001015659;2738;0,026998777;66814;0,658837218;12035;0,118674319;22;0,000216937;2;1,97215E-05
WO£Y—SKIE;£UCKI;28601;0,145974858;40;0,000204154;13754;0,070198182;127414;0,650300361;25812;0,131740255;257;0,001311686;53;0,000270503
£”DZKIE;BRZEZI—SKI;81652;0,65046324;23;0,000183225;14688;0,117008819;205;0,001633089;21820;0,173824375;7130;0,056799624;11;8,76292E-05
£”DZKIE;KALISKI;148439;0,823197649;30;0,000166371;10552;0,05851819;912;0,005057675;20266;0,112389086;67;0,000371562;54;0,000299468
£”DZKIE;KOLSKI;95727;0,828747792;1;8,65741E-06;9103;0,078808394;69;0,000597361;10501;0,090911452;104;0,000900371;3;2,59722E-05
£”DZKIE;KONI—SKI;86881;0,876939227;4;4,03743E-05;7177;0,072441533;112;0,00113048;4885;0,049307077;9;9,08421E-05;5;5,04678E-05
£”DZKIE;PIOTRKOWSKI;163294;0,82770611;9;4,56193E-05;11678;0,059193552;353;0,00178929;21776;0,110378387;115;0,000582913;60;0,000304129
£”DZKIE;RADOMSZCZA—SKI;153029;0,900981472;15;8,83148E-05;3426;0,020171095;101;0,000594653;13199;0,077711116;66;0,000388585;11;6,47642E-05
£”DZKIE;SIERADZKI;133701;0,860228406;12;7,72077E-05;5490;0,035322503;97;0,000624095;15844;0,101939842;240;0,001544153;41;0,000263793
