Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza;Mieszanki na ziarno: Jęczmień;Mieszanki na ziarno: Inne mieszanki zbóż;Groch;Fasola, bób, soczewica;Len: Nasienie;Len: Włókno;Konopie: Nasienie;Konopie: Włókno;Rzepak i rzepik;Chmiel;Tytoń
ŁÓDZKIE;WIELUŃSKI;26129,00;692846,00;22244,00;185111,00;2877692,00;88200,00;2505,00;2170,00;97,00;3062,00;3816,00;1702,00;1184,00;1272,00;683,00;39,00;16,00;269,00; -   ; -   
ŁÓDZKIE;ŁASKI;33465,00;501512,00;20808,00;102127,00;1745687,00;9384,00;1730,00;2776,00;304,00;2375,00;2309,00;2492,00;1248,00;813,00;261,00;27,00;16,00;2095,00; -   ; -   
ŁÓDZKIE;ŁÓDZKI;11854,00;290020,00;6859,00;80498,00;1223154,00; -   ;520,00;48,00;10,00;1621,00;478,00;292,00;184,00;289,00;98,00; -   ; -   ;1098,00; -   ; -   
ŁÓDZKIE;ŁÓDŹ (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
ŁÓDZKIE;ŁĘCZYCKI;120905,00;518284,00;48456,00;132672,00;1664147,00;323318,00;319,00;734,00;103,00;3761,00;3406,00;4222,00;492,00;276,00;208,00; -   ; -   ;2294,00;12,00; -   
ŚLĄSKIE;BIELSKI (BIELSKO);6475,00;33644,00;5879,00;49857,00;360037,00;4710,00; -   ; -   ;224,00;2883,00;348,00;13,00;292,00; -   ; -   ; -   ; -   ;12,00; -   ; -   
ŚLĄSKIE;BIELSKO (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
ŚLĄSKIE;CIESZYŃSKI;15945,00;33400,00;11731,00;75492,00;364281,00;4397,00;10,00; -   ;626,00;11211,00;753,00;105,00;884,00;183,00;254,00; -   ; -   ; -   ; -   ; -   
ŚLĄSKIE;KATOWICE (MIASTO);0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
ŚLĄSKIE;KATOWICKI;3697,00;42979,00;3814,00;17841,00;316087,00; -   ; -   ; -   ;40,00;1157,00;516,00;13,00;14,00; -   ; -   ; -   ; -   ;33,00; -   ; -   
ŚLĄSKIE;KRÓLEWSKA HUTA;0,00;0,00;0,00;0,00;0,00;;;;;0,00;;0,00;;;;;;;;
ŚLĄSKIE;LUBLINIECKI;14513,00;116124,00;15614,00;66040,00;647757,00;22116,00;49,00;8,00;596,00;2458,00;4271,00;104,00;565,00;6,00;7,00; -   ; -   ;48,00; -   ; -   
ŚLĄSKIE;PSZCZYŃSKI;26749,00;188087,00;21463,00;124045,00;1383432,00;47824,00;88,00; -   ;412,00;3412,00;2474,00;213,00;1369,00; -   ; -   ; -   ; -   ;78,00; -   ; -   
ŚLĄSKIE;RYBNICKI;37566,00;231808,00;23236,00;119841,00;1603752,00;66932,00;30,00; -   ;271,00;5503,00;3175,00;347,00;341,00;119,00;94,00; -   ; -   ;56,00; -   ;616,00
ŚLĄSKIE;TARNOGÓRSKI;4241,00;29678,00;5161,00;14479,00;254656,00;5700,00; -   ; -   ;80,00;886,00;597,00;0,00;263,00;7,00;6,00; -   ; -   ; -   ; -   ; -   
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;3312,00;20039,00;3907,00;9605,00;171925,00; -   ; -   ; -   ; -   ;884,00;101,00;33,00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
