Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza;Mieszanki na ziarno: Jęczmień;Mieszanki na ziarno: Inne mieszanki zbóż;Groch;Fasola, bób, soczewica;Len;Konopie;Rzepak i rzepik;Chmiel;Tytoń
LWOWSKIE;LESKI;3282,00;8228,00;2726,00;25883,00;8483,00; -   ;5,00;1,00; -   ;32,00;35,00;125,00;366,00;575,00;245,00;1,00; -   ; -   
LWOWSKIE;LUBACZOWSKI;5811,00;13141,00;3810,00;9070,00;7372,00; -   ;2249,00;859,00;2,00;104,00;88,00;155,00;58,00;601,00;533,00;24,00;2,00; -   
LWOWSKIE;LWOWSKI;13444,00;13586,00;3997,00;11610,00;11259,00;255,00;1565,00;588,00;194,00;247,00;245,00;196,00;177,00;295,00;219,00;6,00;25,00; -   
LWOWSKIE;LWÓW (MIASTO);;;;;;;;;;;;;;;;;;
LWOWSKIE;MOŚCISKI;7895,00;14004,00;3250,00;5636,00;7247,00;32,00;325,00;768,00;219,00;112,00;151,00;68,00;132,00;369,00;266,00;75,00;11,00; -   
LWOWSKIE;NIŻAŃSKI;3132,00;10599,00;2345,00;3372,00;6699,00;14,00;929,00;776,00;35,00;49,00;18,00;27,00;69,00;247,00;197,00; -   ; -   ; -   
LWOWSKIE;PRZEMYSKI;12480,00;14330,00;3657,00;6842,00;8739,00;395,00;45,00;128,00;80,00;105,00;70,00;176,00;155,00;28,00;96,00;42,00; -   ; -   
LWOWSKIE;PRZEWORSKI;5959,00;7327,00;1444,00;3662,00;3522,00;1250,00;68,00;223,00;19,00;138,00;92,00;60,00;34,00;6,00;28,00;44,00; -   ; -   
LWOWSKIE;RAWSKI (RAWA RUSKA);10892,00;16241,00;8020,00;9622,00;10226,00;155,00;2201,00;980,00;55,00;274,00;153,00;345,00;216,00;189,00;352,00;64,00; -   ; -   
LWOWSKIE;RUDECKI;6006,00;6571,00;3206,00;4587,00;7117,00;190,00;519,00;716,00;475,00;110,00;83,00;20,00;325,00;538,00;243,00;53,00; -   ; -   
LWOWSKIE;RZESZOWSKI;14502,00;21458,00;6514,00;10669,00;11178,00;106,00;65,00;344,00;17,00;455,00;143,00;215,00;230,00;65,00;97,00;46,00; -   ; -   
LWOWSKIE;SAMBORSKI;10074,00;16233,00;5899,00;9578,00;12682,00;24,00;64,00;582,00;30,00;237,00;85,00;91,00;355,00;383,00;262,00; -   ; -   ; -   
LWOWSKIE;SANOCKI;7144,00;10236,00;5318,00;15151,00;8343,00;64,00;10,00;19,00;4,00;371,00;65,00;261,00;449,00;244,00;207,00;10,00; -   ; -   
LWOWSKIE;SOKALSKI;18675,00;12495,00;7791,00;9489,00;10325,00;376,00;1228,00;968,00;15,00;393,00;359,00;892,00;151,00;396,00;549,00;39,00; -   ; -   
LWOWSKIE;TARNOBRZESKI;2855,00;10726,00;3567,00;4126,00;6701,00;168,00;243,00;788,00; -   ;100,00;152,00;74,00;26,00;127,00;82,00;1,00; -   ; -   
LWOWSKIE;TURCZAŃSKI;667,00;4814,00;1032,00;32622,00;9671,00; -   ;1,00; -   ; -   ;25,00;17,00;45,00;363,00;805,00;146,00; -   ; -   ; -   
LWOWSKIE;ŁAŃCUCKI;5907,00;16362,00;3426,00;5971,00;6980,00;350,00;1409,00;1151,00;8,00;56,00;157,00;98,00;76,00;418,00;159,00; -   ;29,00; -   
LWOWSKIE;ŻÓŁKIEWSKI;9564,00;11858,00;3858,00;3867,00;6479,00;7169,00;10,00;1171,00;712,00;85,00;126,00;215,00;274,00;173,00;403,00;297,00;12,00;10,00
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;;;;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;BARANOWICKI;3733,00;39739,00;8216,00;18220,00;16778,00; -   ;6716,00;65,00;1,00;168,00;352,00;632,00;106,00;1218,00;59,00;33,00; -   ; -   
NOWOGRÓDZKIE;LIDZKI;1662,00;49156,00;12732,00;22239,00;16740,00; -   ;7762,00; -   ;2,00;693,00;437,00;4379,00;231,00;2077,00;95,00; -   ; -   ; -   
NOWOGRÓDZKIE;NIEŚWIESKI;4378,00;27604,00;6781,00;17479,00;14855,00; -   ;2266,00;42,00; -   ;13,00;72,00;407,00;13,00;1106,00;18,00; -   ; -   ; -   
NOWOGRÓDZKIE;NOWOGRÓDZKI;6481,00;34290,00;8625,00;18469,00;14388,00; -   ;3833,00; -   ;1,00;263,00;346,00;2350,00;181,00;2817,00;210,00;8,00; -   ; -   
NOWOGRÓDZKIE;STOŁPECKI;2449,00;29785,00;6178,00;11327,00;13274,00; -   ;2735,00; -   ;1,00;95,00;64,00;859,00;8,00;798,00;66,00;1,00; -   ; -   
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);1090,00;24593,00;6959,00;8944,00;9029,00; -   ;2445,00; -   ; -   ;119,00;198,00;2025,00;59,00;1065,00;41,00;6,00; -   ; -   
NOWOGRÓDZKIE;SŁONIMSKI;3085,00;38071,00;6100,00;12428,00;12894,00; -   ;5591,00;28,00; -   ;167,00;105,00;1688,00;53,00;985,00;79,00; -   ; -   ; -   
NOWOGRÓDZKIE;WOŁOŻYŃSKI;1443,00;23048,00;7902,00;14618,00;10540,00; -   ;1920,00; -   ; -   ;30,00;67,00;2642,00;72,00;3029,00;202,00;1,00; -   ; -   
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.);7631,00;57549,00;8833,00;18081,00;26429,00; -   ;4546,00;1848,00;5,00;150,00;53,00;1394,00;213,00;1482,00;437,00;213,00; -   ; -   
POLESKIE;DROHICKI;2360,00;21364,00;2983,00;8699,00;11164,00; -   ;1588,00;1218,00;1,00;5,00;189,00;137,00;106,00;1136,00;54,00;8,00; -   ; -   
POLESKIE;IWACEWICKI;536,00;24842,00;3373,00;6299,00;9723,00; -   ;2037,00;358,00; -   ;8,00;21,00;185,00;26,00;931,00;31,00;34,00; -   ; -   
POLESKIE;KOBRYŃSKI;4755,00;35163,00;4177,00;9763,00;13834,00; -   ;2966,00;1629,00; -   ;39,00;35,00;320,00;93,00;1684,00;35,00;12,00; -   ; -   
POLESKIE;KOSZYRSKI;983,00;23607,00;3627,00;5627,00;11609,00; -   ;3019,00;1300,00;121,00;2,00;3,00;779,00;188,00;1450,00;966,00; -   ; -   ; -   
POLESKIE;PIŃSKI;1969,00;37367,00;4467,00;13936,00;21755,00; -   ;4022,00;2772,00; -   ;11,00;49,00;137,00;211,00;1799,00;361,00;17,00; -   ; -   
POLESKIE;PRUŻAŃSKI;2108,00;30137,00;4314,00;8527,00;17042,00; -   ;2416,00;764,00; -   ;219,00;11,00;366,00;63,00;1095,00;12,00;36,00; -   ; -   
POLESKIE;STOLIŃSKI;2368,00;23308,00;2550,00;4485,00;11500,00; -   ;4011,00;3568,00;6,00;5,00;10,00;261,00;137,00;656,00;415,00; -   ; -   ; -   
POLESKIE;ŁUNINIECKI;466,00;16799,00;1459,00;3266,00;11810,00; -   ;2532,00;1316,00; -   ;3,00;2,00;251,00;14,00;791,00;117,00;3,00; -   ; -   
POMORSKIE;BRODNICKI;2818,00;19577,00;4827,00;2316,00;8223,00;498,00;1,00; -   ;1,00;1833,00;1050,00;690,00;4,00;3,00; -   ;113,00; -   ; -   
POMORSKIE;CHEŁMIŃSKI;7728,00;11037,00;5450,00;2455,00;6245,00;3124,00;84,00;3,00;14,00;1671,00;1234,00;861,00;11,00;5,00; -   ;48,00; -   ;107,00
POMORSKIE;CHOJNICKI;1066,00;27873,00;2081,00;5322,00;10511,00;19,00;825,00; -   ;4,00;552,00;642,00;472,00;3,00;13,00; -   ;42,00; -   ; -   
POMORSKIE;DZIAŁDOWSKI;658,00;19760,00;3298,00;2447,00;7924,00;15,00;131,00; -   ; -   ;1004,00;1230,00;478,00;14,00;3,00;-;243,00;-;-
POMORSKIE;GDYNIA (MIASTO);;;;;;;;;;;;;;;;;;
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;;;;;;;;;;;;;;
POMORSKIE;GRUDZIĄDZKI;8155,00;11879,00;5264,00;3966,00;5945,00;1677,00;28,00; -   ;11,00;2597,00;911,00;1331,00;42,00;6,00; -   ;72,00; -   ;219,00
POMORSKIE;KARTUSKI;367,00;25501,00;1074,00;10160,00;12328,00; -   ;20,00; -   ;3,00;314,00;413,00;545,00;20,00;1,00; -   ;5,00; -   ; -   
POMORSKIE;KOŚCIERSKI;821,00;22504,00;964,00;5587,00;9339,00; -   ;126,00; -   ; -   ;782,00;865,00;622,00;-; -   ; -   ;16,00; -   ; -   
POMORSKIE;LUBAWSKI;2324,00;20619,00;4940,00;3947,00;7968,00;150,00;23,00;1,00;2,00;1255,00;1575,00;594,00;3,00;7,00; -   ;129,00;-; -   
POMORSKIE;MORSKI;773,00;19387,00;1332,00;7464,00;9571,00;6,00;3,00; -   ;2,00;811,00;883,00;271,00;2,00; -   ; -   ;10,00; -   ; -   
POMORSKIE;STAROGARDZKI;2791,00;17413,00;2467,00;3112,00;8114,00;432,00;24,00; -   ;2,00;1256,00;663,00;759,00;15,00;4,00; -   ;32,00; -   ; -   
POMORSKIE;SĘPOLEŃSKI;922,00;14758,00;2802,00;3950,00;5484,00;136,00;7,00; -   ; -   ;1192,00;936,00;397,00;1,00;10,00; -   ;17,00; -   ; -   
POMORSKIE;TCZEWSKI;7860,00;8568,00;4470,00;3388,00;4923,00;1868,00;2,00; -   ;10,00;1895,00;754,00;1806,00;129,00;8,00; -   ;108,00; -   ; -   
POMORSKIE;TORUŃ (MIASTO);;;;;;;;;;;;;;;;;;
POMORSKIE;TORUŃSKI;7030,00;13976,00;4334,00;2036,00;6581,00;3407,00;24,00;8,00;6,00;1939,00;1216,00;547,00;16,00;2,00; -   ;42,00; -   ;1,00
POMORSKIE;TUCHOLSKI;1332,00;17297,00;2881,00;2391,00;6454,00;213,00;65,00; -   ;1,00;594,00;508,00;875,00;4,00;19,00; -   ;13,00; -   ; -   
POMORSKIE;WĄBRZESKI;6348,00;14766,00;4647,00;2049,00;6772,00;1327,00;7,00; -   ;1,00;2562,00;739,00;622,00;22,00;1,00; -   ;67,00; -   ;11,00
POMORSKIE;ŚWIECKI;4256,00;27750,00;5683,00;4169,00;12747,00;904,00;16,00; -   ;2,00;2646,00;1244,00;534,00;33,00;10,00; -   ;40,00; -   ;13,00
POZNAŃSKIE;BYDGOSKI;4272,00;23643,00;5404,00;3980,00;9728,00;917,00;10,00;1,00;10,00;2315,00;912,00;499,00;6,00;25,00; -   ;114,00; -   ; -   
POZNAŃSKIE;BYDGOSZCZ (MIASTO);;;;;;;;;;;;;;;;;;
POZNAŃSKIE;CHODZIESKI;1054,00;19107,00;2730,00;4225,00;7864,00;182,00;1,00;1,00;4,00;1477,00;276,00;249,00;3,00;8,00; -   ;6,00; -   ; -   
POZNAŃSKIE;CZARNKOWSKI;610,00;13366,00;1254,00;1867,00;5916,00;171,00;12,00; -   ;8,00;600,00;135,00;103,00;12,00;11,00; -   ;48,00; -   ; -   
POZNAŃSKIE;GNIEZNO (MIASTO);;;;;;;;;;;;;;;;;;
POZNAŃSKIE;GNIEŹNIEŃSKI;5220,00;30685,00;5994,00;5555,00;12918,00;2018,00;59,00; -   ;21,00;2971,00;1704,00;603,00;37,00;16,00;1,00;191,00; -   ; -   
POZNAŃSKIE;GOSTYŃSKI;7526,00;10375,00;3662,00;5060,00;6665,00;2347,00;16,00;12,00;37,00;948,00;970,00;1460,00;18,00;114,00; -   ;196,00; -   ; -   
POZNAŃSKIE;INOWROCŁAW (MIASTO);;;;;;;;;;;;;;;;;;
POZNAŃSKIE;INOWROCŁAWSKI;9225,00;18400,00;7921,00;2770,00;7249,00;6196,00;1,00;2,00;16,00;2316,00;1358,00;2018,00;13,00;15,00; -   ;118,00; -   ; -   
POZNAŃSKIE;JAROCIŃSKI;9026,00;28461,00;4426,00;9954,00;13723,00;2597,00;17,00;7,00;91,00;1566,00;1463,00;1061,00;19,00;6,00; -   ;389,00; -   ; -   
