Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka
POZNAŃSKIE;MOGILEŃSKI;8978;32061;12332;4975;12973; 5 549 ; 19 
POZNAŃSKIE;NOWOTOMYSKI;4798;30799;4236;5378;15524; 2 418 ; 8 
POZNAŃSKIE;OBORNICKI;3306;21789;3582;4110;9457; 792 ; 13 
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);3852;25975;2399;6972;12863; 333 ; 19 
POZNAŃSKIE;POZNAŃ (MIASTO);;;;;;;
POZNAŃSKIE;POZNAŃSKI;3890;33971;6562;5537;16855; 1 326 ; 9 
POZNAŃSKIE;RAWICKI;3510;11807;2227;3543;5952; 1 759 ; 10 
POZNAŃSKIE;SZAMOTULSKI;5306;21637;4776;3738;11078; 2 065 ; 5 
POZNAŃSKIE;SZUBIŃSKI;2712;21998;4492;2725;8924; 1 023 ; 5 
POZNAŃSKIE;WOLSZTYŃSKI;1165;19986;1225;2939;7920; 372 ; 12 
POZNAŃSKIE;WRZESIŃSKI;3848;17262;4488;3769;7602; 2 382 ; 3 
POZNAŃSKIE;WYRZYSKI;5149;26754;7632;4491;12152; 1 330 ; 4 
POZNAŃSKIE;WĄGROWIECKI;3038;28337;6615;5393;12425; 811 ; 18 
POZNAŃSKIE;ŚREDZKI;4907;21878;5329;4469;9793; 2 131 ; 46 
POZNAŃSKIE;ŚREMSKI;3599;24256;3766;4406;9298; 1 120 ; 34 
POZNAŃSKIE;ŻNIŃSKI;4015;18718;5972;3304;8370; 1 393 ; -   
STANISŁAWOWSKIE;DOLIŃSKI;824;5287;465;6269;6526; -   ; 10 
STANISŁAWOWSKIE;HORODEŃSKI;16114;12398;8171;4363;8368; 1 541 ; 168 
STANISŁAWOWSKIE;KAŁUSKI;3959;7453;1123;7919;9459; -   ; 688 
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);698;1177;629;675;3908; -   ; -   
STANISŁAWOWSKIE;KOŁOMYJSKI;11552;14412;3446;8171;11722; 223 ; 36 
