Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe
WARSZAWSKIE;BŁOŃSKI;71627;285189;26611;88366;1068664; 343 430 
WARSZAWSKIE;CIECHANOWSKI;93402;312735;51065;64099;941704; 290 108 
WARSZAWSKIE;GOSTYNIŃSKI;61759;293589;25595;72054;1047763; 151 967 
WARSZAWSKIE;GRÓJECKI;101584;552804;38233;219851;2272226; 10 656 
WARSZAWSKIE;KUTNOWSKI;159145;290620;65942;98635;1020770; 637 456 
WARSZAWSKIE;LIPNOWSKI;68485;481339;111470;60503;1555457; 157 814 
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);52833;249906;16875;50805;973782; 16 772 
WARSZAWSKIE;MIŃSKI;28912;325254;37319;130345;1312530; -   
WARSZAWSKIE;MŁAWSKI;22855;441144;23646;42041;1952457; 34 547 
WARSZAWSKIE;NIESZAWSKI;179090;522521;168511;42596;1360401; 605 239 
WARSZAWSKIE;PRZASNYCKI;71742;256865;22289;29902;837825; 64 292 
WARSZAWSKIE;PUŁTUSKI;69450;428572;36375;91390;1424150; 34 977 
WARSZAWSKIE;PŁOCKI;114371;511716;111602;91081;1846175; 522 809 
WARSZAWSKIE;PŁOŃSKI;73843;419563;56809;66984;1222518; 189 514 
WARSZAWSKIE;RADZYMIŃSKI;18338;214722;13138;51080;788837; -   
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);40506;425449;36640;80680;2162040; 2 017 
WARSZAWSKIE;RYPIŃSKI;58658;383035;102553;53586;1410655; 184 160 
WARSZAWSKIE;SIERPECKI;30698;395401;30085;54752;1861635; 38 296 
WARSZAWSKIE;SKIERNIEWICKI;33471;330957;24833;118190;1282830; 11 720 
WARSZAWSKIE;SOCHACZEWSKI;55120;250506;24248;80961;967076; 158 314 
WARSZAWSKIE;WARSZAWSKI;41454;241768;23925;108142;1247295; 45 690 
WARSZAWSKIE;WŁOCŁAWSKI;112606;398696;125482;54277;1037279; 522 394 
WARSZAWSKIE;ŁOWICKI;95929;464439;35912;157562;1634191; 137 887 
WOŁYŃSKIE;DUBIEŃSKI;463869;511321;290674;364835;2064585; 84 270 
WOŁYŃSKIE;HOROCHOWSKI;392198;292313;188316;184727;1475284; 8 238 
WOŁYŃSKIE;KOSTOPOLSKI;48036;319005;45527;154377;1677061; X 
WOŁYŃSKIE;KOWELSKI;201698;587997;96579;111085;2309145; 1 579 
WOŁYŃSKIE;KRZEMIENIECKI;186919;530942;264826;431423;1744040; X 
WOŁYŃSKIE;LUBOMELSKI;38712;223021;38983;34498;642727; X 
WOŁYŃSKIE;RÓWIEŃSKI;319990;400583;237859;387234;2208462; 672 524 
WOŁYŃSKIE;WŁODZIMIERSKI;371210;364225;143057;221285;1545400; 91 054 
WOŁYŃSKIE;ZDOŁBUNOWSKI;150543;156954;130593;172284;988643; 346 218 
WOŁYŃSKIE;ŁUCKI;425467;509749;226221;286587;2469912; 27 014 
ZIEMIA WILEŃSKA;BRASŁAWSKI;30671;278546;53647;161209;1112029;X
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;36653;353187;67446;225500;1301137;X
ZIEMIA WILEŃSKA;MOŁODECZAŃSKI;12732;188097;39489;118658;629948;X
ZIEMIA WILEŃSKA;OSZMIAŃSKI;6149;253016;83755;170245;968699;X
ZIEMIA WILEŃSKA;POSTAWSKI;23037;226865;29113;76267;860800;X
ZIEMIA WILEŃSKA;WILEJSKI;6185;319672;70025;112097;1379490;X
ZIEMIA WILEŃSKA;WILEŃSKO-TROCKI;20181;451463;92264;211454;1788206;X
ZIEMIA WILEŃSKA;WILNO (MIASTO);;;;;;
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;26057;251953;29806;108640;1136341;X
ŁÓDZKIE;BRZEZIŃSKI;40941;359724;13160;109919;1852693; 7 100 
ŁÓDZKIE;KALISKI;120028;498892;31777;116089;1643249; 255 654 
ŁÓDZKIE;KOLSKI;94697;458792;56170;70839;1407930; 158 826 
ŁÓDZKIE;KONIŃSKI;82936;745208;55932;90014;1846646; 248 104 
ŁÓDZKIE;PIOTRKOWSKI;63909;654580;33135;140951;2755786; 678 
ŁÓDZKIE;RADOMSZCZAŃSKI;61657;744927;51595;123585;3335740; 3 505 
ŁÓDZKIE;SIERADZKI;63874;660872;17214;120102;2301930; 60 182 
ŁÓDZKIE;TURECKI;67981;470860;17292;80699;1251516; 93 182 
ŁÓDZKIE;WIELUŃSKI;39054;713450;20173;139389;2952840; 126 837 
ŁÓDZKIE;ŁASKI;46093;506783;16941;96323;1980828; 3 125 
ŁÓDZKIE;ŁÓDZKI;18741;309078;7129;75029;1407328; X 
ŁÓDZKIE;ŁÓDŹ (MIASTO);;;;;;
ŁÓDZKIE;ŁĘCZYCKI;157706;431591;42086;106765;1899134; 602 773 
ŚLĄSKIE;BIELSKI (BIELSKO);10970;38201;5646;53506;312629; 12 157 
ŚLĄSKIE;BIELSKO (MIASTO);;;;;;
ŚLĄSKIE;CHORZÓW;;;;;;
ŚLĄSKIE;CIESZYŃSKI;23976;47283;12797;86943;488938; 8 049 
ŚLĄSKIE;KATOWICE (MIASTO);;;;;;
ŚLĄSKIE;KATOWICKI;6532;49438;4859;16672;266260; X 
ŚLĄSKIE;LUBLINIECKI;20947;118356;12506;51480;684341; 20 366 
ŚLĄSKIE;PSZCZYŃSKI;37151;215273;22436;130087;1504072; 63 269 
ŚLĄSKIE;RYBNICKI;55475;273694;21230;118492;1639539; 88 358 
ŚLĄSKIE;TARNOGÓRSKI;4055;37095;5107;13491;216755; 4 222 
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;3622;22466;2258;8723;166570; X 
