Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki Cukrowe
WARSZAWSKIE;PŁOCKI;192 866;481 831;87 054;101 467;1 604 259;513 237
WARSZAWSKIE;PŁOŃSKI;100 316;337 341;52 451;69 727;1 560 280;219 334
WARSZAWSKIE;RADZYMIŃSKI;9 126;184 335;14638;42 504;810 279;0
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);48 514;367 441;27 653;85 674;1 761 886;0
WARSZAWSKIE;RYPIŃSKI;98 537;419 168;85 502;63 368;864 732;163 479
WARSZAWSKIE;SIERPECKI;46 833;431 566;27 702;59 333;1 533 394;50055
WARSZAWSKIE;SKIERNIEWICKI;36 421;302 831;37 720;77 941;1 209 568;3 690
WARSZAWSKIE;SOCHACZEWSKI;88 195;248 935;23 653;84 057;1 258 661;170 093
WARSZAWSKIE;WARSZAWSKI;60 706;235208;31 020;116 669;1 584 270;41 510
WARSZAWSKIE;WŁOCŁAWSKI;162 390;420 550;91 660;59 201;1 163 840;754391
WARSZAWSKIE;ŁOWICKI;138 107;402 451;40 699;162 830;1 484 616;107 614
WOŁYŃSKIE;DUBIEŃSKI;476 059;340 045;260 940;207 864;1 747 533;16 898
WOŁYŃSKIE;HOROCHOWSKI;325 285;177 994;151 833;124 775;1 197 466;13 984
WOŁYŃSKIE;KOSTOPOLSKI;66 320;232 524;37 654;67 330;1 743 092;0
WOŁYŃSKIE;KOWELSKI;198 916;302 274;79 709;71 552;1 738 618;1 938
WOŁYŃSKIE;KRZEMIENIECKI;255 461;552 781;312 200;165 099;1 581 450;17 630
WOŁYŃSKIE;LUBOMELSKI;33 986;123 926;37 263;22 488;562 210;0
WOŁYŃSKIE;RÓWIEŃSKI;298 495;295 562;163 970;195 944;1 273 277;518 092
WOŁYŃSKIE;SARNEŃSKI;16 033;369 744;43 634;45 175;1 289 150;0
WOŁYŃSKIE;WŁODZIMIERSKI;345 756;195 212;124 284;158 197;1 412 257;118 448
WOŁYŃSKIE;ZDOŁBUNOWSKI;149 230;103 986;110 358;78 954;715 573;162 886
WOŁYŃSKIE;ŁUCKI;373 038;344 985;174 377;211 853;1 615 600;15 936
ZIEMIA WILEŃSKA;BRASŁAWSKI;24 476;184 853;68 916;101 580;1 040 634;0
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;36 894;291 374;70 422;170 138;1 678 588;0
