scenario,District,target_label,dest_id,distance_km_1924,distance_km_1938,change_ratio_km_1938_vs_1924,proportional_change_km_1938_vs_1924,distance_miles_1924,distance_miles_1938,change_ratio_miles_1938_vs_1924,proportional_change_miles_1938_vs_1924,distance_minutes_1924,distance_minutes_1938,change_ratio_minutes_1938_vs_1924,proportional_change_minutes_1938_vs_1924
fixed14,SZUBIŃSKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,3189.47216761782,3029.652835046598,0.9498916045752519,-0.05010839542474813
fixed14,SZUBIŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,770.2068053303177,767.2347684847219,0.9961412482660146,-0.0038587517339854624
fixed14,SZUBIŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,2352.432439558275,1845.6381378303277,0.7845658420595876,-0.21543415794041246
fixed14,SĘPOLEŃSKI,Gdynia,City:Gdynia,,,,,,,,,728.2844745126254,683.0758058696164,0.9379244371874561,-0.06207556281254389
fixed14,SĘPOLEŃSKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,3347.9857792600187,3192.86660657187,0.9536679117190175,-0.046332088280982404
fixed14,SĘPOLEŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,925.7023914946257,921.3873443838788,0.9953386237840653,-0.0046613762159346045
fixed14,SĘPOLEŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,,,,,,,,,2520.0149911979115,2058.709499131788,0.8169433540366211,-0.18305664596337887
fixed14,SŁONIMSKI,Gdynia,City:Gdynia,,,,,,,,,3352.830157051903,3121.850053606745,0.9311089161616658,-0.06889108383833423
fixed14,SŁONIMSKI,Stołpce,Border_Crossing:Stołpce,,,,,,,,,563.6452992493189,564.4004441625456,1.0013397519933767,0.001339751993376684
fixed14,SŁONIMSKI,Zbąszyń,Border_Crossing:Zbąszyń,,,,,,,,,3047.7701148378405,3037.6462258039214,0.9966782635656699,-0.0033217364343300425
