scenario,year,District,target_label,dest_id,distance_km,distance_miles,distance_minutes
baseline,1924,GNIEŹNIEŃSKI,Gdynia,City:Gdynia,267.37585120509743,166.1396000391626,
baseline,1924,GNIEŹNIEŃSKI,Stołpce,Border_Crossing:Stołpce,701.0982923725082,435.64214702979785,
baseline,1924,GNIEŹNIEŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,123.27517276075062,76.59961737352037,
baseline,1924,GNIEŹNIEŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,503.8760409584416,313.0939594463878,
baseline,1924,GORLICKI,Gdynia,City:Gdynia,808.328205421743,502.2717053311138,
baseline,1924,GORLICKI,Stołpce,Border_Crossing:Stołpce,690.3811410938059,428.9828200225993,
baseline,1924,GORLICKI,Zbąszyń,Border_Crossing:Zbąszyń,657.0039791677908,408.24321953946935,
baseline,1924,GORLICKI,Zebrzydowice,Border_Crossing:Zebrzydowice,214.87446574071913,133.5167616517764,
baseline,1924,GOSTYNIŃSKI,Gdynia,City:Gdynia,398.0654051167751,247.34629884281566,
baseline,1924,GOSTYNIŃSKI,Stołpce,Border_Crossing:Stołpce,592.3409694458709,368.06350052555024,
baseline,1924,GOSTYNIŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,274.48418924241037,170.55651515374578,
baseline,1924,GOSTYNIŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,400.18426189268456,248.6628949965193,
baseline,1924,GOSTYŃSKI,Gdynia,City:Gdynia,370.89183317397584,230.46142927114656,
baseline,1924,GOSTYŃSKI,Stołpce,Border_Crossing:Stołpce,763.386244748983,474.34607428592034,
baseline,1924,GOSTYŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,105.69410262049422,65.67525023939912,
baseline,1924,GOSTYŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,492.70973521143463,306.15554087806436,
baseline,1924,GRODZIEŃSKI,Gdynia,City:Gdynia,702.8468164014926,436.72862915421183,
baseline,1924,GRODZIEŃSKI,Stołpce,Border_Crossing:Stołpce,267.1403411868569,165.99326094361848,
baseline,1924,GRODZIEŃSKI,Zbąszyń,Border_Crossing:Zbąszyń,633.3730298351196,393.55963292167814,
baseline,1924,GRODZIEŃSKI,Zebrzydowice,Border_Crossing:Zebrzydowice,658.1201228121553,408.93675883191173,
baseline,1924,GRUDZIĄDZKI,Gdynia,City:Gdynia,209.24894909749065,130.02122874965687,
baseline,1924,GRUDZIĄDZKI,Stołpce,Border_Crossing:Stołpce,666.6265754063227,414.22242178680216,
baseline,1924,GRUDZIĄDZKI,Zbąszyń,Border_Crossing:Zbąszyń,265.3216251032044,164.8631635120032,
baseline,1924,GRUDZIĄDZKI,Zebrzydowice,Border_Crossing:Zebrzydowice,532.365133187815,330.79625517404577,
baseline,1924,GRÓDECKI,Gdynia,City:Gdynia,860.01824197806,534.3903950361491,
baseline,1924,GRÓDECKI,Stołpce,Border_Crossing:Stołpce,585.6407703683453,363.9001911245491,
baseline,1924,GRÓDECKI,Zbąszyń,Border_Crossing:Zbąszyń,751.5308532030649,466.9794777856416,
baseline,1924,GRÓDECKI,Zebrzydowice,Border_Crossing:Zebrzydowice,442.18742707536165,274.76244374924454,
baseline,1924,GRÓJECKI,Gdynia,City:Gdynia,488.79756865836964,303.7246340348198,
