Parczew;8291.0;9943.0;10159.0
Peczeniżyn;5984.0;6839.0;6980.0
Pelplin;3612.0;4185.0;4218.0
Piaseczno;5604.0;7074.0;8078.0
Piaski;1638.0;1881.0;
Pilzno;3546.0;3671.0;3762.0
Piotrków (Trybunalski);41113.0;51294.0;52875.0
Piwniczna (Piwniczna-Zdrój);3632.0;4315.0;4900.0
Pińczów;7749.0;7423.0;7423.0
Pińsk;23468.0;31913.0;36700.0
Pleszew;7638.0;8591.0;9994.0
Pniewy;3089.0;3371.0;4000.0
Pobiedziska;3363.0;3745.0;4452.0
Podbrodzie;1435.0;2588.0;3011.0
Poddębice;3122.0;3800.0;4305.0
Podgórz (dziś część Torunia);3232.0;4658.0;0.0
Podhajce;4814.0;5743.0;6199.0
Podwołoczyska;3670.0;3945.0;3895.0
Pogorzela;1662.0;1592.0;1810.0
Pomorzany (dziś Ukraina);3445.0;4304.0;4724.0
Poniec;2471.0;2626.0;3246.0
Postawy;1074.0;2866.0;4300.0
Powidz;1210.0;1255.0;
Poznań;169422.0;246698.0;272000.0
Praszka;4478.0;4486.0;4642.0
Proszowice;3297.0;3531.0;3766.0
Pruszków;15132.0;23703.0;27120.0
Prużana;6332.0;8013.0;8700.0
Przasnysz;6340.0;7838.0;7856.0
Przedbórz;5885.0;6787.0;7002.0
Przedecz;3040.0;3322.0;3600.0
Przemyśl;47958.0;51379.0;58500.0
Przemyślany;4206.0;5391.0;6300.0
Przeworsk;5554.0;5941.0;7004.0
Pszczyna;6043.0;7240.0;7800.0
Puck;2792.0;3848.0;5203.0
Puławy;7205.0;9093.0;14000.0
Pułtusk;13742.0;15487.0;17401.0
Pyzdry;4614.0;4494.0;5050.0
Płock;27750.0;32777.0;35200.0
Płońsk;9352.0;10393.0;12000.0
Raciąż;4513.0;4789.0;4786.0
Radom;61599.0;78073.0;85501.0
Radomsko;20572.0;22980.0;26350.0
Radomyśl Wielki;2468.0;2400.0;3100.0
Radoszkowice (Radoszkowicze);2459.0;2574.0;2666.0
Radymno;1907.0;2213.0;4067.0
Radziechów;4739.0;5440.0;5700.0
Radziejów;3164.0;4025.0;5169.0
Radziwiłłów;4240.0;5409.0;5314.0
Radzymin;5036.0;6780.0;8522.0
Radzyń (Podlaski);4833.0;5291.0;6997.0
Radzyń Chełmiński;1626.0;1987.0;2251.0
Rajgród;2291.0;2432.0;2358.0
Rakoniewice;2013.0;2015.0;2183.0
Raków (Mołodecki);3323.0;3481.0;
Raszków;1672.0;1692.0;1782.0
Ratno (dziś Ukraina);2410.0;2990.0;3300.0
Rawa Mazowiecka;8185.0;9200.0;9257.0
Rawa Ruska;8970.0;11146.0;12000.0
Rawicz;9250.0;10827.0;10912.0
Rogowo (nad jez. Rogowskim);938.0;1140.0;
Rogoźno;5528.0;6040.0;6348.0
Rohatyn;5790.0;7513.0;9016.0
Rokitno;1491.0;4004.0;4195.0
Ropczyce;3002.0;3382.0;3402.0
Rostarzewo;1019.0;989.0;
Rozdół;3861.0;4300.0;3490.0
Rozwadów (dziś część Stalowej-Woli);2700.0;3311.0;3800.0
Rożniatów (dziś Ukraina);3266.0;3638.0;3708.0
Rożyszcze;3263.0;4512.0;6804.0
Ruda Pabianicka;5127.0;12164.0;20034.0
Ruda Śląska;18000.0;22201.0;25000.0
Rudki (dziś Ukraina);3462.0;3649.0;3700.0
Rudnik (nad Sanem);2959.0;3930.0;5000.0
Rybnik;17500.0;23046.0;28498.0
Rychtal;928.0;1126.0;
Rychwał;1891.0;2011.0;2636.0
Ryczywół;1228.0;1381.0;
Rydzyna;1175.0;1370.0;2780.0
Rymanów;3546.0;3617.0;3836.0
Rynarzewo;698.0;688.0;
Rypin;7234.0;8348.0;9100.0
Rzeszów;24942.0;27499.0;37116.0
Równe;30482.0;40788.0;46680.0
Różan;3285.0;4268.0;4876.0
Różana (dziś Białoruś);3622.0;3986.0;4500.0
Sambor;19417.0;22111.0;23500.0
Sandomierz;6763.0;7894.0;10115.0
Sanok;12261.0;14262.0;17862.0
Sarnowa (dziś część Rawicza);1247.0;1690.0;1843.0
Sarny;5931.0;7508.0;9766.0
Sassów;3099.0;3112.0;3112.0
Sejny;2254.0;3091.0;3405.0
Serock;4694.0;5413.0;6500.0
Siedlce;30676.0;36927.0;40962.0
Siemianowice Śląskie;19000.0;37888.0;38701.0
Siemiatycze;5694.0;6816.0;8128.0
Sieniawa;1987.0;1950.0;2150.0
Sieradz;9284.0;10537.0;11359.0
Sieraków;2791.0;3017.0;3200.0
Sierpc;6722.0;10051.0;13000.0
Skalbmierz;2262.0;2245.0;2365.0
Skarszewy;3009.0;3456.0;3700.0
Skaryszew;2072.0;2913.0;3128.0
Skarżysko-Kamienna;8163.0;14320.0;19870.0
Skawina;2444.0;3434.0;4400.0
Skała (Podolska);4248.0;5130.0;5144.0
Skałat;5937.0;6949.0;7200.0
Skidel;2907.0;3814.0;4212.0
Skierniewice;16647.0;20191.0;21214.0
Skoczów;3494.0;4374.0;5213.0
Skoki;1431.0;1788.0;1870.0
Skole;5989.0;7543.0;7560.0
Smorgonie;2952.0;4090.0;5000.0
Sochaczew;5445.0;10822.0;12984.0
Sokal;10183.0;12135.0;12135.0
Sokoły;2207.0;2028.0;2176.0
Sokołów (dziś Sokołów Małopolski);3515.0;3637.0;3650.0
Sokołów Podlaski;8055.0;9901.0;13543.0
Sokółka;6086.0;6376.0;7002.0
Solec Kujawski;3380.0;4987.0;5500.0
Sosnowiec;86497.0;109454.0;130000.0
Stanisławów (dziś Iwano-Frankiwsk);52529.0;60256.0;71218.0
Stara Sól;1170.0;1152.0;
Starogard (Gdański);10466.0;13356.0;15356.0
Starosielce;2422.0;3364.0;3399.0
Stary Sambor;4314.0;4867.0;4393.0
Stary Sącz;4770.0;5432.0;6000.0
