District;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
KONIŃSKI;111199231,6;116324073,5;111910059;135236749,1;176552337;131668355,8;136538486,3;109174667,3;86609235,93;85917837,15;97637837,28;79157163,35;101521139,8;126574258,4;97683470,31
KOPYCZYNIECKI;19947155,02;23226735,92;24624228,54;34135464,17;42893958,94;29529570,42;27330278,28;23795206,14;26929695,57;26501793,37;29524832,06;28438190,62;30276266,89;40494035,15;34415983,77
KOSOWSKI (KOSÓW HUCULSKI);20853748,91;19615290,4;19378730,1;22571474,66;25571391,63;20856601,23;21440397,74;15186261,66;20198744,58;22416157,47;25581301,6;26095271,6;27651839,41;32837669,89;32268541,43
KOSTOPOLSKI;31551009,47;34629474,49;33521359,49;48654396,05;66377061,57;50566253,25;44324872,57;47024158,97;53577787,22;55534811,53;66180883,41;70165853,99;79697044,45;103706727,4;95916816,77
KOSZYRSKI;19433234,68;28495095,24;30842101,62;38416662,72;50087159,19;38592786,07;35731370,42;29995215,85;30519343,53;29126739,8;35463890,14;35740204,85;39705620,18;58841879,45;47393979,86
KOWELSKI;43846979,95;52178100,34;59282207,77;76276076,71;99214829,15;72334680,1;61483937,25;64545752,37;74872559,34;68055552,14;76783744,69;67469011,28;78110189,47;113188381;92677434,97
KOZIENICKI;37496621,02;38490984,96;40462233,79;51480127,02;61038757,18;48623595,29;48583637,56;50413273,84;55920999,42;46113432,27;55456133,82;53553032,67;59872274,73;73234549,57;68358842,11
KOŁOMYJSKI;39883357,54;47720124,08;47695644,01;62339888,93;85399309,57;57646775,16;49718770,59;42371505,2;45624285,84;41318463,04;46573028,05;49683147,24;51184741,94;64565644,44;56654256,92
KOŚCIAŃSKI;53566319,36;63406352,64;64538547,03;82597042,88;102282100,1;82502592,68;79232524,81;66656482,94;54833835,3;57278321,12;63658702,35;53609469,27;66090240,59;82298596,74;79879250,63
KOŚCIERSKI;23589546,77;30630115,22;29767617,2;36318393,47;40387921,91;31139381,3;29097874,61;24990966,51;27987659,77;28637604,42;33873879,54;30968716,84;32861740,09;40906646,48;47222807,34
KRAKOWSKI;51818316,81;48153538,14;50492055,36;62142979,41;79916112,54;73371707,44;81053432,32;80506304,56;68758361,58;64789313,19;65453324,84;57296602,94;58915718,19;74066450,64;73500814,89
KRAKÓW (MIASTO);241765037,6;236217742,1;191550879,1;203342541,9;224510726,3;244025233,8;258604681,5;245123588,2;246691180,1;252643273,9;277265903,2;294433217,3;308143464,3;299012357,6;337564856,5
KRASNOSTAWSKI;49074274,79;50604941,93;53251020,87;66041002,18;79327098,06;58067787,02;52343346,45;44603207,39;53363996,11;52042829,54;54796204,4;54965087,92;60099547,07;83833788,75;76539887,52
KROTOSZYŃSKI;55642082,62;57997209,78;63377280,27;75459425,26;88568487,59;72270572,78;69550715,73;52453054,56;45567474,37;47090730,16;53491419,44;40115689,52;51811563,95;60419308,29;56071139,2
KROŚNIEŃSKI;41500589,63;51380229,59;48015159,79;55615216,05;67094587,65;54579584,55;55584153,28;55927774,69;58406388,77;58972057,82;65816196,39;68874102,35;76761978,3;89525116,48;89829843,62
