scenario,District,log_change_ma_total,log_change_ma_total_no_self,log_change_ma_domestic,log_change_ma_domestic_no_self,log_change_ma_foreign
baseline,SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.9646586105993862,0.9646928220086046,0.39111603767963565,0.5136953439509746,0.9646963178530825
baseline,SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.9924328616025448,0.9924396903680304,0.7179445028247393,0.5373360040137936,0.9924430492959644
baseline,SZUBIŃSKI,0.843082575775437,0.843110732245627,0.4996670056139436,0.5126835305917137,0.8431234183488066
baseline,SĘPOLEŃSKI,0.8441163679054959,0.8441398118248529,0.6923673877924852,0.6192527438705806,0.8441444877721906
baseline,SŁONIMSKI,1.0418858798124475,1.041900004487509,0.5719160854981542,0.5461549059086064,1.0419043401771297
baseline,TARNOBRZESKI,0.914340844515035,0.9143835779708738,0.5067141516774853,0.8049603584391161,0.9143854909050511
baseline,TARNOGÓRSKI,0.8969020843063014,0.8974696514338483,0.413992569345071,1.0805338842584487,0.8974379279980873
baseline,TARNOPOLSKI,1.0186562274255095,1.0187053859022264,0.5308358323253266,0.5448124214514767,1.0187139348713927
baseline,TARNOWSKI,0.9222445576747305,0.9223052629644322,0.5564672914151902,0.46411801728233115,0.9223241291519066
baseline,TCZEWSKI,0.8549232073643651,0.8549820126740428,0.626544902596347,0.656952910286714,0.8549838174203188
baseline,TOMASZOWSKI,0.9916953416338785,0.9917335752576832,0.5193545518679112,0.6385262607935172,0.9917369463488406
baseline,TORUŃSKI,0.857346066771683,0.8574085825290823,0.6074313107628377,0.7107303997059411,0.8574130014536152
baseline,TREMBOWELSKI,1.00422513097595,1.0042543706360867,0.6534754264968079,0.5385951003039846,1.0042632251954622
baseline,TUCHOLSKI,0.8526411657253803,0.8526632188909566,0.631800596363389,0.814628779782332,0.852664007135921
baseline,TURCZAŃSKI,0.9532191647623236,0.9532505372512468,0.34636179137613254,0.4397967551175874,0.9532564219584145
baseline,TURECKI,0.8559973576536173,0.8560496032338598,0.2344303119821518,0.6104726595896395,0.8560517155852381
baseline,TŁUMACKI,0.9473039191552992,0.9473522524687077,0.45488544537522024,0.40519544943872887,0.947364591087311
baseline,WADOWICKI,0.8990038278325514,0.8990795980393678,0.3850005905336342,0.4655804983182126,0.8991055559334065
baseline,WARSZAWSKI,0.9130052969654336,0.913034333398798,2.2036787773902358,2.4055685737901307,0.9097265038581384
baseline,WIELUŃSKI,0.9615127530682877,0.9615430716558997,0.6010530260061646,1.8723698456942763,0.9615370734530195
baseline,WILEJSKI,1.0297255701319195,1.0297509101702467,0.2597377054202603,0.4939284282186218,1.0297543505175923
baseline,WILEŃSKO-TROCKI,1.0323877100961525,1.032406668118739,0.7600223820916465,0.9204909644197237,1.0324149980036097
baseline,WILNO (MIASTO),1.0330123536105518,1.0374796675419766,0.43282706422529316,0.7643108477896181,1.03749436145241
baseline,WOLSZTYŃSKI,0.7914723299756048,0.7915021665229638,0.4495195921278565,0.3554650314444441,0.7915117793745736
baseline,WOŁKOWYSKI,0.995837946829063,0.9958516987503536,0.48925701531622323,0.5431060874620268,0.9958563688869653
baseline,WOŁOŻYŃSKI,1.0393465340752925,1.039372760852327,0.4149833266723135,0.5180482877954482,1.0393750119566079
baseline,WRZESIŃSKI,0.835046626652165,0.8351158000575225,0.3523331539134933,0.3877730981163712,0.8351338042425098
baseline,WYRZYSKI,0.8427841981004178,0.8428272968301265,0.483622112891565,0.541016749827488,0.8428346275735734
baseline,WYSOKOMAZOWIECKI,0.964334176779392,0.9643591402561213,0.4870100208375092,0.4646039472621055,0.9643696901380281
baseline,WĄBRZESKI,0.859954271814324,0.8599688973545376,0.755229000817474,0.7350098458392171,0.8599720973091678
baseline,WĄGROWIECKI,0.8264009814530482,0.8264229855496978,0.5341444564438085,0.48083988665876554,0.826435043505068
baseline,WĘGROWSKI,0.9381520116359923,0.9381699973372761,0.666434200944181,0.6091895729644428,0.9381779921615276
baseline,WŁOCŁAWSKI,0.8646917533771443,0.8648290963842697,0.3071971208219306,0.5441864557710261,0.8648379666212413
baseline,WŁODAWSKI,0.9835870396521571,0.9836020666776726,0.6412451532756247,0.550243783485767,0.983606536363208
baseline,WŁODZIMIERSKI,1.0182760736034027,1.0183029388764488,0.5187432671682615,0.7396998316872399,1.0183064661991779
baseline,WŁOSZCZOWSKI,0.8832191611812839,0.8832456288497852,0.5079901284108583,0.8064007936962856,0.8832469179322366
baseline,ZALESZCZYCKI,0.9605794276185016,0.9606150852411197,0.5852474141025432,0.557711487974597,0.9606191910785284
baseline,ZAMOJSKI,0.9758405986406515,0.9758891236713971,0.5776986247797975,0.608141701028174,0.9758965617814681
baseline,ZBARASKI,1.0322843057173614,1.0323423383504853,0.4530783979322024,0.565361844572017,1.032350505208985
baseline,ZBOROWSKI,1.0108903600685117,1.0109368973080493,0.4219493794349347,0.5218571218086261,1.010943507374499
baseline,ZDOŁBUNOWSKI,1.1537948521416652,1.1538597489925309,0.3654916323356403,0.6675822502084543,1.1538633814188266
baseline,ZŁOCZOWSKI,1.0139561170172726,1.0139889446968695,0.5446751263023657,0.4599344792694833,1.0139984232784407
baseline,ŁASKI,0.8785098579848203,0.8784952247335447,0.8925168284991418,0.6692562383184182,0.8785069552077545
baseline,ŁAŃCUCKI,0.9294181395153807,0.9294937024596592,0.308627629436776,0.5115770799530921,0.9295002983858467
baseline,ŁOMŻYŃSKI,0.9471048048656954,0.9471419061885697,0.31555369647663767,0.5703263926167548,0.947146787192775
