scenario,District,unit_weighted_domestic_access_1924,unit_weighted_domestic_access_1938,change_ratio_1938_vs_1924,proportional_change_1938_vs_1924,avg_inverse_distance_1924,avg_inverse_distance_1938,avg_inverse_distance_change_ratio_1938_vs_1924,avg_inverse_distance_proportional_change_1938_vs_1924
baseline,IWACEWICKI,0.00017201533408824226,0.00018196692236131188,1.0578529136708508,0.0578529136708507,0.00392302414616869,0.003959496021457273,1.0092968775948532,0.00929687759485313
baseline,IŁŻECKI,0.00039887447197457034,0.0004974486478240981,1.2471308212870846,0.24713082128708463,0.0054894573272153335,0.005713688581817,1.0408476177581316,0.04084761775813152
baseline,JANOWSKI,0.00032502928489080746,0.0004151182486857524,1.2771718364553213,0.2771718364553214,0.005638064812983782,0.005710973742284939,1.0129315521760687,0.012931552176068712
baseline,JAROCIŃSKI,0.0008435573846801778,0.00096442187033685,1.143279506352133,0.14327950635213302,0.005390629197070221,0.0057103457614625305,1.0593096933037192,0.059309693303719255
baseline,JAROSŁAWSKI,0.0009705640947476603,0.0009065284739568638,0.9340222648485206,-0.06597773515147944,0.006011275375102831,0.006013112418950987,1.00030559968285,0.0003055996828501267
baseline,JASIELSKI,0.0009727919213404713,0.0010077769069550585,1.035963482885815,0.03596348288581505,0.005493970945443856,0.005591519146149977,1.017755499924334,0.01775549992433394
baseline,JAWOROWSKI,0.0005901645138169543,0.0006028538109818702,1.021501287976206,0.021501287976205954,0.005068534748521255,0.00509211658891186,1.0046525951898593,0.004652595189859387
baseline,JĘDRZEJOWSKI,0.0005236723294153528,0.0006810418729004051,1.3005114737697627,0.3005114737697626,0.005615191834422185,0.005937287719333501,1.0573615104183631,0.05736151041836313
baseline,KALISKI,0.0002146864209485292,0.00035433086063264764,1.6504577190636478,0.6504577190636479,0.004784440345779533,0.005088194638959754,1.0634879465992653,0.06348794659926528
baseline,KAMIONECKI,0.0007045246271428697,0.0007313787751571888,1.0381166917091649,0.03811669170916488,0.005504051669898882,0.005526251624008584,1.0040333840307334,0.00403338403073337
baseline,KARTUSKI,0.00030328141425479775,0.0003864118903773423,1.2741034307255756,0.2741034307255756,0.003575027984592325,0.003938619868825353,1.1017032274432643,0.10170322744326427
baseline,KATOWICE,0.004346470052549058,0.004822706609333018,1.1095685811765028,0.10956858117650278,0.006414894348209245,0.006820889640498902,1.0632894745028798,0.06328947450287985
baseline,KAŁUSKI,0.0004344752821648739,0.00043658798712404017,1.0048626585812643,0.004862658581264319,0.004633740461632506,0.004655064020020797,1.0046018024886916,0.004601802488691618
baseline,KIELECKI,0.0005423095489514299,0.0006303998181222396,1.162435401222668,0.16243540122266803,0.005761257770470984,0.006035728637507907,1.0476407892116386,0.047640789211638564
baseline,KOBRYŃSKI,0.00025998038825580006,0.0002715119728300797,1.0443555940955573,0.044355594095557345,0.004454278024505289,0.004491218992385733,1.0082933682354835,0.008293368235483477
baseline,KOLBUSZOWSKI,0.0005437092915271067,0.0003729516679312571,0.6859394785837747,-0.31406052141622526,0.005267639038142327,0.005334229735779036,1.0126414693859116,0.012641469385911566
baseline,KOLSKI,0.0005261830955515446,0.0007769238008941972,1.476527481522048,0.4765274815220479,0.005628574411131764,0.006288475729303606,1.1172412888184866,0.1172412888184866
baseline,KONECKI,0.00055745492018051,0.0006279187583116926,1.12640275577506,0.12640275577506008,0.005784692601684993,0.0060503703240697235,1.0459277165924674,0.04592771659246732
baseline,KONIŃSKI,0.0003249657076860776,0.00044287916773999233,1.3628489322566342,0.3628489322566342,0.005325907285843794,0.005652114255494869,1.0612490890553294,0.06124908905532946
baseline,KOPYCZYNIECKI,0.0010873593915290693,0.0010451832630466288,0.9612123380631941,-0.0387876619368059,0.004480808419653054,0.004474788329055015,0.9986564722179073,-0.0013435277820926256
baseline,KOSOWSKI (KOSÓW HUCULSKI),0.00020714062274812339,0.00021746743698660364,1.0498541237420018,0.04985412374200178,0.003627074684387098,0.0036579005348990217,1.0084988187986905,0.008498818798690605
baseline,KOSTOPOLSKI,0.00018761868342341494,0.00021179988261444085,1.1288848144001424,0.12888481440014243,0.003879792076407563,0.003943788046638683,1.016494690687233,0.016494690687232864
baseline,KOSZYRSKI,6.422960795356418e-05,7.06191395801195e-05,1.0994795364650944,0.09947953646509454,0.0032777913482917673,0.003305087480199269,1.00832759898574,0.008327598985739995
baseline,KOWELSKI,0.0002562650629241592,0.0002886208307947594,1.126258989428363,0.126258989428363,0.004822743609870303,0.004859512266791478,1.007624012366306,0.007624012366306112
baseline,KOZIENICKI,0.0003416362954531821,0.0003810742580248419,1.1154384446165042,0.1154384446165042,0.005505289153948207,0.005604747899112549,1.0180660347500574,0.018066034750057462
baseline,KOŁOMYJSKI,0.0006488206824830266,0.0006608671140877417,1.0185666578300396,0.01856665783003959,0.004452046716725676,0.004477146027893911,1.0056377016606632,0.005637701660663328
baseline,KOŚCIAŃSKI,0.0013385213593883685,0.0013874006491286564,1.0365173774758611,0.03651737747586119,0.0052653619717364965,0.0054773755143073775,1.0402657108303155,0.040265710830315396
baseline,KOŚCIERSKI,0.0003649279982796448,0.00044426527671539957,1.2174052931256827,0.2174052931256826,0.0038604604810721,0.0042650326922353465,1.1047989516138996,0.10479895161389954
baseline,KRAKOWSKI,0.013082196207288064,0.013079879604767803,0.9998229194484202,-0.00017708055157978828,0.006327972447624566,0.006810436719995931,1.0762431057285142,0.0762431057285143
baseline,KRAKÓW (MIASTO),0.01308570486960742,0.013084595657549032,0.9999152348253731,-8.47651746268236e-05,0.00633329584081989,0.006818486261830371,1.0766094673618893,0.07660946736188931
baseline,KRASNOSTAWSKI,0.0004705838834679662,0.0005071569574128188,1.077718500844796,0.07771850084479608,0.005401911025917049,0.005445324469943222,1.0080366825402873,0.008036682540287379
baseline,KROTOSZYŃSKI,0.000780798549294413,0.0008755782033674026,1.121388102166224,0.12138810216622387,0.005252263517998434,0.005535196831689114,1.0538688344027534,0.05386883440275331
baseline,KROŚNIEŃSKI,0.0007971461488427773,0.0008289065634831667,1.039842649539857,0.03984264953985698,0.00527534951939903,0.005367011119916932,1.0173754554424943,0.01737545544249433
baseline,KRZEMIENIECKI,0.00015962411113796212,0.0001921958584672636,1.204052803157976,0.20405280315797608,0.0038652028949295947,0.0038937726604829407,1.0073915306207661,0.007391530620766124
baseline,KUTNOWSKI,0.0010182921429685292,0.0014222370941688728,1.396688665418513,0.3966886654185131,0.0061308375022073305,0.006657132381127129,1.0858438800131813,0.08584388001318129
baseline,KĘPIŃSKI,0.0002655115005189205,0.0003891050614627683,1.4654923071215158,0.46549230712151574,0.004440659002506743,0.005059882922721247,1.1394441500383061,0.13944415003830607
baseline,LESKI,0.00021328124286664306,0.0002237785445995131,1.04921811966106,0.04921811966106003,0.004184451267676556,0.004234059394791286,1.0118553482742016,0.011855348274201562
baseline,LESZCZYŃSKI,0.0011296926180991646,0.0011826671060738792,1.0468928336133152,0.04689283361331522,0.0050204530095214845,0.005238163345219459,1.0433646794990568,0.043364679499056744
baseline,LIDZKI,0.00018577303371170606,0.0001929915154938179,1.0388564563859894,0.03885645638598939,0.0036999969548525916,0.0037377947294274377,1.0102156231575472,0.01021562315754716
baseline,LIMANOWSKI,0.0005346902285034596,0.0005554838601609137,1.0388891185007312,0.03888911850073115,0.004980411019816891,0.005152410085066135,1.0345351145848938,0.03453511458489384
baseline,LIPNOWSKI,0.00017673207049353164,0.0005073163682378707,2.8705393810029425,1.8705393810029423,0.003881242579063649,0.005637018634976428,1.452374727975998,0.4523747279759979
baseline,LUBACZOWSKI,0.00026015737823612955,0.00028605564083650833,1.099548445544652,0.09954844554465202,0.004615136348621382,0.004635079367644429,1.0043212198983036,0.004321219898303553
baseline,LUBARTOWSKI,0.0006308822491063074,0.0006694197209799664,1.061085047056325,0.06108504705632495,0.005660589928945919,0.005714027998444989,1.0094403710867323,0.009440371086732452
baseline,LUBAWSKI,0.0002521735506934619,0.00031779513953005835,1.260223915855335,0.260223915855335,0.0046133945260421385,0.004840492113408656,1.0492257026977803,0.04922570269778028
baseline,LUBELSKI,0.0007490377836137413,0.0008021354742025032,1.0708878667409691,0.07088786674096924,0.006036203022145263,0.00609921535766634,1.0104390682834725,0.010439068283472486
baseline,LUBLINIECKI,0.0002683511081505308,0.0007869871216230225,2.9326769956230785,1.9326769956230783,0.004526247486457069,0.0057356161999258274,1.2671901430682473,0.26719014306824723
baseline,LUBOMELSKI,0.00026540139524459515,0.0002916060572443847,1.0987359617142902,0.09873596171429025,0.004786501328281187,0.004827972110464603,1.008664111704803,0.008664111704803008
