scenario,year,District,avg_distance_km,avg_distance_miles,avg_distance_minutes
baseline,1938,LUBOMELSKI,395.7948897828104,245.93546645923468,
baseline,1938,LWOWSKI,400.8961878356107,249.10526513160127,
baseline,1938,LWÓW (MIASTO),393.2245014438291,244.33830168665355,
baseline,1938,M. ST. WARSZAWA,319.98349693754386,198.82846547557858,
baseline,1938,MAKOWSKI (MAKÓW MAZOWIECKI),442.0791927577456,274.69519008307316,
baseline,1938,MIECHOWSKI,380.61648890932366,236.50404833007536,
baseline,1938,MIELECKI,356.54606266088234,221.54738350165513,
baseline,1938,MIĘDZYCHODZKI,538.0562695438161,334.33256226271055,
baseline,1938,MIŃSKI,330.6987402403538,205.4866069218889,
baseline,1938,MOGILEŃSKI,439.06972627285376,272.8251948838894,
baseline,1938,MORSKI,600.4254592751081,373.0869680552332,
baseline,1938,MOŁODECZAŃSKI,636.9145188111742,395.76021146821813,
baseline,1938,MOŚCISKI,400.7687772069143,249.02609586183755,
baseline,1938,MYŚLENICKI,424.18110215092304,263.5738356246212,
baseline,1938,MŁAWSKI,406.5206878894059,252.60016635452803,
baseline,1938,NADWÓRNIAŃSKI,541.9338469875897,336.7419764365256,
baseline,1938,NIESZAWSKI,399.87859280706135,248.47296109111653,
baseline,1938,NIEŚWIESKI,545.8957770977647,339.2038049110152,
baseline,1938,NIŻAŃSKI,344.8790607013624,214.29784682706625,
baseline,1938,NOWOGRÓDZKI,558.1802520187982,346.8370213771727,
baseline,1938,NOWOSĄDECKI,412.08009541725033,256.05462096951226,
baseline,1938,NOWOTARSKI,427.8777456964066,265.87082272112184,
baseline,1938,NOWOTOMYSKI,519.1134227885568,322.56202663154835,
baseline,1938,OBORNICKI,484.2472027001624,300.8971685890026,
baseline,1938,OLKUSKI,389.2297864362839,241.85610162770018,
baseline,1938,OPATOWSKI,339.3085053507546,210.83646527830373,
baseline,1938,OPOCZYŃSKI,334.08068473624195,207.5880491552434,
baseline,1938,OSTROWSKI (OSTRÓW MAZOWIECKA),377.8330476253733,234.77449863602584,
baseline,1938,OSTROWSKI (OSTRÓW WIELKOPOLSKI),421.83532753274505,262.11623930434934,
baseline,1938,OSTROŁĘCKI,403.3504660442628,250.63028243638965,
baseline,1938,OSZMIAŃSKI,697.1110385308644,433.1645831229618,
baseline,1938,PIOTRKOWSKI,366.9027986580506,227.98275890495157,
baseline,1938,PIŃCZOWSKI,399.08247308110623,247.97827538088006,
baseline,1938,PIŃSKI,498.6479926741584,309.8454018559345,
baseline,1938,PODHAJECKI,487.8745760566832,303.1511131989173,
baseline,1938,POSTAWSKI,729.8772520329981,453.52455797299604,
baseline,1938,POZNAŃ (MIASTO),458.4783906603792,284.8851760830305,
baseline,1938,POZNAŃSKI,460.22757125075964,285.97206617565575,
baseline,1938,PRUŻAŃSKI,434.79356664165476,270.16811329769166,
baseline,1938,PRZASNYCKI,445.0814361367347,276.56069705371897,
baseline,1938,PRZEMYSKI,376.8613569392982,234.17071822272868,
baseline,1938,PRZEMYŚLAŃSKI,444.01689401094336,275.8992214484739,
baseline,1938,PRZEWORSKI,365.99083145956445,227.41608893486102,
baseline,1938,PSZCZYŃSKI,399.46851254949564,248.21814911139265,
baseline,1938,PUŁAWSKI,349.29206469950765,217.03995953439778,
baseline,1938,PUŁTUSKI,376.70110514100753,234.071142402573,
