year,District,weighted_distance_to_center_km,weighted_distance_to_center_miles
1929,LIDZKI,361.70924714161504,224.75563660563247
1929,LIMANOWSKI,378.48160781215694,235.17749512784778
1929,LIPNOWSKI,291.7635470494256,181.29340699364863
1929,LUBACZOWSKI,308.3930121471473,191.62647435088508
1929,LUBARTOWSKI,115.28513982697348,71.63484261942634
1929,LUBAWSKI,307.1696173185994,190.86629228287543
1929,LUBELSKI,92.68752902245642,57.593342596212764
1929,LUBLINIECKI,338.71213563328826,210.46589843059195
1929,LUBOMELSKI,210.9516803627185,131.07925657866275
1929,LWOWSKI,327.16000762907686,203.28774110048712
1929,LWÓW (MIASTO),319.2512676314649,198.37347941943096
1929,M. ST. WARSZAWA,129.61180650977323,80.5370178227843
1929,MAKOWSKI (MAKÓW MAZOWIECKI),279.8175050331838,173.87048291997445
1929,MIECHOWSKI,235.7793898529546,146.50647525232026
1929,MIELECKI,231.12007361252165,143.6113112606862
1929,MIĘDZYCHODZKI,498.80965326792483,309.94585306074373
1929,MIŃSKI,104.29935277201217,64.80859313129797
1929,MOGILEŃSKI,417.313737027752,259.30665409067126
1929,MORSKI,552.661862248135,343.4080540069859
1929,MOŁODECZAŃSKI,475.70526324933144,295.5894551305003
1929,MOŚCISKI,311.44693932204274,193.52409613347703
1929,MYŚLENICKI,387.1922109927453,240.59001133677313
1929,MŁAWSKI,249.40525473326335,154.97319253886258
1929,NADWÓRNIAŃSKI,495.91441305934444,308.1468347570979
1929,NIESZAWSKI,323.48118845749286,201.0018295530208
1929,NIEŚWIESKI,378.6736801737681,235.29684332325445
1929,NIŻAŃSKI,183.377344701094,113.94536405426348
1929,NOWOGRÓDZKI,392.9322846742239,244.15672666030719
1929,NOWOSĄDECKI,352.4971560279822,219.03151033826333
1929,NOWOTARSKI,392.2698973408358,243.7451383805725
1929,NOWOTOMYSKI,481.49121033799355,299.1846748589294
1929,OBORNICKI,449.89621393346937,279.5524603480538
1929,OLKUSKI,257.7223439076923,160.14119055626665
1929,OPATOWSKI,172.7346245878964,107.33228641480578
1929,OPOCZYŃSKI,171.36383510665445,106.48051758405698
1929,OSTROWSKI (OSTRÓW MAZOWIECKA),148.50829543424743,92.27874804227376
1929,OSTROWSKI (OSTRÓW WIELKOPOLSKI),381.6961131765629,237.17489554063408
1929,OSTROŁĘCKI,191.79055072740445,119.17308629603804
1929,OSZMIAŃSKI,534.5455685933407,332.1511145024127
1929,PIOTRKOWSKI,269.0006694098667,167.1492149518783
1929,PIŃCZOWSKI,238.0753619395821,147.93312572376007
1929,PIŃSKI,303.115279322163,188.34704422769175
1929,PODHAJECKI,426.5140951631755,265.0234898256375
1929,POSTAWSKI,593.3606595714875,368.69710639859477
1929,POZNAŃ (MIASTO),417.25681796302064,259.2712862345001
1929,POZNAŃSKI,418.5467076701645,260.07278629171776
1929,PRUŻAŃSKI,213.68259543538883,132.776168008283
1929,PRZASNYCKI,239.00590699215266,148.5113394336209
1929,PRZEMYSKI,281.9780521306236,175.21298423045772
1929,PRZEMYŚLAŃSKI,375.30720114043123,233.2050108798309
1929,PRZEWORSKI,249.4223744624674,154.98383024211782
1929,PSZCZYŃSKI,311.0454687674271,193.27463397348495
1929,PUŁAWSKI,87.91749783058506,54.62938354448847
1929,PUŁTUSKI,196.9947609245869,122.40683159047148
1929,PŁOCKI,296.9209294635541,184.49805486169808
1929,PŁOŃSKI,205.60314647853303,127.75583273051255
1929,RADOMSKI,82.81718757171122,51.46019865862177
1929,RADOMSZCZAŃSKI,295.99810283201424,183.92463715483152
1929,RADZIECHOWSKI,409.50513468619874,254.454615045098
1929,RADZYMIŃSKI,130.9341280884933,81.35867010447518
1929,RADZYŃSKI,69.3811801505272,43.11145329131324
1929,RAWICKI,442.0525213523469,274.67861724522913
1929,RAWSKI (RAWA MAZOWIECKA),269.25071735606997,167.30458749425856
1929,RAWSKI (RAWA RUSKA),271.5198566308987,168.71456483459815
1929,ROHATYŃSKI,419.8210233151197,260.86460907833924
1929,ROPCZYCKI,260.6141358975393,161.9380662367899
1929,RUDECKI,359.4641597993258,223.36060443866685
1929,RYBNICKI,340.14213963975493,211.35446145009416
1929,RYPIŃSKI,287.5631313416787,178.68339048491023
1929,RZESZOWSKI,279.0061126534096,173.3663072255618
1929,RÓWIEŃSKI,387.29600641959865,240.65450680495243
1929,SAMBORSKI,334.975864597546,208.14428796084175
1929,SANDOMIERSKI,262.6099781203987,163.17822471465027
1929,SANOCKI,382.7849612058145,237.85147412941816
1929,SARNEŃSKI,381.80530179221256,237.2427421799289
1929,SIEDLECKI,72.6352770050712,45.1334547079181
1929,SIERADZKI,308.06115274815835,191.4202665442759
1929,SIERPECKI,268.9416088465686,167.11251643060118
1929,SKAŁACKI,488.66581931230246,303.6427688119047
1929,SKIERNIEWICKI,228.19557075670377,141.7941099966638
1929,SOCHACZEWSKI,198.3998388163889,123.27990624517838
1929,SOKALSKI,325.36518954789386,202.17249319456437
1929,SOKOŁOWSKI,96.7395275653045,60.11113698278082
1929,SOKÓLSKI,264.6720022159924,164.4595066889534
1929,STANISŁAWOWSKI,442.92296939606956,275.21948841660515
1929,STAROGARDZKI,436.0442558040118,270.9452552731946
1929,STOLIŃSKI,406.4411817908884,252.5507635705861
1929,STOPNICKI,278.9995696720851,173.36224160671318
1929,STOŁPECKI,408.4612364889228,253.80596697835844
1929,STRYJSKI,395.2276750344092,245.58301566380587
1929,SUWALSKI,383.885524000469,238.53533193369543
1929,SZAMOTULSKI,464.8378471684562,288.8367579329108
1929,SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),294.08636495905733,182.7367386809744
1929,SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),311.92431133914033,193.82072126111296
1929,SZUBIŃSKI,423.82310839596255,263.35138868710766
1929,SĘPOLEŃSKI,463.33428586551986,287.90248854254395
1929,SŁONIMSKI,315.71933378343374,196.178838152346
1929,TARNOBRZESKI,183.95318203292283,114.30317267297929
1929,TARNOGÓRSKI,313.6537279491712,194.89533058950445
1929,TARNOPOLSKI,446.8653321651104,277.6691583127668
