scenario,District,avg_inverse_distance_1924,avg_inverse_distance_1938,avg_inverse_distance_change_ratio_1938_vs_1924,avg_inverse_distance_proportional_change_1938_vs_1924
baseline,MOŁODECZAŃSKI,0.003056796403788469,0.0030964602585457934,1.0129756285725038,0.012975628572503792
baseline,MOŚCISKI,0.005426336819289736,0.0054649434627762035,1.0071146787920033,0.007114678792003293
baseline,MYŚLENICKI,0.004794306309338327,0.00503211644263874,1.0496026156771017,0.049602615677101725
baseline,MŁAWSKI,0.005003720161355483,0.0052190548190485285,1.043034912175167,0.043034912175166896
baseline,NADWÓRNIAŃSKI,0.00423567557785494,0.004256764392330379,1.0049788549873122,0.004978854987312114
baseline,NIESZAWSKI,0.005513701372992923,0.00597321021053751,1.0833394495747162,0.08333944957471609
baseline,NIEŚWIESKI,0.0035011064018072124,0.0035349344815525045,1.0096621113051094,0.009662111305109307
baseline,NIŻAŃSKI,0.0057829339775134206,0.00589524956396882,1.019421903637865,0.0194219036378648
baseline,NOWOGRÓDZKI,0.0035269174715035346,0.0035557620156886137,1.0081784006623729,0.008178400662372893
baseline,NOWOSĄDECKI,0.005195894680527963,0.005330248174722919,1.0258576246163065,0.025857624616306533
baseline,NOWOTARSKI,0.004762216932184977,0.004982829998926474,1.0463257070988314,0.04632570709883138
baseline,NOWOTOMYSKI,0.0044150006918652045,0.004605968368597829,1.043254280137371,0.04325428013737096
baseline,OBORNICKI,0.00530135459906003,0.005562249772595093,1.0492129263681629,0.04921292636816285
baseline,OLKUSKI,0.005383037982814084,0.005687743554034476,1.0566047596530428,0.05660475965304287
baseline,OPATOWSKI,0.005597835842870543,0.005821101843913524,1.0398843423262105,0.03988434232621063
baseline,OPOCZYŃSKI,0.005819985773141492,0.006088933954221189,1.046211140639013,0.04621114063901312
baseline,OSTROWSKI (OSTRÓW MAZOWIECKA),0.00509131869058463,0.005245092703312334,1.0302031795833324,0.03020317958333234
baseline,OSTROWSKI (OSTRÓW WIELKOPOLSKI),0.005279686227743294,0.005644099500516854,1.0690217670244624,0.0690217670244623
baseline,OSTROŁĘCKI,0.004689172382579182,0.004844368958896282,1.0330967948403162,0.03309679484031617
baseline,OSZMIAŃSKI,0.0026475758474104032,0.0026706293279801,1.0087073919307148,0.008707391930714806
baseline,PIOTRKOWSKI,0.0054121468381555845,0.00568850396548282,1.0510623853327334,0.051062385332733405
baseline,PIŃCZOWSKI,0.0046286673387784675,0.005167054596188424,1.1163158244057436,0.11631582440574358
baseline,PIŃSKI,0.0037007474663163314,0.0037392996279228532,1.0104173986356588,0.010417398635658893
baseline,PODHAJECKI,0.004774979206932107,0.004803417515029711,1.0059556925517745,0.005955692551774447
baseline,POSTAWSKI,0.0025939736352590496,0.0026337952264386573,1.0153515789976912,0.01535157899769125
baseline,POZNAŃ (MIASTO),0.006668235600639313,0.00689566095462664,1.0341057766413537,0.034105776641353655
baseline,POZNAŃSKI,0.006540654005125271,0.006756575659916905,1.0330122422960208,0.03301224229602077
baseline,PRUŻAŃSKI,0.0042131965468719884,0.004259521127963326,1.010995115128377,0.010995115128376953
baseline,PRZASNYCKI,0.0039942781955887505,0.004153520389036004,1.0398675769812726,0.039867576981272676
baseline,PRZEMYSKI,0.006044237340389758,0.006094440843671425,1.0083060112391995,0.00830601123919952
baseline,PRZEMYŚLAŃSKI,0.005227983284813805,0.005261758948618986,1.0064605531359085,0.006460553135908607
baseline,PRZEWORSKI,0.00594429432235138,0.006009513820682243,1.0109717814754946,0.010971781475494621
baseline,PSZCZYŃSKI,0.005762122141044855,0.00613923781475952,1.0654473585397275,0.06544735853972747
baseline,PUŁAWSKI,0.005336576853522842,0.005411601709553224,1.014058610620562,0.014058610620562066
