scenario,year,District,avg_inverse_distance
baseline,1938,BIŁGORAJSKI,0.004960129853321613
baseline,1938,BOCHEŃSKI,0.006026515009469422
baseline,1938,BORSZCZOWSKI,0.0034855377290039474
baseline,1938,BRASŁAWSKI,0.002432181183726548
baseline,1938,BRODNICKI,0.005792367375742907
baseline,1938,BRODZKI,0.004825515500299084
baseline,1938,BRZESKI (BRZESKO),0.005787664646778266
baseline,1938,BRZESKI (BRZEŚĆ N.BUG.),0.0053218427794907795
baseline,1938,BRZEZIŃSKI,0.0065515450790052925
baseline,1938,BRZEŻAŃSKI,0.005075460180533234
baseline,1938,BRZOZOWSKI,0.005120310999371652
baseline,1938,BUCZACKI,0.0044869445061378995
baseline,1938,BYDGOSKI,0.0058164515790701315
baseline,1938,BÓBRECKI,0.005301296132683509
baseline,1938,BĘDZIŃSKI,0.006223018997189907
baseline,1938,BŁOŃSKI,0.006471316986997647
baseline,1938,CHEŁMIŃSKI,0.005417656572151318
baseline,1938,CHEŁMSKI,0.00560628303292297
baseline,1938,CHODZIESKI,0.004979724367154967
baseline,1938,CHOJNICKI,0.004645406963538698
baseline,1938,CHORZÓW,0.0077898761742088134
baseline,1938,CHRZANOWSKI,0.0063119964909382
baseline,1938,CIECHANOWSKI,0.005491939420349041
baseline,1938,CIESZYŃSKI,0.005090957658365871
baseline,1938,CZARNKOWSKI,0.004470141421399901
baseline,1938,CZORTKOWSKI,0.0045717020606041055
baseline,1938,CZĘSTOCHOWSKI,0.005460016141436381
baseline,1938,DOBROMILSKI,0.005362550699334724
baseline,1938,DOLIŃSKI,0.0048662128901674415
baseline,1938,DROHICKI,0.004044238039613751
baseline,1938,DROHOBYCKI,0.005478193059645763
baseline,1938,DUBIEŃSKI,0.004345897539924402
baseline,1938,DZIAŁDOWSKI,0.005153334958549616
baseline,1938,DZIŚNIEŃSKI,0.0025652898076637533
baseline,1938,DĄBROWSKI,0.005753655799961237
baseline,1938,GARWOLIŃSKI,0.005783235786438458
baseline,1938,GNIEŹNIEŃSKI,0.0061542181226708365
baseline,1938,GORLICKI,0.005542147073476832
baseline,1938,GOSTYNIŃSKI,0.005869117280950887
baseline,1938,GOSTYŃSKI,0.005407703044291736
baseline,1938,GRODZIEŃSKI,0.004078356647008754
baseline,1938,GRUDZIĄDZKI,0.005623884789267401
baseline,1938,GRÓDECKI,0.005822522227761574
baseline,1938,GRÓJECKI,0.005849967308793062
baseline,1938,HOROCHOWSKI,0.004536942027045409
baseline,1938,HORODEŃSKI,0.0039829899115929645
baseline,1938,HRUBIESZOWSKI,0.004958610591222063
baseline,1938,INOWROCŁAWSKI,0.006130710184450541
baseline,1938,IWACEWICKI,0.003959496021457273
baseline,1938,IŁŻECKI,0.005713688581817
baseline,1938,JANOWSKI,0.005710973742284939
baseline,1938,JAROCIŃSKI,0.0057103457614625305
baseline,1938,JAROSŁAWSKI,0.006013112418950987
baseline,1938,JASIELSKI,0.005591519146149977
baseline,1938,JAWOROWSKI,0.00509211658891186
baseline,1938,JĘDRZEJOWSKI,0.005937287719333501
baseline,1938,KALISKI,0.005088194638959754
baseline,1938,KAMIONECKI,0.005526251624008584
baseline,1938,KARTUSKI,0.003938619868825353
baseline,1938,KATOWICE,0.006820889640498902
baseline,1938,KAŁUSKI,0.004655064020020797
baseline,1938,KIELECKI,0.006035728637507907
baseline,1938,KOBRYŃSKI,0.004491218992385733
baseline,1938,KOLBUSZOWSKI,0.005334229735779036
baseline,1938,KOLSKI,0.006288475729303606
baseline,1938,KONECKI,0.0060503703240697235
baseline,1938,KONIŃSKI,0.005652114255494869
baseline,1938,KOPYCZYNIECKI,0.004474788329055015
baseline,1938,KOSOWSKI (KOSÓW HUCULSKI),0.0036579005348990217
baseline,1938,KOSTOPOLSKI,0.003943788046638683
baseline,1938,KOSZYRSKI,0.003305087480199269
baseline,1938,KOWELSKI,0.004859512266791478
baseline,1938,KOZIENICKI,0.005604747899112549
