District,weighted_distance_to_center_km_1924,weighted_distance_to_center_km_1929,weighted_distance_to_center_km_1931,weighted_distance_to_center_km_1938,weighted_distance_to_center_miles_1924,weighted_distance_to_center_miles_1929,weighted_distance_to_center_miles_1931,weighted_distance_to_center_miles_1938,change_ratio_km_1938_vs_1924,proportional_change_km_1938_vs_1924,change_ratio_miles_1938_vs_1924,proportional_change_miles_1938_vs_1924
LIMANOWSKI,378.4717537733154,378.48160781215694,378.4852600760178,378.46911014631144,235.17137211387876,235.17749512784778,235.17976453869528,235.1697294407237,0.9999930149952339,-6.9850047661947386e-06,0.999993014995234,-6.985004766079707e-06
LIPNOWSKI,291.7983827098413,291.7635470494256,291.7507878370882,291.62414113033697,181.3150528627968,181.29340699364863,181.2854787891193,181.2067841982986,0.9994028699614912,-0.0005971300385087748,0.9994028699614912,-0.0005971300385087803
LUBACZOWSKI,308.40815099394143,308.3930121471473,308.3872718064853,308.39100806251196,191.63588119125637,191.62647435088508,191.62290746966755,191.62522907081112,0.9999444147913269,-5.558520867307526e-05,0.999944414791327,-5.558520867303877e-05
LUBARTOWSKI,115.28750143238939,115.28513982697348,115.28426570559758,115.28908250491885,71.63631005254523,71.63484261942634,71.63429946575287,71.63729248516394,1.0000137141711791,1.3714171179159466e-05,1.0000137141711793,1.3714171179284326e-05
LUBAWSKI,307.2103639842078,307.1696173185994,307.15369759991785,307.12452639366234,190.89161107923118,190.86629228287543,190.85640023135855,190.83827408975637,0.9997205901863719,-0.000279409813628113,0.9997205901863719,-0.0002794098136280951
LUBELSKI,92.69322331204907,92.68752902245642,92.68549236275209,92.70274992931999,57.596880862631245,57.593342596212764,57.592077074935624,57.60280042633149,1.000102775768611,0.00010277576861094311,1.000102775768611,0.0001027757686108771
LUBLINIECKI,355.4607757335708,338.71213563328826,338.7276364755762,339.02638674300954,220.87301767834464,210.46589843059195,210.4755302044653,210.6611649568906,0.953765956435994,-0.04623404356400598,0.953765956435994,-0.04623404356400599
LUBOMELSKI,210.86757835828624,210.9516803627185,210.97726766505423,210.6588438077158,131.02699803206667,131.07925657866275,131.0951557863024,130.8972964356442,0.9990101154848198,-0.0009898845151802538,0.9990101154848199,-0.0009898845151801161
LWOWSKI,327.1465580759301,327.16000762907686,327.16479453601517,327.208938887592,203.27938393819878,203.28774110048712,203.29071554563828,203.31814556552195,1.0001906815466095,0.00019068154660955279,1.0001906815466095,0.00019068154660953183
LWÓW (MIASTO),319.2512676314649,319.2512676314649,319.2512676314649,319.25126761911173,198.37347941943096,198.37347941943096,198.37347941943096,198.37347941175508,0.9999999999613058,-3.869414532026882e-11,0.999999999961306,-3.869408103363023e-11
M. ST. WARSZAWA,129.611805812903,129.61180650977323,129.61180674852682,123.73628089920508,80.53701738976935,80.5370178227843,80.53701797113885,76.88613659861997,0.954668289074073,-0.04533171092592699,0.9546682890740731,-0.04533171092592695
MAKOWSKI (MAKÓW MAZOWIECKI),310.9669170881248,279.8175050331838,277.7192293855795,277.7766324338216,193.22582423796518,173.87048291997445,172.56667528254692,172.60234387203616,0.8932674737071873,-0.1067325262928127,0.8932674737071873,-0.10673252629281271
MIECHOWSKI,240.93980564390864,235.7793898529546,235.78409792651647,232.25315263076985,149.71300797276115,146.50647525232026,146.50940071269747,144.3153737033341,0.9639467916481305,-0.03605320835186956,0.9639467916481306,-0.03605320835186941
