scenario,year,District,unit_weighted_domestic_access
baseline,1938,ZALESZCZYCKI,0.0004816975622596887
baseline,1938,ZAMOJSKI,0.0006331220595205163
baseline,1938,ZBARASKI,0.0007039341996270609
baseline,1938,ZBOROWSKI,0.0005371372267570088
baseline,1938,ZDOŁBUNOWSKI,0.00019198592754443946
baseline,1938,ZŁOCZOWSKI,0.0006936447515280464
baseline,1938,ŁASKI,0.0008393962377693991
baseline,1938,ŁAŃCUCKI,0.0006223068635283224
baseline,1938,ŁOMŻYŃSKI,0.00025280999251650133
baseline,1938,ŁOWICKI,0.0012859019143409644
baseline,1938,ŁUCKI,0.0002531930291208681
baseline,1938,ŁUKOWSKI,0.0006012030395692363
baseline,1938,ŁUNINIECKI,0.0001496325882752563
baseline,1938,ŁÓDZKI,0.0021789308742409604
baseline,1938,ŁÓDŹ (MIASTO),0.002108694472757994
baseline,1938,ŁĘCZYCKI,0.0012732038478640722
baseline,1938,ŚNIATYŃSKI,0.00030991651686480847
baseline,1938,ŚREDZKI,0.001046667557474259
baseline,1938,ŚREMSKI,0.0006970302321951783
baseline,1938,ŚWIECKI,0.0009007588229161686
baseline,1938,ŚWIĘCIAŃSKI,0.00012121616248880316
baseline,1938,ŚWIĘTOCHŁOWICKI,0.01672083907769844
baseline,1938,ŻNIŃSKI,0.0012359387780184114
baseline,1938,ŻYDACZOWSKI,0.0007946145230077746
baseline,1938,ŻYWIECKI,0.0008511651324362332
baseline,1938,ŻÓŁKIEWSKI,0.0009903559788987128
