scenario,District,avg_distance_km_1924,avg_distance_km_1938,change_ratio_km_1938_vs_1924,proportional_change_km_1938_vs_1924,avg_distance_miles_1924,avg_distance_miles_1938,change_ratio_miles_1938_vs_1924,proportional_change_miles_1938_vs_1924,avg_distance_minutes_1924,avg_distance_minutes_1938,change_ratio_minutes_1938_vs_1924,proportional_change_minutes_1938_vs_1924
baseline,ZŁOCZOWSKI,459.54180518537237,451.9514673702487,0.9834828132512082,-0.016517186748791785,285.54595102984,280.8295352313188,0.9834828132512082,-0.01651718674879175,,,,
baseline,ŁASKI,392.21901819720944,367.55594592581764,0.9371191320993234,-0.0628808679006766,243.71352355621823,228.38860567587125,0.9371191320993234,-0.06288086790067657,,,,
baseline,ŁAŃCUCKI,366.8882113384033,358.20830761375765,0.976341829864248,-0.023658170135751964,227.973694767555,222.5802543102682,0.976341829864248,-0.02365817013575195,,,,
baseline,ŁOMŻYŃSKI,435.62629398050734,423.9863731066753,0.9732800314520204,-0.026719968547979592,270.6855459169618,263.4528366436679,0.9732800314520205,-0.026719968547979544,,,,
baseline,ŁOWICKI,349.8845913188818,343.07924891580535,0.9805497510552726,-0.01945024894472738,217.4081383924049,213.17949597806287,0.9805497510552725,-0.019450248944727452,,,,
baseline,ŁUCKI,465.80981974844246,442.5891704645512,0.9501499360910179,-0.049850063908982015,289.44071350690945,275.01207544072867,0.950149936091018,-0.04985006390898199,,,,
baseline,ŁUKOWSKI,345.8162011805363,339.8824427975207,0.9828412944137401,-0.01715870558625985,214.88015874375102,211.19309336353822,0.9828412944137401,-0.017158705586259832,,,,
baseline,ŁUNINIECKI,535.5052276769974,529.8257738311769,0.9893942140014995,-0.010605785998500442,332.7474188268836,329.21837091125224,0.9893942140014995,-0.010605785998500483,,,,
baseline,ŁÓDZKI,358.5389910007225,345.7601029563419,0.964358442554007,-0.03564155744599297,222.78573137710995,214.84530093408512,0.9643584425540069,-0.03564155744599303,,,,
baseline,ŁÓDŹ (MIASTO),361.2171576296401,344.1995803609579,0.9528882365933168,-0.04711176340668322,224.4498664534871,213.87563744846878,0.9528882365933169,-0.04711176340668314,,,,
baseline,ŁĘCZYCKI,378.74419307040927,357.13626705644384,0.9429484955563439,-0.05705150444365617,235.34065799235327,221.91411939712955,0.9429484955563437,-0.057051504443656205,,,,
baseline,ŚNIATYŃSKI,584.435244948364,576.8174698440554,0.9869655788726744,-0.013034421127325543,363.1511125888099,358.41764805447053,0.9869655788726744,-0.013034421127325547,,,,
baseline,ŚREDZKI,493.51786309902946,469.2890342639086,0.950905872620341,-0.04909412737965897,306.65768811170705,291.60259650959915,0.950905872620341,-0.04909412737965902,,,,
baseline,ŚREMSKI,528.0328747528582,501.90521255831743,0.9505188721312672,-0.04948112786873288,328.10431541805826,311.86934383257426,0.9505188721312672,-0.04948112786873288,,,,
baseline,ŚWIECKI,485.6886441950915,465.73560465226717,0.9589180439334924,-0.0410819560665075,301.7928385321482,289.3945983983839,0.9589180439334924,-0.041081956066507545,,,,
baseline,ŚWIĘCIAŃSKI,677.3523587297207,667.353520397473,0.9852383501682948,-0.01476164983170522,420.88711249624527,414.67412432289814,0.9852383501682948,-0.014761649831705298,,,,
baseline,ŚWIĘTOCHŁOWICKI,421.6014821904631,383.5935797219724,0.9098487456186878,-0.09015125438131225,261.97093459017026,238.3539262254217,0.9098487456186878,-0.09015125438131227,,,,
baseline,ŻNIŃSKI,494.96451206432295,452.12242804078824,0.9134441298733611,-0.08655587012663886,307.5565938259204,280.93576523413265,0.9134441298733612,-0.08655587012663876,,,,
baseline,ŻYDACZOWSKI,458.8406947420632,451.3311702964603,0.9836337000365141,-0.01636629996348594,285.11030133257054,280.4441006182818,0.9836337000365141,-0.016366299963485962,,,,
baseline,ŻYWIECKI,453.2645526148595,417.589326929623,0.9212927075822982,-0.07870729241770176,281.64544832284787,259.47789766358676,0.9212927075822982,-0.0787072924177018,,,,
baseline,ŻÓŁKIEWSKI,413.68897746504615,408.3503780242454,0.9870951373335737,-0.01290486266642631,257.0543336164332,253.7370827433034,0.9870951373335737,-0.012904862666426332,,,,
fixed14,AUGUSTOWSKI,,,,,,,,,2522.9253556909966,2468.820799935725,0.9785548329310547,-0.021445167068945264
fixed14,BARANOWICKI,,,,,,,,,2354.6630147794135,2316.0349411623424,0.9835950735308552,-0.0164049264691448
fixed14,BIALSKI (BIAŁA KRAKOWSKA),,,,,,,,,2091.6702239976676,1945.7504223728508,0.9302376636858509,-0.06976233631414903
fixed14,BIALSKI (BIAŁA PODLASKA),,,,,,,,,1740.2654646846856,1711.8225304392556,0.9836559796062013,-0.01634402039379867
fixed14,BIAŁOSTOCKI,,,,,,,,,1926.4403219193916,1880.5119983364125,0.9761589689229413,-0.02384103107705868
fixed14,BIELSKI (BIELSK PODLASKI),,,,,,,,,1929.0203320248474,1898.365391387987,0.9841085445664107,-0.015891455433589236
fixed14,BIELSKO,,,,,,,,,2098.685847088995,1943.7222148125677,0.9261615870277243,-0.0738384129722757
fixed14,BIŁGORAJSKI,,,,,,,,,1896.9778301577937,1875.541508689034,0.9886997511895135,-0.011300248810486486
fixed14,BOCHEŃSKI,,,,,,,,,1883.1763504503197,1740.4726386283085,0.9242218012201104,-0.07577819877988952
fixed14,BORSZCZOWSKI,,,,,,,,,2927.195980316148,2891.6274140668297,0.987848928978962,-0.012151071021037955
fixed14,BRASŁAWSKI,,,,,,,,,3456.469899679592,3403.5781371785897,0.9846977511634326,-0.015302248836567372
fixed14,BRODNICKI,,,,,,,,,2024.0599599656275,1927.2646138819077,0.9521776291225268,-0.047822370877473194
fixed14,BRODZKI,,,,,,,,,2116.439918809915,2081.2045884837144,0.9833516037884913,-0.01664839621150867
fixed14,BRZESKI (BRZESKO),,,,,,,,,2055.208083619776,1966.1093100249414,0.9566473223295678,-0.043352677670432146
fixed14,BRZESKI (BRZEŚĆ N.BUG.),,,,,,,,,1719.7870309832965,1692.6547961147448,0.9842234914092597,-0.015776508590740267
