District,year,rural_pop,city_pop_sum,pop_total,MA_district
KROTOSZYŃSKI,1913,53255.0,22930.0,76185.0,12393.566018728201
GRODZIEŃSKI,1913,58536.40000000002,33032.6,91569.00000000003,9174.46069622449
KOSOWSKI (KOSÓW HUCULSKI),1913,65705.99999999988,9697.0,75402.99999999988,7793.966157672477
TURCZAŃSKI,1913,73371.80000000005,9984.8,83356.60000000005,11602.887540475816
PŁOCKI,1913,70812.40000000002,27820.600000000002,98633.00000000003,9971.742745417527
RADZYMIŃSKI,1913,48149.0,4676.8,52825.8,15861.062370081738
WYRZYSKI,1913,46434.20000000001,12623.2,59057.40000000001,11374.554842639758
DROHOBYCKI,1913,89088.40000000002,53050.600000000006,142139.00000000003,12821.71963434843
KONIŃSKI,1913,151919.80000000005,34807.4,186727.20000000004,9295.731834048773
ŁASKI,1913,94943.40000000002,36475.8,131419.2,13428.467050805997
RYPIŃSKI,1913,59517.40000000002,6342.8,65860.20000000003,9844.316600082408
KOSZYRSKI,1913,34475.19999999995,6439.0,40914.19999999995,7065.123712607892
WĘGROWSKI,1913,66394.0,7806.8,74200.8,10861.312127337458
WOŁOŻYŃSKI,1913,68158.3999999999,2838.8,70997.19999999991,6118.4416705170615
GRÓJECKI,1913,100738.19999999995,22080.6,122818.79999999996,11753.254739835766
PSZCZYŃSKI,1913,89569.15238155903,12544.2,102113.35238155903,15590.229548494195
BRZEZIŃSKI,1913,69759.59999999998,34554.2,104313.79999999997,16279.800607236055
ŁÓDŹ (MIASTO),1913,1.0,329179.6,329180.6,15599.232666573329
STOŁPECKI,1913,65688.27632497228,298.4000000000001,65986.67632497227,7576.763988238842
WĄBRZESKI,1913,30174.599999999977,14140.6,44315.199999999975,12230.127003983998
BRODNICKI,1913,42819.0,7178.8,49997.8,12182.836724167497
KOSTOPOLSKI,1913,82261.19999999995,2367.2,84628.39999999995,9482.146994554358
GRUDZIĄDZKI,1913,35859.59999999998,23288.6,59148.199999999975,12015.928353765485
OSTROWSKI (OSTRÓW MAZOWIECKA),1913,63504.80000000005,14521.0,78025.80000000005,12160.422608101755
NIESZAWSKI,1913,73324.59999999998,15952.8,89277.39999999998,11950.965534621902
SZUBIŃSKI,1913,37244.40000000002,8161.8,45406.200000000026,12317.375926740653
KONECKI,1913,96397.0,22394.2,118791.2,14372.402242687962
RAWICKI,1913,35196.59999999998,14694.4,49890.99999999998,12176.107695639344
NOWOTOMYSKI,1913,62772.79999999999,21840.199999999997,84612.99999999999,10018.33926886909
BIALSKI (BIAŁA PODLASKA),1913,45167.367690378785,14055.0,59222.367690378785,12071.273667303536
OLKUSKI,1913,111958.0,11889.0,123847.0,13885.833802129659
KOZIENICKI,1913,95966.0,13211.0,109177.0,12984.241702081144
SANOCKI,1913,78395.19999999995,14149.400000000001,92544.59999999995,11620.59005961489
WRZESIŃSKI,1913,36023.0,7946.799999999999,43969.8,12075.782012014273
BRODZKI,1913,63037.59999999998,9639.8,72677.39999999998,12329.126635188293
CHEŁMSKI,1913,70362.80000000005,18420.2,88783.00000000004,11881.613823640277
