District,MA_1913,MA_1939,delta,pct_change,log_change,from_year,to_year
KRAKOWSKI,14330.773353404596,29190.449794276927,14859.67644087233,1.036906807080448,0.7114323861148666,1913,1939
KRAKÓW (MIASTO),13945.419871860793,28726.42560779309,14781.005735932298,1.0599183009008968,0.7226663222581742,1913,1939
KRASNOSTAWSKI,9955.27121924781,26161.11420368294,16205.84298443513,1.6278655425381356,0.9661719358957139,1913,1939
KROTOSZYŃSKI,12393.566018728201,26242.04003839751,13848.47401966931,1.1173922016264375,0.7501852379253826,1913,1939
KROŚNIEŃSKI,12911.162436638375,26852.403432806197,13941.240996167822,1.0797820153363076,0.7322630879022078,1913,1939
KRZEMIENIECKI,9413.669211769453,19000.871337830467,9587.202126061014,1.018434141925722,0.702322033543366,1913,1939
KUTNOWSKI,14611.629520124032,34593.38189889439,19981.752378770358,1.367523885768542,0.8618446350529858,1913,1939
KĘPIŃSKI,11334.698659698528,26474.894604795943,15140.195945097415,1.3357387258057107,0.8483282118809097,1913,1939
LESKI,10027.364841434503,20813.643701143388,10786.278859708886,1.0756842929598451,0.7302908790569589,1913,1939
LESZCZYŃSKI,11863.833060507128,24594.870243845726,12731.037183338598,1.0730964536005025,0.7290433608808744,1913,1939
LIDZKI,8718.352002652588,19730.952848103345,11012.600845450757,1.2631516646838912,0.8167583837092387,1913,1939
LIMANOWSKI,12608.137796092937,25409.492836456557,12801.35504036362,1.0153248042966787,0.7007803756077635,1913,1939
LIPNOWSKI,11120.501091256032,28367.04301181807,17246.54192056204,1.550878128515527,0.9364376640143544,1913,1939
LUBACZOWSKI,10255.593735396975,24039.511246322152,13783.917510925177,1.3440389573302092,0.8518754915980757,1913,1939
LUBARTOWSKI,12659.659588649713,30872.702694594933,18213.04310594522,1.4386676812601271,0.8914518579047623,1913,1939
LUBAWSKI,11015.692770207703,24664.603147359798,13648.910377152095,1.239042397230432,0.8060482732258283,1913,1939
LUBELSKI,12687.147668601869,31260.583128940478,18573.43546033861,1.4639567494200536,0.901768492522109,1913,1939
LUBLINIECKI,12492.907170941719,29517.22400881511,17024.31683787339,1.3627185894306209,0.8598129007323401,1913,1939
LUBOMELSKI,10350.730191398461,23892.856881127394,13542.126689728933,1.3083257354135793,0.8365224718822937,1913,1939
LWOWSKI,15628.238177773594,30636.258004190553,15008.01982641696,0.960314250122019,0.6731047920855815,1913,1939
LWÓW (MIASTO),15333.57364341552,33301.505837025725,17967.932193610206,1.1718032998345378,0.7755578362002531,1913,1939
M. ST. WARSZAWA,14373.33582880496,40115.412784920205,25742.076956115245,1.7909605162447186,1.0263858076410468,1913,1939
MAKOWSKI (MAKÓW MAZOWIECKI),9633.103548505715,22229.575699489225,12596.47215098351,1.307623455676179,0.8362181878818653,1913,1939
MIECHOWSKI,12509.045772794358,28802.300370524554,16293.254597730196,1.3025177854226118,0.8340032135138493,1913,1939
MIELECKI,13128.799886269311,31035.50178743535,17906.701901166038,1.3639252678299765,0.8603234864510902,1913,1939
MIĘDZYCHODZKI,9232.801872078842,19719.866562766187,10487.064690687344,1.1358485577819608,0.7588640186696196,1913,1939
MIŃSKI,14829.99830879094,34877.22727424511,20047.228965454167,1.351802511910642,0.8551820604866496,1913,1939
MOGILEŃSKI,11849.053207792018,26377.511215831997,14528.45800803998,1.2261281769319732,0.800263832926035,1913,1939
MORSKI,7204.77994664422,17496.177990669796,10291.398044025576,1.428412542817357,0.8872377693148952,1913,1939
MOŁODECZAŃSKI,7245.197400309174,16160.72334696228,8915.525946653106,1.2305428622652372,0.8022449918396752,1913,1939
MOŚCISKI,11641.44144206676,24373.65946962612,12732.21802755936,1.0936977255712543,0.7389317493882199,1913,1939
MYŚLENICKI,11605.109645717843,22918.830577032248,11313.720931314405,0.9748913432704223,0.6805133807740376,1913,1939
MŁAWSKI,11440.564904912191,25145.776813143504,13705.211908231313,1.1979488794602053,0.787524597958555,1913,1939
NADWÓRNIAŃSKI,9757.901657662587,20340.584354975865,10582.682697313277,1.0845244263148532,0.7345407363390688,1913,1939
NIESZAWSKI,11950.965534621902,29490.06355812122,17539.09802349932,1.4675883695496075,0.9032413050781791,1913,1939
NIEŚWIESKI,7224.998370642678,15405.446563830517,8180.448193187839,1.132242219794462,0.7571741113861599,1913,1939
NIŻAŃSKI,10696.025179166902,26762.009001918872,16065.98382275197,1.502051795282266,0.917111113382111,1913,1939
NOWOGRÓDZKI,8094.509478976644,19751.237400928214,11656.72792195157,1.4400783583275611,0.8920301528581387,1913,1939
NOWOSĄDECKI,12925.323825281414,26613.196389256864,13687.87256397545,1.0589964900687843,0.7222187233665824,1913,1939
NOWOTARSKI,12925.806770318131,26339.403704074684,13413.596933756553,1.0377376957667774,0.7118402198276055,1913,1939
NOWOTOMYSKI,10018.33926886909,21491.50259014849,11473.163321279402,1.1452160895499932,0.7632402883548899,1913,1939
OBORNICKI,11057.715520442236,23732.5449150076,12674.829394565362,1.146243034660603,0.7637188878710397,1913,1939
OLKUSKI,13885.833802129659,28715.51375150541,14829.67994937575,1.0679718741197473,0.7265683560313292,1913,1939
OPATOWSKI,12159.277205594997,29127.132716011856,16967.85551041686,1.3954658014219157,0.8735777010637698,1913,1939
OPOCZYŃSKI,15034.57671294103,34377.986619057345,19343.409906116314,1.2865949122110267,0.8270637730777874,1913,1939
OSTROWSKI (OSTRÓW MAZOWIECKA),12160.422608101755,28077.713336843968,15917.290728742213,1.3089422334826981,0.8367895120787612,1913,1939
OSTROWSKI (OSTRÓW WIELKOPOLSKI),13055.174055974521,28133.797638615153,15078.623582640632,1.154992152382687,0.7677870819633199,1913,1939
OSTROŁĘCKI,10951.153156809869,25215.196707380757,14264.043550570888,1.302515209706562,0.8340020948612565,1913,1939
OSZMIAŃSKI,6439.780795161241,14003.142404420387,7563.361609259146,1.1744750092956804,0.7767872603685362,1913,1939
PIOTRKOWSKI,14159.54577431203,30402.754589813903,16243.208815501874,1.1471560652016097,0.7641442061484849,1913,1939
PIŃCZOWSKI,10696.353100963614,25183.613105678225,14487.260004714612,1.3544111593894073,0.8562906577277154,1913,1939
PIŃSKI,9073.784650174017,20283.278027459466,11209.49337728545,1.2353713262382162,0.8044073557591727,1913,1939
PODHAJECKI,11280.577121626337,24186.459959735832,12905.882838109495,1.1440800146091137,0.7627105627589597,1913,1939
POSTAWSKI,6271.824906113337,13837.431294895745,7565.6063887824075,1.2062846941737773,0.7913099669803714,1913,1939
POZNAŃ (MIASTO),12945.415075466304,26501.46868551138,13556.053610045075,1.0471702553389752,0.716458476322062,1913,1939
POZNAŃSKI,12765.045848728805,27203.441739354566,14438.395890625761,1.13108844744679,0.7566328573920913,1913,1939
PRUŻAŃSKI,9805.684562780147,23920.065019657308,14114.380456877161,1.439407964483348,0.8917553723570446,1913,1939
PRZASNYCKI,9169.45004037115,22056.02285951233,12886.57281914118,1.4053812128758345,0.8777083994688635,1913,1939
PRZEMYSKI,13983.420160115918,30168.757747690244,16185.337587574326,1.1574662995351312,0.7689345237075074,1913,1939
PRZEMYŚLAŃSKI,12020.709371626448,25470.22962891071,13449.520257284263,1.118862443262322,0.7508793613047189,1913,1939
PRZEWORSKI,13594.63802757878,30165.593016654515,16570.954989075733,1.2189331525752318,0.7970265184742598,1913,1939
PSZCZYŃSKI,15590.229548494195,31064.302671992424,15474.073123498229,0.9925494089336748,0.6894149288320843,1913,1939
PUŁAWSKI,12507.271816870176,27986.580517931165,15479.308701060989,1.2376247136631378,0.805414907563577,1913,1939
PUŁTUSKI,11955.2906370748,26017.221188374515,14061.930551299714,1.1762098453459564,0.7775847606243289,1913,1939
PŁOCKI,9971.742745417527,26654.379836584958,16682.63709116743,1.6729911227236447,0.9831981160602243,1913,1939
PŁOŃSKI,10719.256310812616,30588.032666528463,19868.776355715847,1.853559218998618,1.0485670638890152,1913,1939
RADOMSKI,13802.46576767289,32885.4833304664,19083.01756279351,1.3825803218065813,0.8681840692230978,1913,1939
RADOMSZCZAŃSKI,14766.843541314094,31635.162542939343,16868.31900162525,1.14231040333242,0.761884874380307,1913,1939
RADZIECHOWSKI,9871.562718143135,22332.558496691167,12460.995778548031,1.2623123748832312,0.8163874649248033,1913,1939
RADZYMIŃSKI,15861.062370081738,40294.17685163941,24433.11448155767,1.540446277271133,0.9323397653101022,1913,1939
RADZYŃSKI,12259.467293043457,28365.938071723933,16106.470778680476,1.3137985846921723,0.838890582931322,1913,1939
RAWICKI,12176.107695639344,25534.237541027647,13358.129845388303,1.0970771759987206,0.7405445542939368,1913,1939
RAWSKI (RAWA MAZOWIECKA),11738.792432739803,29763.879178098792,18025.08674535899,1.535514564094901,0.9303966003085762,1913,1939
RAWSKI (RAWA RUSKA),11884.555781903153,27538.90819387936,15654.352411976208,1.3172013072472928,0.8403601243897043,1913,1939
ROHATYŃSKI,10862.99489952523,22634.404465145755,11771.409565620525,1.083624697838622,0.7341090202639453,1913,1939
ROPCZYCKI,13687.533207962028,30142.36567487473,16454.832466912703,1.2021766242978638,0.7894462459365688,1913,1939
RUDECKI,11633.32096665808,23975.46044384706,12342.139477188979,1.0609300226962204,0.7231573482490408,1913,1939
RYBNICKI,13886.075599244252,29319.115821872987,15433.040222628735,1.1114040185312453,0.7473531378260017,1913,1939
RYPIŃSKI,9844.316600082408,28680.091456459148,18835.774856376738,1.9133654088511394,1.0693089108418636,1913,1939
RZESZOWSKI,13172.387929608027,28529.268225639415,15356.880296031388,1.1658387513408406,0.7728077004432645,1913,1939
RÓWIEŃSKI,9790.251744049867,20314.705487438707,10524.45374338884,1.0749931685653729,0.7299578614195905,1913,1939
SAMBORSKI,14196.605974492326,30266.090711804834,16069.484737312509,1.13192440264844,0.7570250472548778,1913,1939
SANDOMIERSKI,10683.681094724896,24049.797629531404,13366.116534806508,1.251077827604389,0.811409136006775,1913,1939
