District,year,rural_pop,city_pop_sum,pop_total,dist_makoszowy_min,dist_zbaszyn_min,dist_gdansk_min
ZALESZCZYCKI,1924,62565.3,4044.0,66609.3,3085.58544626501,4584.861109077691,4694.059768817687
OPOCZYŃSKI,1924,113568.4,8452.7,122021.09999999999,1227.5505853681518,1770.7681411541976,2058.841110241728
KALISKI,1924,129792.2,55160.1,184952.3,1841.5619929510074,1031.5366358655956,1873.0528308544326
WIELUŃSKI,1924,170069.09999999998,21173.3,191242.39999999997,2541.4280681618075,1542.431825841368,2383.948020830206
NOWOTARSKI,1924,91736.8,22762.2,114499.0,793.506996195061,2966.482212834903,3254.5551819224333
M. ST. WARSZAWA,1924,1.0,1009162.4,1009163.4,1689.2580118929484,1837.6486417110036,1692.3046735521968
TCZEWSKI,1924,35860.7,25261.399999999998,61122.09999999999,2802.5763495495844,1682.7338850577344,418.1588328249486
CHORZÓW,1924,22739.6509148704,76587.9,99327.5509148704,107.12934548052705,2463.3773113821517,2751.4502804696826
PODHAJECKI,1924,79817.6,5092.7,84910.3,2473.88859482192,3973.1642576346035,4018.6076199223444
POZNAŃ (MIASTO),1924,1.0,192604.8,192605.8,2314.2405672679247,413.61870541548785,1342.3637827644375
OSTROŁĘCKI,1924,88795.29999999999,10432.9,99228.19999999998,2367.103605404984,2576.221447572356,2374.2149723824004
RADZIECHOWSKI,1924,57629.9,8356.7,65986.6,2522.5138177120834,4021.7894805247665,4067.2328428125074
SUWALSKI,1924,75280.2,20838.199999999997,96118.4,3337.94087929442,3593.4070669404846,3391.400591750529
KOŚCIAŃSKI,1939,56385.200000000004,22735.0,79120.20000000001,1246.6382302328038,342.06368427248066,1273.7625100388734
ZBOROWSKI,1939,72634.40000000001,16854.0,89488.40000000001,2212.9907475800815,3407.729197360952,3474.681345824617
MIĘDZYCHODZKI,1939,22541.800000000003,8509.0,31050.800000000003,1619.2886681336008,331.5428232718568,1477.1836430222786
KOŁOMYJSKI,1939,148459.59999999998,49993.0,198452.59999999998,2209.173351103318,3403.911800884189,3522.343382073275
DZIŚNIEŃSKI,1939,157582.80000000002,17247.0,174829.80000000002,3559.7416648268822,3870.001406082986,3667.8660963021384
STOLIŃSKI,1939,126940.79999999999,16894.0,143834.8,2871.637417957621,3482.8434193061,3354.4645075874437
STANISŁAWOWSKI,1939,151180.40000000002,78771.0,229951.40000000002,2036.4735437153722,3231.211993496243,3348.661452935401
ŚREDZKI,1939,37481.0,13904.0,51385.0,1195.2660041599916,532.8715872587412,1244.3995885788465
WOŁKOWYSKI,1939,193398.59999999998,21188.0,214586.59999999998,2192.4230087910855,2580.6777610919567,2378.542451311111
HORODEŃSKI,1939,88029.40000000001,13780.0,101809.40000000001,2514.053249827919,3708.7916996087897,3827.2232807978767
KATOWICE,1939,105879.43115207237,222820.0,328699.4311520724,157.99427202796994,1439.64867400781,1907.1924341209672
MIELECKI,1939,70771.20000000001,12740.0,83511.20000000001,919.6851560340369,2147.182089907745,2281.722377746316
PUŁAWSKI,1939,175142.40000000002,19673.0,194815.40000000002,1447.195195295233,2235.7316883293965,2077.36344917959
RAWSKI (RAWA RUSKA),1939,114408.59999999999,19476.0,133884.59999999998,1855.5412150322768,2860.855875800581,2707.8629622523554
MOGILEŃSKI,1939,64228.399999999994,26491.0,90719.4,1326.0641684374496,735.8939457777524,906.7659014923285
SOKALSKI,1939,98216.0,17032.0,115248.0,1912.4441544291597,3062.8316954448446,2904.4634562950387
BUCZACKI,1939,128753.59999999999,25038.0,153791.59999999998,2275.12839639437,3469.866846175241,3588.298427364327
PRZEMYŚLAŃSKI,1939,87396.40000000001,10989.0,98385.40000000001,1875.0785507103337,3069.8170004912054,3136.7691489548693
GOSTYNIŃSKI,1939,70157.0,15929.0,86086.0,1338.7811983477102,1265.6701945379898,1195.7249846175368
BIŁGORAJSKI,1939,121404.40000000001,8828.0,130232.40000000001,1940.1174228390346,2728.6539158731985,2570.285676723392
RUDECKI,1939,74248.59999999999,9630.0,83878.59999999999,1747.4050406189647,2942.1434903998356,3076.6837782384064
RADOMSZCZAŃSKI,1939,174784.80000000002,26350.0,201134.80000000002,610.5609494544149,1561.631681834024,1696.1719696725947
STRYJSKI,1939,129073.20000000001,41560.0,170633.2,1903.8213886316205,3098.5598384124924,3233.1001262510626
PŁOŃSKI,1939,75764.59999999999,12000.0,87764.59999999999,1599.2694172842841,1395.389570920801,1111.496770358812
KRZEMIENIECKI,1939,247219.0,22470.0,269689.0,2430.9541101477457,3625.6925599286164,3578.535001236417
CHRZANOWSKI,1939,96741.79999999999,59707.0,156448.8,282.30763142355966,1560.6633921335765,1999.1387277134422
MYŚLENICKI,1939,95941.59999999999,13585.0,109526.59999999999,822.6472945843368,2101.0030552943535,2548.2734401114553
TARNOWSKI,1939,105059.20000000001,57963.0,163022.2,732.9522038802987,2011.3079645903154,2449.783300170181
SOKOŁOWSKI,1939,78942.40000000001,13543.0,92485.40000000001,1616.046843034108,2035.2967278666508,1867.7770024175904
CZORTKOWSKI,1939,70031.40000000001,19038.0,89069.40000000001,2322.5198247213693,3517.2582745022414,3618.838755088111
SIERPECKI,1939,69680.59999999999,21998.0,91678.59999999999,1609.5243568410872,1330.0718393905306,1044.099335090786
SANDOMIERSKI,1939,120161.59999999999,13728.0,133889.59999999998,1035.820922880384,2272.3913041862597,2477.928818671733
RADZYŃSKI,1939,82596.71788598559,24980.0,107576.71788598559,1548.9946041973124,2160.20060554579,2031.8216938271366
RYBNICKI,1939,211713.69590301262,34698.0,246411.69590301262,288.76647801769053,1611.139132586362,2078.682892699519
WOLSZTYŃSKI,1939,40315.399999999994,7063.0,47378.399999999994,1324.2031177713297,159.34240172362644,1356.4881737240155
ŻÓŁKIEWSKI,1939,83337.0,19553.0,102890.0,1794.979359252917,2987.9375713104987,2877.063031980722
LIDZKI,1939,187453.40000000002,26257.0,213710.40000000002,2625.225401435803,3013.480153736674,2811.3448439558288
CIESZYŃSKI,1939,64011.03213608264,25598.0,89609.03213608265,382.6006852847767,1704.973339853448,2172.517099966605
LESZCZYŃSKI,1939,37323.399999999994,26587.0,63910.399999999994,1184.5332746232655,342.78000353351666,1380.8222839912478
PIŃSKI,1939,185592.80000000002,36700.0,222292.80000000002,2376.6691406379086,2987.875141986387,2859.4962302677327
DOLIŃSKI,1939,110228.59999999999,26554.0,136782.59999999998,1911.8019458854442,3106.5403956663154,3241.0806835048866
NADWÓRNIAŃSKI,1939,144671.0,19311.0,163982.0,2290.4399269625847,3485.178376743455,3603.609957932541
ZBARASKI,1939,58101.200000000004,8976.0,67077.20000000001,2228.370449946065,3423.108899726936,3490.0610481906
BŁOŃSKI,1939,103697.59999999999,60757.0,164454.59999999998,1162.1896497292958,1437.105625007201,1494.461971477596
SKIERNIEWICKI,1939,52901.200000000004,21214.0,74115.20000000001,1080.2141147162183,1363.1960593723743,1420.5524058427693
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),1939,57720.799999999996,18026.0,75746.79999999999,2296.0070517519603,2553.1721538343822,2351.036844053537
LWOWSKI,1939,151439.40000000002,10818.0,162257.40000000002,1679.739035910524,2874.477485691395,2941.935324503859
MOŚCISKI,1939,83852.20000000001,10275.0,94127.20000000001,1563.466155209738,2758.2046049906094,2888.820743574938
TORUŃSKI,1939,47453.399999999994,94198.0,141651.4,1355.4673058848884,888.679350940097,698.7854597958188
SIERADZKI,1939,127611.20000000001,50387.0,177998.2,1103.200065052177,931.4768361629142,1494.3106488272672
CZARNKOWSKI,1939,34008.799999999996,9196.0,43204.799999999996,1612.465320233106,712.4721630467741,1201.522313796839
RADOMSKI,1939,159997.0,90129.0,250126.0,1002.4050131494195,1857.8224328852384,1836.6973767653549
KOWELSKI,1939,286580.0,38300.0,324880.0,2110.130400641152,2896.8656420668367,2738.8020224089137
WILEJSKI,1939,141836.59999999998,6322.0,148158.59999999998,3385.4698613779083,3773.72461367878,3571.589303897933
KROŚNIEŃSKI,1939,106716.20000000001,20038.0,126754.20000000001,1100.1860191770604,2378.5417798870776,2817.017115466943
OSZMIAŃSKI,1939,113691.62887725966,13500.0,127191.62887725966,3346.123029190626,3734.3777814914974,3532.2424717106505
JAROSŁAWSKI,1939,127607.0,28412.0,156019.0,1222.7056376129083,2412.572967186857,2539.4779094632736
CHEŁMIŃSKI,1939,42525.200000000004,13452.0,55977.200000000004,1534.853089821439,1068.0651348766476,711.7673411507516
ŚWIĘTOCHŁOWICKI,1939,165250.82957733862,47786.0,213036.82957733862,121.4477729551732,1372.403967136722,1839.9477272498793
NOWOSĄDECKI,1939,148184.40000000002,57429.0,205613.40000000002,854.9562060212846,2133.3119667313017,2580.7123451720136
KOŚCIERSKI,1939,41544.200000000004,13199.0,54743.200000000004,1859.119671224017,1353.0454716853803,341.76538511129434
BARANOWICKI,1939,156758.80000000002,34856.0,191614.80000000002,2668.9859954212816,3167.6639002468796,2965.528590466033
ŚWIECKI,1939,77345.20000000001,14095.0,91440.20000000001,1589.9524500314637,1093.4337740174924,466.4076904379688
LUBARTOWSKI,1939,104283.0,12316.0,116599.0,1487.435229254953,2256.4885353891736,2117.6034831393113
GRÓDECKI,1939,76595.20000000001,18015.0,94610.20000000001,1713.6436143765459,2908.382064157417,2986.0607084187254
