scenario,District,log_change_ma_total,log_change_ma_domestic,log_change_ma_foreign
baseline,TARNOPOLSKI,0.5318401223941436,0.5307940992077782,0.5318403963277021
baseline,TARNOWSKI,0.5774396145251757,0.5587586245125014,0.5774468386776697
baseline,TCZEWSKI,0.5492238539949597,0.6266145779721519,0.5491893694653527
baseline,TOMASZOWSKI,0.5293558894787189,0.5176848710352342,0.5293580169627603
baseline,TORUŃSKI,0.5539091389901252,0.6076861554236466,0.553885755946208
baseline,TREMBOWELSKI,0.5317257906876236,0.6534550476744823,0.5316961175312294
baseline,TUCHOLSKI,0.5581322019143755,0.6306306380463127,0.558119745082994
baseline,TURCZAŃSKI,0.5324079067050818,0.34642550427609287,0.5324310255800988
baseline,TURECKI,0.5688048481472912,0.224295855149224,0.5688530360748167
baseline,TŁUMACKI,0.5316682805157349,0.454913465955574,0.5316891691002219
baseline,WADOWICKI,0.5921929094678475,0.3846886099253837,0.5922614734980627
baseline,WARSZAWSKI,0.5514998062721403,2.3234758963083753,0.5415086480145384
baseline,WIELUŃSKI,0.7036699734965985,0.5897278169159357,0.7036822085286332
baseline,WILEJSKI,0.5309457638998865,0.25904054372609053,0.530966654308525
baseline,WILEŃSKO-TROCKI,0.5359937508893324,0.7601188317160048,0.5359463760083827
baseline,WILNO (MIASTO),0.5332681392877703,0.43282600325613174,0.5348373174535084
baseline,WOLSZTYŃSKI,0.5624836742083943,0.4492337116694518,0.5625026521086838
baseline,WOŁKOWYSKI,0.5313775120819031,0.4888098516037722,0.5313806239403895
baseline,WOŁOŻYŃSKI,0.5308764855978616,0.41458491251257357,0.530887514946734
baseline,WRZESIŃSKI,0.5684341193099733,0.3596307623331665,0.5684888978236309
baseline,WYRZYSKI,0.5578066454968926,0.4822820722945753,0.557823647664069
baseline,WYSOKOMAZOWIECKI,0.5377092519278257,0.486291804229662,0.537716672166809
baseline,WĄBRZESKI,0.5512338645189239,0.7552321084963207,0.5511763083923427
baseline,WĄGROWIECKI,0.5597472603431193,0.5402339353625631,0.5597505964262268
baseline,WĘGROWSKI,0.5326014058732866,0.6666778013931385,0.5325770368218166
baseline,WŁOCŁAWSKI,0.5544335306496002,0.3104156656718402,0.5545381620364473
baseline,WŁODAWSKI,0.5299459587553592,0.6411284072594903,0.5299331110486172
baseline,WŁODZIMIERSKI,0.5290854017275599,0.5073185561637743,0.5290882159359924
baseline,WŁOSZCZOWSKI,0.530752652777057,0.5043494966907467,0.5307560256264701
baseline,ZALESZCZYCKI,0.5317058574641713,0.585251338824623,0.5316928968262147
baseline,ZAMOJSKI,0.5292528233840095,0.5764537770431186,0.5292392342045567
baseline,ZBARASKI,0.5317651581193275,0.4530298648689115,0.5317851138496046
baseline,ZBOROWSKI,0.5315748690809734,0.42183894043663983,0.5315960052778905
baseline,ZDOŁBUNOWSKI,0.5292565160429525,0.3648328661390714,0.5292891430318996
baseline,ZŁOCZOWSKI,0.5319065014796145,0.5446049871735497,0.5319040471469982
baseline,ŁASKI,0.5485213689232076,0.6844333559544253,0.5484791121089287
baseline,ŁAŃCUCKI,0.5337301520683511,0.3084954774709434,0.5337866440703287
baseline,ŁOMŻYŃSKI,0.5396338220988781,0.31374746372400075,0.5396620362247084
baseline,ŁOWICKI,0.5294293598005133,0.3578242813844028,0.5294878545355068
baseline,ŁUCKI,0.5329328532469155,0.8411321543749128,0.532908244668544
baseline,ŁUKOWSKI,0.5323863917383633,0.5429955982449819,0.5323846363725693
baseline,ŁUNINIECKI,0.5311677595604287,0.6268236915585437,0.5311623248067185
baseline,ŁÓDZKI,0.5330070109996115,0.8543961653303302,0.5326528817836476
baseline,ŁÓDŹ (MIASTO),0.5468689887227605,0.6637049228385798,0.531620771027761
baseline,ŁĘCZYCKI,0.5579112540397944,0.6684627014790792,0.5578785031514641
baseline,ŚNIATYŃSKI,0.531648071524252,0.47183973743324437,0.531671460827134
baseline,ŚREDZKI,0.5706291990473886,0.44069519901784737,0.5706609175642683
baseline,ŚREMSKI,0.5668284127741074,0.5797838254943244,0.5668259916776996
baseline,ŚWIECKI,0.5525070962582355,0.7390862062166743,0.5524697706837038
baseline,ŚWIĘCIAŃSKI,0.5343775826059307,0.3098875327752779,0.5343933085722803
baseline,ŚWIĘTOCHŁOWICKI,0.623331966603704,0.9437034153522212,0.6165180312449507
baseline,ŻNIŃSKI,0.5636131639884852,0.37908423144172865,0.5636558426659519
