District,Pszenica,Żyto,Jęczmień browarny,Jęczmień na kaszę,Owies,Gryka,Groch,Ziemniaki jadalne,Ziemniaki fabryczne,Siano - koniczyny,Siano - łąkowe,Słoma
ZAWIERCIAŃSKI,17.25,13.15,13.67,12.73,13.33,0.0,21.25,4.12,4.0,7.44,5.19,3.08
CZĘSTOCHOWA (MIASTO),16.81,12.15,0.0,12.6,12.78,0.0,29.0,3.14,0.0,6.7,5.06,2.65
SOSNOWIEC,17.14,14.0,0.0,15.4,15.0,0.0,26.0,5.06,0.0,8.67,6.31,3.85
RADOM (MIASTO),15.59,11.0,0.0,11.43,12.29,0.0,21.5,3.07,0.0,5.48,3.73,2.33
BIALSKI (BIAŁA KRAKOWSKA),17.25,14.33,15.0,13.0,13.44,0.0,26.0,5.07,0.0,9.0,6.61,4.5
BOCHEŃSKI,17.38,13.38,14.67,13.86,13.5,0.0,23.33,4.69,4.0,7.39,5.63,3.36
BRZESKI (BRZESKO),16.78,12.61,13.5,12.0,11.89,0.0,21.5,3.65,3.0,6.25,4.29,2.33
CHRZANOWSKI,18.0,15.25,0.0,15.0,14.42,0.0,28.33,5.42,0.0,9.42,6.83,4.91
DĄBROWSKI,16.13,11.87,12.0,11.7,11.27,0.0,22.6,3.19,2.5,5.73,3.73,2.26
GORLICKI,17.06,13.0,0.0,13.45,12.71,0.0,17.5,4.07,0.0,7.52,5.61,3.66
JASIELSKI,16.22,12.26,12.56,12.22,11.64,0.0,21.29,3.09,2.32,6.31,4.11,2.52
KRAKOWSKI,17.41,13.35,14.5,13.43,13.63,0.0,23.2,5.41,4.0,7.69,5.63,3.81
KRAKÓW (MIASTO),17.41,13.35,0.0,13.43,13.63,0.0,23.2,5.41,0.0,7.69,5.63,3.81
LIMANOWSKI,17.54,13.29,14.17,12.58,12.85,0.0,23.33,4.08,3.43,6.85,5.89,3.02
MIELECKI,15.95,11.8,12.43,12.0,11.6,0.0,21.0,3.21,3.15,5.01,3.82,2.11
MYŚLENICKI,18.92,13.54,14.0,13.0,13.14,0.0,17.5,4.68,0.0,8.04,5.83,3.36
NOWOSĄDECKI,17.42,13.0,15.29,13.88,13.06,0.0,29.6,4.05,3.0,7.06,5.53,3.64
NOWOTARSKI,18.33,15.64,0.0,15.8,15.31,0.0,22.33,4.89,4.0,8.35,7.1,4.94
ROPCZYCKI,16.19,12.24,13.13,12.06,11.79,0.0,18.8,3.15,2.84,6.69,4.72,2.67
TARNOWSKI,16.48,12.43,12.5,12.19,11.91,0.0,21.5,3.86,3.17,6.16,4.4,2.67
WADOWICKI,17.72,14.04,15.0,14.38,13.76,0.0,23.25,4.9,4.33,8.59,6.32,3.89
ŻYWIECKI,20.1,16.08,0.0,14.8,14.88,0.0,23.25,5.14,0.0,7.88,6.21,4.29
BIALSKI (BIAŁA PODLASKA),15.48,9.96,11.5,11.48,11.42,13.71,18.8,2.31,1.8,4.88,3.93,2.02
BIŁGORAJSKI,15.06,11.41,12.0,11.13,11.06,14.31,25.0,3.26,0.0,4.98,4.13,2.52
CHEŁMSKI,15.0,10.29,10.8,10.07,10.4,12.29,15.5,3.04,2.33,3.69,2.95,1.78
GARWOLIŃSKI,16.22,10.94,12.75,12.11,11.33,15.33,22.0,3.52,3.0,6.16,4.33,2.25
HRUBIESZOWSKI,14.33,9.87,11.17,10.0,11.0,13.6,18.4,2.64,2.38,4.11,3.53,1.91
JANOWSKI,14.88,10.56,11.67,10.46,10.94,12.0,20.4,2.7,2.17,5.0,4.13,2.16
KRASNOSTAWSKI,14.67,9.9,10.67,9.74,9.52,12.75,15.8,2.84,2.0,3.83,3.38,1.89
LUBARTOWSKI,16.04,10.58,12.14,10.84,11.33,14.05,21.14,2.8,2.55,4.75,3.86,2.26
LUBELSKI,16.0,10.87,12.67,11.21,11.33,13.1,19.17,3.12,1.9,5.71,3.78,2.43
ŁUKOWSKI,16.29,10.57,11.83,11.35,11.22,13.5,17.78,2.36,2.28,6.21,4.06,2.27
PUŁAWSKI,15.2,10.3,0.0,10.9,11.2,13.67,20.5,2.58,0.0,5.67,4.17,2.17
RADZYŃSKI,16.69,10.73,12.25,11.64,11.69,14.18,18.0,2.04,0.0,5.03,3.59,1.98
SIEDLECKI,17.65,10.88,12.0,11.82,12.09,17.0,19.0,2.31,2.25,5.03,3.35,1.84
SOKOŁOWSKI,17.4,11.1,12.5,12.0,12.3,12.67,19.0,2.33,2.1,5.67,4.58,1.8
TOMASZOWSKI,13.95,10.29,10.44,9.62,10.15,13.13,17.0,2.79,2.0,3.92,2.89,1.97
WĘGROWSKI,17.21,11.43,14.0,11.85,12.5,15.25,18.5,2.67,1.63,5.05,4.08,1.95
WŁODAWSKI,15.53,10.1,0.0,11.07,11.15,13.94,15.86,2.23,2.17,4.15,3.0,1.87
ZAMOJSKI,14.63,10.88,11.43,10.38,10.53,13.17,15.8,3.33,2.75,4.13,3.41,2.19
